,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.046362951663701836,0.33544765879156113,1,unconscious,rh-inferiortemporal,453,10178.7392578125,681900
1,1.0,0.055805865905783916,0.40068734914765913,2,unconscious,rh-inferiortemporal,520,10194.4658203125,681900
2,1.0,0.0432543676803378,0.22198373306838748,3,unconscious,rh-inferiortemporal,411,10261.5166015625,681900
3,1.0,0.0518154796784307,0.35763681375227196,4,unconscious,rh-inferiortemporal,534,10215.3291015625,681900
4,1.0,0.049051405473636484,0.4107384505512943,5,unconscious,rh-inferiortemporal,281,10191.8349609375,681900
5,1.0,0.05150049574794313,0.2825601261884676,6,unconscious,rh-inferiortemporal,342,10217.2080078125,681900
6,1.0,0.043635163959292365,0.26483367603140306,7,unconscious,rh-inferiortemporal,460,10220.6162109375,681900
7,1.0,0.05134312831404114,0.2612696649230428,8,unconscious,rh-inferiortemporal,384,10217.0654296875,681900
8,1.0,0.05172859238562127,0.28620111098948575,9,unconscious,rh-inferiortemporal,603,10165.486328125,681900
9,1.0,0.05310500620190213,0.2938375221389533,10,unconscious,rh-inferiortemporal,564,10203.9287109375,681900
10,1.0,0.0577162123927874,0.41655499498044135,11,unconscious,rh-inferiortemporal,514,10195.9404296875,681900
11,1.0,0.047835367278591716,0.3188012822440678,12,unconscious,rh-inferiortemporal,380,10221.2607421875,681900
12,1.0,0.0415014420822282,0.19508725329356658,13,unconscious,rh-inferiortemporal,473,10239.26171875,681900
13,1.0,0.06324499763819495,0.30337722624608876,14,unconscious,rh-inferiortemporal,554,10196.2197265625,681900
14,1.0,0.05968960626741421,0.2718343157813323,15,unconscious,rh-inferiortemporal,618,10224.328125,681900
15,1.0,0.04994075321607913,0.3274704429112488,16,unconscious,rh-inferiortemporal,491,10205.3876953125,681900
16,1.0,0.04651492098315287,0.21939533469527828,17,unconscious,rh-inferiortemporal,311,10200.251953125,681900
17,1.0,0.028223681651511272,0.21010428626888866,18,unconscious,rh-inferiortemporal,399,10262.7275390625,681900
18,1.0,0.053124537918468814,0.3031327696249788,19,unconscious,rh-inferiortemporal,416,10245.67578125,681900
19,1.0,0.04640945517102824,0.26179714785992203,20,unconscious,rh-inferiortemporal,373,10206.76953125,681900
20,1.0,0.04654430799468347,0.2625113126060392,21,unconscious,rh-inferiortemporal,336,10216.30859375,681900
21,1.0,0.053256058434636946,0.31395009355143866,22,unconscious,rh-inferiortemporal,477,10219.8388671875,681900
22,1.0,0.05094716624083724,0.3035408224296485,23,unconscious,rh-inferiortemporal,513,10227.580078125,681900
23,1.0,0.04288988279891106,0.24088279394349466,24,unconscious,rh-inferiortemporal,496,10253.123046875,681900
24,1.0,0.048530375808184936,0.4004799280314848,25,unconscious,rh-inferiortemporal,476,10202.9375,681900
25,1.0,0.04023064385247191,0.43853092645709435,26,unconscious,rh-inferiortemporal,424,10211.5048828125,681900
26,1.0,0.04784137539726443,0.27841613786018293,27,unconscious,rh-inferiortemporal,426,10227.65234375,681900
27,1.0,0.04955875950797795,0.2886541337097247,28,unconscious,rh-inferiortemporal,408,10172.927734375,681900
28,1.0,0.05249806139260557,0.2921744657918809,29,unconscious,rh-inferiortemporal,387,10185.83984375,681900
29,1.0,0.05123880011383525,0.2558243226047242,30,unconscious,rh-inferiortemporal,443,10244.4853515625,681900
30,1.0,0.06055937369478828,0.45980778423008895,31,unconscious,rh-inferiortemporal,493,10206.7822265625,681900
31,1.0,0.04134542128766169,0.25206205763488143,32,unconscious,rh-inferiortemporal,601,10223.033203125,681900
32,1.0,0.05328538826290024,0.3306915382883685,33,unconscious,rh-inferiortemporal,485,10220.076171875,681900
33,1.0,0.0489260404077077,0.2573648843191021,34,unconscious,rh-inferiortemporal,377,10198.111328125,681900
34,1.0,0.07096862277964479,0.3818628748802697,35,unconscious,rh-inferiortemporal,651,10200.2158203125,681900
35,1.0,0.04192157850842037,0.2736806120435755,36,unconscious,rh-inferiortemporal,447,10236.822265625,681900
36,1.0,0.05163945622298994,0.2895814096501408,37,unconscious,rh-inferiortemporal,416,10189.3935546875,681900
37,1.0,0.04614151343277495,0.2581890897565371,38,unconscious,rh-inferiortemporal,380,10222.748046875,681900
38,1.0,0.06534481797946112,0.36315155726625103,39,unconscious,rh-inferiortemporal,473,10188.6201171875,681900
39,1.0,0.04810341808385993,0.3236699897876857,40,unconscious,rh-inferiortemporal,564,10233.650390625,681900
40,1.0,0.06426202871518985,0.3985169113454967,41,unconscious,rh-inferiortemporal,504,10253.2646484375,681900
41,1.0,0.044891766153379156,0.26705093330333063,42,unconscious,rh-inferiortemporal,300,10197.3857421875,681900
42,1.0,0.044738144220690924,0.25882883819298397,43,unconscious,rh-inferiortemporal,280,10203.408203125,681900
43,1.0,0.05241632312142084,0.35670430110900564,44,unconscious,rh-inferiortemporal,413,10219.3583984375,681900
44,1.0,0.05035918439841145,0.34372778847292174,45,unconscious,rh-inferiortemporal,340,10223.0703125,681900
45,1.0,0.05413244373787816,0.22662367435765207,46,unconscious,rh-inferiortemporal,464,10237.4404296875,681900
46,1.0,0.057293058022170974,0.27953196119247437,47,unconscious,rh-inferiortemporal,639,10186.4794921875,681900
47,1.0,0.05700056458358995,0.29240774876317166,48,unconscious,rh-inferiortemporal,447,10184.9521484375,681900
48,1.0,0.046211862742469134,0.25714581807672654,49,unconscious,rh-inferiortemporal,377,10205.8740234375,681900
49,1.0,0.043127710809783365,0.1968101852389379,50,unconscious,rh-inferiortemporal,378,10219.62109375,681900
50,1.0,0.03949362941540427,0.18950010609371526,51,unconscious,rh-inferiortemporal,265,10287.6201171875,681900
51,1.0,0.05002695977141686,0.25209899246669354,52,unconscious,rh-inferiortemporal,508,10242.6318359375,681900
52,1.0,0.0481251109948702,0.2515661764062842,53,unconscious,rh-inferiortemporal,289,10218.091796875,681900
53,1.0,0.05268098167316647,0.27495939635855793,54,unconscious,rh-inferiortemporal,302,10241.9130859375,681900
54,1.0,0.043032549623992965,0.240650611830996,55,unconscious,rh-inferiortemporal,332,10247.0439453125,681900
55,1.0,0.048716326333069014,0.204777429083841,56,unconscious,rh-inferiortemporal,322,10248.4658203125,681900
56,1.0,0.047810558119937466,0.2533550883261001,57,unconscious,rh-inferiortemporal,436,10193.0205078125,681900
57,1.0,0.04563678748727746,0.209649109112644,58,unconscious,rh-inferiortemporal,377,10229.6953125,681900
58,1.0,0.05098480475504569,0.2813677486253112,59,unconscious,rh-inferiortemporal,413,10224.68359375,681900
59,1.0,0.04223369539244526,0.192297555029057,60,unconscious,rh-inferiortemporal,269,10250.232421875,681900
60,1.0,0.038619709917497795,0.2118793303849178,61,unconscious,rh-inferiortemporal,364,10264.3447265625,681900
61,1.0,0.0535530620355485,0.2586129383400285,62,unconscious,rh-inferiortemporal,442,10220.9951171875,681900
62,1.0,0.04979499452334148,0.29199974561265707,63,unconscious,rh-inferiortemporal,461,10248.8974609375,681900
63,1.0,0.04169651657132413,0.20961342079660572,64,unconscious,rh-inferiortemporal,337,10234.52734375,681900
64,1.0,0.049346508990823754,0.27617272538063453,65,unconscious,rh-inferiortemporal,303,10227.328125,681900
65,1.0,0.03270605589930064,0.17563527896449949,66,unconscious,rh-inferiortemporal,334,10290.3662109375,681900
66,1.0,0.04033713975435858,0.18409000842776568,67,unconscious,rh-inferiortemporal,256,10276.6962890625,681900
67,1.0,0.051831954256826726,0.3010216440133048,68,unconscious,rh-inferiortemporal,408,10235.0009765625,681900
68,1.0,0.04908909552824561,0.22306504423011042,69,unconscious,rh-inferiortemporal,295,10244.083984375,681900
69,1.0,0.050471531352687164,0.25014277653724803,70,unconscious,rh-inferiortemporal,401,10246.5107421875,681900
70,1.0,0.05321254869105272,0.36467359172832603,71,unconscious,rh-inferiortemporal,382,10255.390625,681900
71,1.0,0.03541895416269541,0.17065739544741287,72,unconscious,rh-inferiortemporal,376,10275.7822265625,681900
72,1.0,0.0560127487261457,0.2703654768112441,73,unconscious,rh-inferiortemporal,353,10233.5595703125,681900
73,1.0,0.03636099563725199,0.17540064690394552,74,unconscious,rh-inferiortemporal,402,10240.6142578125,681900
74,1.0,0.040256088931139716,0.16439874958807588,75,unconscious,rh-inferiortemporal,288,10257.8955078125,681900
75,1.0,0.04681086265647571,0.20926659844965334,76,unconscious,rh-inferiortemporal,259,10199.9287109375,681900
76,1.0,0.0529055848381919,0.29833826636690597,77,unconscious,rh-inferiortemporal,348,10214.2666015625,681900
77,1.0,0.045847858378366,0.26536878286334986,78,unconscious,rh-inferiortemporal,308,10273.5498046875,681900
78,1.0,0.053060483589929014,0.24040533581471601,79,unconscious,rh-inferiortemporal,343,10233.166015625,681900
79,1.0,0.03979171755898451,0.22545345141527173,80,unconscious,rh-inferiortemporal,420,10250.3916015625,681900
80,1.0,0.04454616401673366,0.24787177689436724,81,unconscious,rh-inferiortemporal,355,10249.361328125,681900
81,1.0,0.04469197475285937,0.23975386670619003,82,unconscious,rh-inferiortemporal,306,10225.3125,681900
82,1.0,0.05429937265567187,0.31638759616090495,83,unconscious,rh-inferiortemporal,425,10229.7080078125,681900
83,1.0,0.048087653684255965,0.24004353488851393,84,unconscious,rh-inferiortemporal,400,10266.916015625,681900
84,1.0,0.048307879511290994,0.2869220409528578,85,unconscious,rh-inferiortemporal,392,10213.849609375,681900
85,1.0,0.042594725391605144,0.22131790748313696,86,unconscious,rh-inferiortemporal,348,10250.4111328125,681900
86,1.0,0.050390770696729155,0.20112729423741982,87,unconscious,rh-inferiortemporal,336,10213.921875,681900
87,1.0,0.04062567426155165,0.2191408682924314,88,unconscious,rh-inferiortemporal,360,10262.0166015625,681900
88,1.0,0.04759793481322862,0.30115473320290986,89,unconscious,rh-inferiortemporal,369,10276.1064453125,681900
89,1.0,0.04729348383056681,0.31367902565351247,90,unconscious,rh-inferiortemporal,261,10226.5498046875,681900
90,1.0,0.04723472216004499,0.30403516833500566,91,unconscious,rh-inferiortemporal,273,10231.2607421875,681900
91,1.0,0.04640066047160661,0.24807611798482154,92,unconscious,rh-inferiortemporal,323,10250.9775390625,681900
92,1.0,0.04840500147999983,0.24578416971483785,93,unconscious,rh-inferiortemporal,340,10249.068359375,681900
93,1.0,0.042843419688540954,0.24457395163890816,94,unconscious,rh-inferiortemporal,363,10267.1962890625,681900
94,1.0,0.046269764348367076,0.22630644582572934,95,unconscious,rh-inferiortemporal,407,10214.783203125,681900
95,1.0,0.047008368009094775,0.19888106251060578,96,unconscious,rh-inferiortemporal,356,10215.3662109375,681900
96,1.0,0.03172945345212601,0.21745740140777614,97,unconscious,rh-inferiortemporal,446,10261.455078125,681900
97,1.0,0.03470494780049895,0.20130709538342895,98,unconscious,rh-inferiortemporal,469,10277.126953125,681900
98,1.0,0.030004022291489095,0.1714491507418634,99,unconscious,rh-inferiortemporal,309,10347.9130859375,681900
99,1.0,0.05282767038005247,0.30624190061015044,100,unconscious,rh-inferiortemporal,631,10298.7509765625,681900
100,1.0,0.03667789223291626,0.20195021929869938,101,unconscious,rh-inferiortemporal,297,10276.8466796875,681900
101,1.0,0.03575254425034973,0.16009529150173474,102,unconscious,rh-inferiortemporal,343,10301.6025390625,681900
102,1.0,0.03069322276941403,0.20291287544335979,103,unconscious,rh-inferiortemporal,394,10304.2412109375,681900
103,1.0,0.03486354018352635,0.21377056224803925,104,unconscious,rh-inferiortemporal,346,10301.1494140625,681900
104,1.0,0.041433085201140106,0.1915856346835615,105,unconscious,rh-inferiortemporal,545,10250.626953125,681900
105,1.0,0.03885532373798604,0.17994812388037207,106,unconscious,rh-inferiortemporal,523,10289.490234375,681900
106,1.0,0.042374159549070506,0.17521162846118687,107,unconscious,rh-inferiortemporal,527,10280.2666015625,681900
107,1.0,0.03875910396096308,0.21982621402687919,108,unconscious,rh-inferiortemporal,360,10308.216796875,681900
108,1.0,0.03370716537014276,0.2206083620948609,109,unconscious,rh-inferiortemporal,458,10322.052734375,681900
109,1.0,0.05139451052572657,0.2509943900051317,110,unconscious,rh-inferiortemporal,639,10277.060546875,681900
110,1.0,0.0554731844775019,0.22031494692118692,111,unconscious,rh-inferiortemporal,594,10309.4716796875,681900
