,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.060256162052254335,0.35969549977449555,1,unconscious,rh-pericalcarine,485,11097.62890625,723000
1,1.0,0.04732903685735901,0.42201581778975417,2,unconscious,rh-pericalcarine,516,11130.916015625,723000
2,1.0,0.06841991257833321,0.4013320293501005,3,unconscious,rh-pericalcarine,491,11211.970703125,723000
3,1.0,0.0507306322212808,0.2682162809781564,4,unconscious,rh-pericalcarine,436,11138.09375,723000
4,1.0,0.049918776043802154,0.2861717634875989,5,unconscious,rh-pericalcarine,334,11126.953125,723000
5,1.0,0.054423144155490814,0.30718069506756907,6,unconscious,rh-pericalcarine,339,11145.4208984375,723000
6,1.0,0.043778934496945116,0.2537730850618356,7,unconscious,rh-pericalcarine,412,11151.5634765625,723000
7,1.0,0.058954548897368765,0.3276356407350306,8,unconscious,rh-pericalcarine,524,11130.6748046875,723000
8,1.0,0.048332773358033584,0.26106617801832066,9,unconscious,rh-pericalcarine,506,11111.7021484375,723000
9,1.0,0.06891707240152213,0.34319289067192804,10,unconscious,rh-pericalcarine,698,11141.0517578125,723000
10,1.0,0.061867326642764446,0.3444095180620784,11,unconscious,rh-pericalcarine,603,11117.9345703125,723000
11,1.0,0.06416638928956128,0.3206243231616144,12,unconscious,rh-pericalcarine,546,11140.8095703125,723000
12,1.0,0.04062468685045376,0.26131414809652764,13,unconscious,rh-pericalcarine,361,11171.908203125,723000
13,1.0,0.05774257818395166,0.3057819309860914,14,unconscious,rh-pericalcarine,551,11125.203125,723000
14,1.0,0.04468099021807648,0.2450786385195628,15,unconscious,rh-pericalcarine,489,11189.7138671875,723000
15,1.0,0.04732362026612828,0.22821385372401903,16,unconscious,rh-pericalcarine,502,11135.958984375,723000
16,1.0,0.049983846706240405,0.3465724293741669,17,unconscious,rh-pericalcarine,464,11135.8212890625,723000
17,1.0,0.03270123001316562,0.2000617882719794,18,unconscious,rh-pericalcarine,458,11189.001953125,723000
18,1.0,0.050897427592739436,0.3436659137000019,19,unconscious,rh-pericalcarine,389,11205.408203125,723000
19,1.0,0.04598266763996452,0.27957766586591004,20,unconscious,rh-pericalcarine,407,11133.5712890625,723000
20,1.0,0.050681790851620556,0.29504744439432085,21,unconscious,rh-pericalcarine,383,11133.470703125,723000
21,1.0,0.04731197356855278,0.27867791114533,22,unconscious,rh-pericalcarine,594,11139.7861328125,723000
22,1.0,0.04225747933459428,0.28089055532913,23,unconscious,rh-pericalcarine,519,11143.6494140625,723000
23,1.0,0.04193957244298506,0.2892855607000807,24,unconscious,rh-pericalcarine,637,11143.8369140625,723000
24,1.0,0.05676809084372899,0.2961732228977202,25,unconscious,rh-pericalcarine,503,11125.6396484375,723000
25,1.0,0.03874945343918363,0.25657033418634845,26,unconscious,rh-pericalcarine,476,11159.7685546875,723000
26,1.0,0.047442263820226906,0.4064503439413423,27,unconscious,rh-pericalcarine,478,11149.251953125,723000
