fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,lh-inferiortemporal,0.9600000000000001,0.6666666666666666,0.6666666666666666,0.5842802049748017,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,8,1,1,0
2,sub-01,lh-inferiortemporal,0.6953125,0.629940788348712,0.7999999999999999,0.6821689991025022,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,7,6,2,1
3,sub-01,lh-inferiortemporal,0.5374149659863946,0.6264144833056663,0.8333333333333333,0.7093894246163303,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,7,10,3,1
4,sub-01,lh-inferiortemporal,0.560553633217993,0.3098898934004561,0.6250000000000001,0.696235653574946,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,5,4,2
5,sub-01,lh-inferiortemporal,0.76,-0.4082482904638631,0.0,0.6085669749119549,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,0,2,4
6,sub-01,lh-inferiortemporal,0.6272189349112427,0.025,0.4000000000000001,0.6666548786036911,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
7,sub-01,lh-inferiortemporal,0.6015625,0.2581988897471611,0.5714285714285715,0.6812624268184188,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,4,4,2
8,sub-01,lh-inferiortemporal,0.7928994082840237,0.5006939628599933,0.6666666666666665,0.649638175710266,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,7,3,2,1
9,sub-01,lh-inferiortemporal,0.6484375,0.25,0.625,0.6780328583318718,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,3,3
10,sub-01,lh-inferiortemporal,0.698961937716263,0.7638888888888888,0.8888888888888888,0.6770149905636377,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,7,8,1,1
