fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,lh-lateraloccipital,0.64,0.10660035817780521,0.5000000000000001,0.6907050468012188,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,4,7,1
2,sub-01,lh-lateraloccipital,0.5,0.0,0.5,0.7768130698740434,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,2,2
3,sub-01,lh-lateraloccipital,0.36,-0.25,0.0,0.9237561897448423,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,0,1,1
4,sub-01,lh-lateraloccipital,0.5867768595041323,-0.06900655593423542,0.5,0.6824632073414114,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,3,4,2
5,sub-01,lh-lateraloccipital,0.680473372781065,0.2828894749305018,0.6666666666666667,0.6257588704679707,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,5,4,1
6,sub-01,lh-lateraloccipital,0.5255102040816326,-0.09128709291752768,0.5,0.7431834252319593,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,4,6,2
7,sub-01,lh-lateraloccipital,0.617283950617284,0.15811388300841897,0.5,0.7006709922123783,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,1
8,sub-01,lh-lateraloccipital,0.4489795918367347,-0.18856180831641267,0.4,0.7743081185076802,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,3,7,2
9,sub-01,lh-lateraloccipital,0.7355371900826446,0.3105295017040594,0.6666666666666666,0.6174677875949469,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,4,3,1
10,sub-01,lh-lateraloccipital,0.671875,0.2581988897471611,0.5714285714285715,0.6511121214958846,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,2,1
11,sub-01,lh-lateraloccipital,0.6049382716049383,0.15811388300841897,0.5,0.7105204636242591,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,1
12,sub-01,lh-lateraloccipital,0.55,0.0,0.5454545454545454,0.7637887066636253,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,3,3,2
13,sub-01,lh-lateraloccipital,0.24,-0.4082482904638631,0.0,0.9691975974910448,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,2
14,sub-01,lh-lateraloccipital,0.60546875,0.14907119849998599,0.5555555555555556,0.7052962036762179,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,5,7,1
15,sub-01,lh-lateraloccipital,0.38888888888888895,-0.31622776601683794,0.0,0.8494662272219693,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,0,2,1
16,sub-01,lh-lateraloccipital,0.7500000000000001,0.23904572186687872,0.6153846153846154,0.5959252635349184,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,4,4,1
17,sub-01,lh-lateraloccipital,0.44000000000000006,-0.16666666666666666,0.4,0.8045112020754412,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,4,2
18,sub-01,lh-lateraloccipital,0.19999999999999998,-0.4082482904638631,0.0,0.9913367408813116,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,2
19,sub-01,lh-lateraloccipital,0.6049382716049383,0.15811388300841897,0.5,0.7037617970848011,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,1
20,sub-01,lh-lateraloccipital,0.5625,0.14907119849998599,0.7272727272727272,0.7298058187742404,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,8,4,2
21,sub-01,lh-lateraloccipital,0.5625,0.0,0.6,0.7488446103979713,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,6,6,2
22,sub-01,lh-lateraloccipital,0.53,-0.16666666666666666,0.4,0.7441880094206829,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,4,2
23,sub-01,lh-lateraloccipital,0.71,0.25,0.6,0.6335882951505578,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,3,1
24,sub-01,lh-lateraloccipital,0.596938775510204,0.09128709291752768,0.6666666666666665,0.7394470788372026,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,6,4,2
25,sub-01,lh-lateraloccipital,0.628099173553719,0.17857142857142858,0.5454545454545454,0.7006559445631176,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,4,1
26,sub-01,lh-lateraloccipital,0.59375,0.0,0.3333333333333333,0.6948326976773314,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,1,3,1
27,sub-01,lh-lateraloccipital,0.6180555555555556,0.23904572186687872,0.6153846153846154,0.6952795527895042,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,4,4,1
28,sub-01,lh-lateraloccipital,0.6499999999999999,-0.0625,0.3,0.7086325227804786,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,13,1
29,sub-01,lh-lateraloccipital,0.703125,0.5,0.75,0.6137202919454646,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,1,1
30,sub-01,lh-lateraloccipital,0.7278106508875739,0.18446619684315546,0.5714285714285714,0.6159018035097953,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,4,5,1
31,sub-01,lh-lateraloccipital,0.33333333333333337,-0.5,0.0,0.9279245233943474,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,2
32,sub-01,lh-lateraloccipital,0.2857142857142857,-0.16666666666666666,0.3333333333333333,0.9385021218109662,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,1,2,2
33,sub-01,lh-lateraloccipital,0.49586776859504134,-0.21428571428571427,0.36363636363636365,0.7387150311166114,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,5,2
34,sub-01,lh-lateraloccipital,0.6953125,0.14907119849998599,0.5555555555555556,0.6317386829657052,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,5,7,1
35,sub-01,lh-lateraloccipital,0.654320987654321,0.35,0.6666666666666665,0.713695063679256,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,2,1
36,sub-01,lh-lateraloccipital,0.703125,0.2581988897471611,0.5714285714285715,0.6781894798395698,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,2,1
37,sub-01,lh-lateraloccipital,0.42000000000000004,-0.16666666666666666,0.4,0.8492128892480093,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,4,2
38,sub-01,lh-lateraloccipital,0.5510204081632654,0.09128709291752768,0.4,0.7727363955515855,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,1,2,1
39,sub-01,lh-lateraloccipital,0.5555555555555556,0.125,0.5,0.7504473264367343,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,5,1
40,sub-01,lh-lateraloccipital,0.6363636363636364,0.17857142857142858,0.5454545454545454,0.695683489749999,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,4,1
41,sub-01,lh-lateraloccipital,0.7851239669421488,0.4485426135725303,0.7692307692307692,0.5582219182572113,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,5,2,1
42,sub-01,lh-lateraloccipital,0.4,-0.25,0.0,0.8723460356784051,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,0,1,1
43,sub-01,lh-lateraloccipital,0.8010204081632653,0.31622776601683794,0.7058823529411764,0.5517896433046445,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,6,4,1
44,sub-01,lh-lateraloccipital,0.46875,0.0,0.5,0.8102875843022246,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,2,2
45,sub-01,lh-lateraloccipital,0.5950413223140496,0.17857142857142858,0.5454545454545454,0.7228672475885738,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,4,1
46,sub-01,lh-lateraloccipital,0.7653061224489797,0.05,0.4285714285714285,0.6210075307247113,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,7,1
47,sub-01,lh-lateraloccipital,0.6328125,0.050964719143762556,0.5555555555555556,0.6628238829148696,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,5,6,2
48,sub-01,lh-lateraloccipital,0.5802469135802469,0.1,0.5,0.7224100184332565,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,2,2
49,sub-01,lh-lateraloccipital,0.41666666666666663,-0.31622776601683794,0.0,0.8245060839173332,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,0,1,2
50,sub-01,lh-lateraloccipital,0.6805555555555556,0.02857142857142857,0.5,0.6419515906243968,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,4,2
51,sub-01,lh-lateraloccipital,0.7193877551020408,0.34426518632954817,0.6666666666666667,0.587881284472466,PCA + Linear-SVM,conscious,conscious,False,Image,False,4,5,4,1
52,sub-01,lh-lateraloccipital,0.6222222222222222,0.28867513459481287,0.7368421052631577,0.6864979947614639,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,7,3,2
53,sub-01,lh-lateraloccipital,0.6699999999999999,0.2182178902359924,0.5,0.6470406476613477,PCA + Linear-SVM,conscious,conscious,False,Image,False,4,2,3,1
54,sub-01,lh-lateraloccipital,0.4622222222222222,0.0,0.5,0.7623389368450805,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,4,6,2
55,sub-01,lh-lateraloccipital,0.6944444444444445,0.1690308509457033,0.6153846153846153,0.6201174793817607,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,4,3,2
56,sub-01,lh-lateraloccipital,0.6790123456790123,0.31622776601683794,0.5714285714285715,0.598693231218414,PCA + Linear-SVM,conscious,conscious,False,Image,False,4,2,2,1
57,sub-01,lh-lateraloccipital,0.64,0.0,0.4444444444444445,0.6837308464246037,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,2
58,sub-01,lh-lateraloccipital,0.5950413223140496,0.1,0.5454545454545454,0.705543553360152,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,3,2
59,sub-01,lh-lateraloccipital,0.36111111111111116,-0.31622776601683794,0.0,0.8545325583852895,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,0,1,2
60,sub-01,lh-lateraloccipital,0.657439446366782,0.09128709291752769,0.6,0.6594549308438831,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,6,6,2
61,sub-01,lh-lateraloccipital,0.4897959183673469,0.09128709291752768,0.4,0.7590032334024269,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,1,1,2
62,sub-01,lh-lateraloccipital,0.7751479289940828,0.3,0.6153846153846154,0.5745357548580226,PCA + Linear-SVM,conscious,conscious,False,Image,False,4,4,4,1
63,sub-01,lh-lateraloccipital,0.5123966942148761,-0.06900655593423542,0.4,0.7555058975824075,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,4,2
64,sub-01,lh-lateraloccipital,0.36111111111111116,-0.31622776601683794,0.0,0.8523911223933291,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,0,1,2
65,sub-01,lh-lateraloccipital,0.66,0.2182178902359924,0.5,0.6798529007398035,PCA + Linear-SVM,conscious,conscious,False,Image,False,4,2,3,1
66,sub-01,lh-lateraloccipital,0.5813148788927336,0.16735967034880075,0.6666666666666666,0.6936820713861197,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,7,5,2
67,sub-01,lh-lateraloccipital,0.6124567474048442,0.09128709291752769,0.6,0.7028397844327947,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,6,6,2
68,sub-01,lh-lateraloccipital,0.5619834710743802,-0.06900655593423542,0.4,0.7132067471966897,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,4,2
69,sub-01,lh-lateraloccipital,0.6859504132231405,0.1,0.5454545454545454,0.6264296431245725,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,3,2
70,sub-01,lh-lateraloccipital,0.6266666666666667,0.18898223650461363,0.6666666666666665,0.7029437500116575,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,6,4,2
71,sub-01,lh-lateraloccipital,0.6319444444444444,0.1690308509457033,0.6153846153846153,0.6675084881770624,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,4,3,2
72,sub-01,lh-lateraloccipital,0.6666666666666667,0.31622776601683794,0.5714285714285715,0.6365706538015775,PCA + Linear-SVM,conscious,conscious,False,Image,False,4,2,2,1
73,sub-01,lh-lateraloccipital,0.6035502958579881,0.21957751641341997,0.6666666666666666,0.6672744816237568,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,5,3,2
74,sub-01,lh-lateraloccipital,0.6621315192743764,0.19364916731037085,0.7142857142857143,0.6843896041501888,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,10,6,2
75,sub-01,lh-lateraloccipital,0.7654320987654322,0.7905694150420948,0.8571428571428571,0.5781661138452044,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,3,1,0
76,sub-01,lh-lateraloccipital,0.7755102040816327,0.24444444444444444,0.5714285714285714,0.5880426046642501,PCA + Linear-SVM,conscious,conscious,False,Image,False,4,4,5,1
77,sub-01,lh-lateraloccipital,0.3877551020408163,-0.4,0.0,0.8425536837336765,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,0,2,2
