fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,lh-lingual,0.6177777777777778,-0.3181818181818182,0.26666666666666666,0.6686536427198598,None + Linear-SVM,conscious,conscious,False,Image,False,2,2,9,2
2,sub-01,lh-lingual,0.53125,0.0,0.3333333333333333,0.6853352786385868,None + Linear-SVM,conscious,conscious,False,Image,False,3,1,3,1
3,sub-01,lh-lingual,0.36,0.0,0.0,0.7902896065804097,None + Linear-SVM,conscious,conscious,False,Image,False,4,0,1,0
4,sub-01,lh-lingual,0.6942148760330579,0.3105295017040594,0.6666666666666666,0.6417023150461661,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,3,1
5,sub-01,lh-lingual,0.8284023668639053,0.6172133998483676,0.8,0.5795418470961244,None + Linear-SVM,conscious,conscious,False,Image,False,4,6,3,0
6,sub-01,lh-lingual,0.673469387755102,-0.09128709291752768,0.5,0.6566451250772556,None + Linear-SVM,conscious,conscious,False,Image,False,2,4,6,2
7,sub-01,lh-lingual,0.6049382716049383,0.15811388300841897,0.5,0.6807700365275781,None + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,1
8,sub-01,lh-lingual,0.7040816326530612,-0.09128709291752768,0.5,0.6398895403738255,None + Linear-SVM,conscious,conscious,False,Image,False,2,4,6,2
9,sub-01,lh-lingual,0.6776859504132231,0.3105295017040594,0.6666666666666666,0.6666402668492402,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,3,1
10,sub-01,lh-lingual,0.421875,-0.2581988897471611,0.28571428571428575,0.7387147665448042,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,2
11,sub-01,lh-lingual,0.5802469135802469,0.15811388300841897,0.5,0.6878090532071031,None + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,1
12,sub-01,lh-lingual,0.5700000000000001,-0.16666666666666666,0.4,0.6792177261175599,None + Linear-SVM,conscious,conscious,False,Image,False,2,2,4,2
13,sub-01,lh-lingual,0.36,0.0,0.0,0.7915658141261397,None + Linear-SVM,conscious,conscious,False,Image,False,4,0,1,0
14,sub-01,lh-lingual,0.75,0.21821789023599236,0.631578947368421,0.619180763922309,None + Linear-SVM,conscious,conscious,False,Image,False,3,6,6,1
15,sub-01,lh-lingual,0.38888888888888895,0.25,0.5,0.7536101777848293,None + Linear-SVM,conscious,conscious,False,Image,False,3,1,1,1
16,sub-01,lh-lingual,0.6736111111111112,0.23904572186687872,0.6153846153846154,0.6536009498836854,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,4,1
17,sub-01,lh-lingual,0.66,0.25,0.6,0.6549214711622297,None + Linear-SVM,conscious,conscious,False,Image,False,3,3,3,1
18,sub-01,lh-lingual,0.36,0.0,0.0,0.784364411649223,None + Linear-SVM,conscious,conscious,False,Image,False,4,0,1,0
19,sub-01,lh-lingual,0.4444444444444445,-0.31622776601683794,0.25,0.7272030480359294,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,4,2
20,sub-01,lh-lingual,0.8515625,0.363696483726654,0.761904761904762,0.5697759448341853,None + Linear-SVM,conscious,conscious,False,Image,False,3,8,4,1
21,sub-01,lh-lingual,0.66796875,-0.3333333333333333,0.25,0.6606101566074806,None + Linear-SVM,conscious,conscious,False,Image,False,2,2,10,2
22,sub-01,lh-lingual,0.72,0.25,0.6,0.6521496909916553,None + Linear-SVM,conscious,conscious,False,Image,False,3,3,3,1
23,sub-01,lh-lingual,0.76,0.408248290463863,0.7272727272727272,0.6299032463610333,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,2,1
24,sub-01,lh-lingual,0.7193877551020408,-0.09128709291752768,0.5,0.6327537486065596,None + Linear-SVM,conscious,conscious,False,Image,False,2,4,6,2
25,sub-01,lh-lingual,0.5867768595041323,-0.06900655593423542,0.5,0.6793446655089648,None + Linear-SVM,conscious,conscious,False,Image,False,2,3,4,2
26,sub-01,lh-lingual,0.578125,0.2581988897471611,0.5714285714285715,0.6945219668196447,None + Linear-SVM,conscious,conscious,False,Image,False,3,2,2,1
27,sub-01,lh-lingual,0.6319444444444444,-0.11952286093343936,0.4615384615384615,0.6707494403097846,None + Linear-SVM,conscious,conscious,False,Image,False,2,3,5,2
28,sub-01,lh-lingual,0.7775,0.15309310892394865,0.5833333333333334,0.6149088034975094,None + Linear-SVM,conscious,conscious,False,Image,False,3,7,9,1
29,sub-01,lh-lingual,0.5,0.0,0.3333333333333333,0.708091432331377,None + Linear-SVM,conscious,conscious,False,Image,False,3,1,3,1
30,sub-01,lh-lingual,0.7278106508875739,0.18446619684315546,0.5714285714285714,0.6342152844046696,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,5,1
31,sub-01,lh-lingual,0.2777777777777778,-0.31622776601683794,0.0,0.7759551895311038,None + Linear-SVM,conscious,conscious,False,Image,False,3,0,2,1
