fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,lh-precuneus,0.6180555555555556,0.3142857142857143,0.6,0.6866794043309197,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,2,2
2,sub-01,lh-precuneus,0.42011834319526625,0.05143444998736397,0.4,0.7011539988767217,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,4,2
3,sub-01,lh-precuneus,0.6776859504132231,0.21428571428571427,0.5,0.6779570878193563,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,2
4,sub-01,lh-precuneus,0.654320987654321,0.35714285714285715,0.5,0.6808147029266692,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,1,1
5,sub-01,lh-precuneus,0.8061224489795918,0.6324555320336759,0.7272727272727273,0.6785434741248938,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,4,3,0
6,sub-01,lh-precuneus,0.55,0.047619047619047616,0.3333333333333333,0.6900465674257703,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,2
7,sub-01,lh-precuneus,0.6944444444444445,0.47809144373375745,0.6666666666666665,0.6781367274523533,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,1
8,sub-01,lh-precuneus,0.66,0.5238095238095238,0.6666666666666666,0.6841387476809915,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,1,1
9,sub-01,lh-precuneus,0.69,0.047619047619047616,0.3333333333333333,0.6846382307784037,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,2
10,sub-01,lh-precuneus,0.6736111111111112,0.11952286093343936,0.4444444444444445,0.674500783134136,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,2
11,sub-01,lh-precuneus,0.35502958579881655,-0.23809523809523808,0.3333333333333333,0.6983106211342347,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,4,4
12,sub-01,lh-precuneus,0.44970414201183434,-0.09759000729485333,0.3636363636363636,0.6999751117899012,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,3
13,sub-01,lh-precuneus,0.5739644970414202,0.07142857142857142,0.5,0.6856075990069412,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,3
14,sub-01,lh-precuneus,0.5,-0.2182178902359924,0.0,0.6897102914471268,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,1,2
15,sub-01,lh-precuneus,0.5155555555555555,0.07142857142857142,0.5333333333333333,0.6898782078489802,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,4,3
16,sub-01,lh-precuneus,0.3888888888888889,-0.23904572186687872,0.22222222222222224,0.6963514695025529,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,4,3
17,sub-01,lh-precuneus,0.6428571428571428,0.14907119849998599,0.5,0.681446285393939,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,4,2
18,sub-01,lh-precuneus,0.33999999999999997,-0.3563483225498992,0.2222222222222222,0.7017288578102143,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,5
19,sub-01,lh-precuneus,0.6776859504132231,0.21428571428571427,0.5,0.6745638556094072,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,2
20,sub-01,lh-precuneus,0.49,0.047619047619047616,0.3333333333333333,0.6916395566378055,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,2
21,sub-01,lh-precuneus,0.6419753086419753,0.35714285714285715,0.5,0.6837063264349393,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,1,1
22,sub-01,lh-precuneus,0.6173469387755102,0.14907119849998599,0.5,0.6856804091291135,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,4,2
23,sub-01,lh-precuneus,0.5833333333333333,-0.02857142857142857,0.4000000000000001,0.6874771113131146,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,3
24,sub-01,lh-precuneus,0.3305785123966942,-0.4485426135725303,0.2,0.7089434633187266,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,5
25,sub-01,lh-precuneus,0.71,0.5238095238095238,0.6666666666666666,0.6813027583614625,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,1,1
26,sub-01,lh-precuneus,0.6296296296296297,0.35714285714285715,0.5,0.6825105439793566,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,1,1
27,sub-01,lh-precuneus,0.653061224489796,0.28867513459481287,0.6153846153846153,0.6812035357323251,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,2
28,sub-01,lh-precuneus,0.7291666666666666,0.3142857142857143,0.6,0.6763891340770886,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,2,2
29,sub-01,lh-precuneus,0.640625,-0.2182178902359924,0.0,0.6845735717056552,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,1,2
30,sub-01,lh-precuneus,0.7857142857142857,0.28867513459481287,0.6153846153846153,0.6653787092881557,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,2
31,sub-01,lh-precuneus,0.3140495867768595,-0.6900655593423543,0.0,0.7061801114761881,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,4,5
32,sub-01,lh-precuneus,0.5902777777777778,0.11952286093343936,0.4444444444444445,0.6879217841914625,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,2
33,sub-01,lh-precuneus,0.6683673469387754,0.28867513459481287,0.6153846153846153,0.6829428115462097,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,2
34,sub-01,lh-precuneus,0.6094674556213018,0.05143444998736397,0.4,0.6844994775645529,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,4,2
35,sub-01,lh-precuneus,0.6666666666666666,0.3392857142857143,0.6666666666666666,0.6835447656352438,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,5,3,2
36,sub-01,lh-precuneus,0.6071428571428572,0.31622776601683794,0.5454545454545454,0.6825908887131298,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,4,1
37,sub-01,lh-precuneus,0.5088757396449705,-0.09759000729485333,0.3636363636363636,0.6909056556915866,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,3
38,sub-01,lh-precuneus,0.5408163265306123,0.0,0.4615384615384615,0.6882303904925964,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,4,3
39,sub-01,lh-precuneus,0.5562130177514792,0.07142857142857142,0.5,0.6859798603114695,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,3
40,sub-01,lh-precuneus,0.4814814814814815,-0.05976143046671968,0.28571428571428575,0.6909854760161378,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,4
41,sub-01,lh-precuneus,0.5306122448979591,-0.14285714285714285,0.42857142857142855,0.6920627121198955,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,4,4
42,sub-01,lh-precuneus,0.5325443786982248,0.07142857142857142,0.5,0.6923119188116227,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,3
43,sub-01,lh-precuneus,0.5916955017301038,0.21428571428571427,0.588235294117647,0.6868732045969098,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,5,5,2
44,sub-01,lh-precuneus,0.453125,-0.29277002188455997,0.0,0.6951435411128406,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,3
45,sub-01,lh-precuneus,0.5599999999999999,0.047619047619047616,0.3333333333333333,0.6878715892576089,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,2
46,sub-01,lh-precuneus,0.4375,-0.1690308509457033,0.3636363636363636,0.6961435078493379,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,4
47,sub-01,lh-precuneus,0.5,-0.2182178902359924,0.25,0.6860143844061086,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,4
48,sub-01,lh-precuneus,0.7142857142857143,0.7302967433402214,0.888888888888889,0.6812385270999007,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,1,0
49,sub-01,lh-precuneus,0.34375,0.5773502691896258,0.8,0.701734236704239,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,2,0
50,sub-01,lh-precuneus,0.7222222222222222,0.7071067811865476,0.8571428571428571,0.6819034839805863,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,1,0
51,sub-01,lh-precuneus,1.0,0.5773502691896258,0.6666666666666666,0.6658580597725756,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,0
52,sub-01,lh-precuneus,0.6172839506172839,0.5976143046671968,0.8333333333333333,0.6881342041291264,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,5,2,0
53,sub-01,lh-precuneus,0.76,0.6666666666666666,0.8,0.6794976871708129,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,1,0
54,sub-01,lh-precuneus,0.7755102040816326,0.5477225575051661,0.7499999999999999,0.671222670113127,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,2,0
55,sub-01,lh-precuneus,0.88,0.6666666666666666,0.8,0.6798929939963062,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,1,0
56,sub-01,lh-precuneus,0.84,0.6666666666666666,0.8,0.6809627352955332,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,1,0
57,sub-01,lh-precuneus,0.7346938775510203,0.7302967433402214,0.888888888888889,0.6803711150732124,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,1,0
58,sub-01,lh-precuneus,0.421875,0.5773502691896258,0.8,0.6980836979477562,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,2,0
59,sub-01,lh-precuneus,0.375,0.4472135954999579,0.6666666666666666,0.701819405512693,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,0
60,sub-01,lh-precuneus,0.46875,0.5773502691896258,0.8,0.6959049687869749,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,2,0
61,sub-01,lh-precuneus,1.0,0.0,0.0,0.6641337369097208,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,0
