fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,rh-inferiorparietal,0.29333333333333333,-0.6590909090909091,0.13333333333333333,0.8830248748509238,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,10,3
2,sub-01,rh-inferiorparietal,0.375,-0.5,0.25,0.8504053271136647,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,3,3
3,sub-01,rh-inferiorparietal,0.12,-0.4082482904638631,0.0,1.113885936089032,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,2
4,sub-01,rh-inferiorparietal,0.5289256198347108,-0.21428571428571427,0.36363636363636365,0.7300944948825616,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,5,2
5,sub-01,rh-inferiorparietal,0.5857988165680473,-0.2777777777777778,0.30769230769230765,0.7053894232562391,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,7,2
6,sub-01,rh-inferiorparietal,0.596938775510204,-0.41079191812887456,0.37499999999999994,0.7106290027368839,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,3,7,3
7,sub-01,rh-inferiorparietal,0.12345679012345681,-0.7905694150420948,0.0,0.9634987426447369,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,5,3
8,sub-01,rh-inferiorparietal,0.3520408163265306,-0.65,0.14285714285714288,0.8471928378805209,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,9,3
9,sub-01,rh-inferiorparietal,0.3471074380165289,-0.6071428571428571,0.18181818181818182,0.8582351966542956,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,6,3
10,sub-01,rh-inferiorparietal,0.375,-0.5,0.25,0.8536113431352432,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,3,3
11,sub-01,rh-inferiorparietal,0.5185185185185186,0.15811388300841897,0.5,0.8768073729924512,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,1
