fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,lh-inferiorparietal,0.5582782262972129,-0.007193263145606796,0.46258503401360546,0.6874501335396775,None + Linear-SVM,unconscious,unconscious,False,Image,False,44,34,35,44
2,sub-01,lh-inferiorparietal,0.5933709278266867,0.06980734916304777,0.5034013605442177,0.6815131101741595,None + Linear-SVM,unconscious,unconscious,False,Image,False,47,37,32,41
3,sub-01,lh-inferiorparietal,0.57572315306909,0.018473607623944725,0.4761904761904762,0.6850578645099674,None + Linear-SVM,unconscious,unconscious,False,Image,False,45,35,34,43
4,sub-01,lh-inferiorparietal,0.5700839790660879,0.0040877447661147315,0.4657534246575342,0.6848389404500775,None + Linear-SVM,unconscious,unconscious,False,Image,False,45,34,35,43
5,sub-01,lh-inferiorparietal,0.5728427116718732,0.05542981902851576,0.4931506849315068,0.6853583089637764,None + Linear-SVM,unconscious,unconscious,False,Image,False,47,36,33,41
6,sub-01,lh-inferiorparietal,0.562700312385898,-0.05040194280323917,0.4305555555555556,0.686048061211195,None + Linear-SVM,unconscious,unconscious,False,Image,False,44,31,38,44
7,sub-01,lh-inferiorparietal,0.5632682867459126,0.026673755444571377,0.4722222222222222,0.686556030715913,None + Linear-SVM,unconscious,unconscious,False,Image,False,47,34,35,41
8,sub-01,lh-inferiorparietal,0.533814759219441,-0.047254329496286294,0.43835616438356173,0.6893859284126804,None + Linear-SVM,unconscious,unconscious,False,Image,False,43,32,37,45
9,sub-01,lh-inferiorparietal,0.59694105237535,0.05542981902851576,0.4931506849315068,0.6848635595916375,None + Linear-SVM,unconscious,unconscious,False,Image,False,47,36,33,41
10,sub-01,lh-inferiorparietal,0.5939794717838452,0.10677189329091678,0.5205479452054795,0.6832830501998038,None + Linear-SVM,unconscious,unconscious,False,Image,False,49,38,31,39
