fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,lh-inferiortemporal,0.5947780186633991,0.10323804702895004,0.5964912280701753,0.7015579969292249,None + Linear-SVM,conscious,conscious,False,Image,False,23,34,27,19
2,sub-01,lh-inferiortemporal,0.6830992553492318,0.30088709617359416,0.6842105263157895,0.6370810100505666,None + Linear-SVM,conscious,conscious,False,Image,False,28,39,22,14
3,sub-01,lh-inferiortemporal,0.5727212743896692,0.015351382457836437,0.5405405405405406,0.7080825371133971,None + Linear-SVM,conscious,conscious,False,Image,False,22,30,31,20
4,sub-01,lh-inferiortemporal,0.638702988029032,0.1661160416303048,0.6194690265486725,0.6786467469799545,None + Linear-SVM,conscious,conscious,False,Image,False,25,35,26,17
5,sub-01,lh-inferiortemporal,0.5924215288905645,0.03879152838736393,0.5454545454545455,0.7168835528685656,None + Linear-SVM,conscious,conscious,False,Image,False,23,30,31,19
6,sub-01,lh-inferiortemporal,0.6263549816193799,0.14276785685787888,0.6140350877192982,0.6713456908713074,None + Linear-SVM,conscious,conscious,False,Image,False,24,35,26,18
7,sub-01,lh-inferiortemporal,0.5644264303892921,-0.00805643619916028,0.5357142857142858,0.7107883067368813,None + Linear-SVM,conscious,conscious,False,Image,False,21,30,31,21
8,sub-01,lh-inferiortemporal,0.5846922424356679,-0.02417842737109239,0.5225225225225224,0.708858226434645,None + Linear-SVM,conscious,conscious,False,Image,False,21,29,32,21
9,sub-01,lh-inferiortemporal,0.6405881798472994,0.19856653639868468,0.6434782608695653,0.6596788795496119,None + Linear-SVM,conscious,conscious,False,Image,False,25,37,24,17
10,sub-01,lh-inferiortemporal,0.5865774342539354,0.05488119228676527,0.5585585585585586,0.6943007548692579,None + Linear-SVM,conscious,conscious,False,Image,False,23,31,30,19
11,sub-01,lh-inferiortemporal,0.6029786030728628,0.08708623891473255,0.5840707964601771,0.7015017591739394,None + Linear-SVM,conscious,conscious,False,Image,False,23,33,28,19
12,sub-01,lh-inferiortemporal,0.6471863512112357,0.15000316923198426,0.6071428571428571,0.6619354535411226,None + Linear-SVM,conscious,conscious,False,Image,False,25,34,27,17
13,sub-01,lh-inferiortemporal,0.5883683664812895,0.12660114027251868,0.6017699115044247,0.7156648800206421,None + Linear-SVM,conscious,conscious,False,Image,False,24,34,27,18
14,sub-01,lh-inferiortemporal,0.5532095390706004,-0.07988750400566037,0.49090909090909085,0.7057825132530255,None + Linear-SVM,conscious,conscious,False,Image,False,20,27,34,22
