fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,lh-lingual,0.5670006896831514,0.029758781897315244,0.4794520547945206,0.686249715222526,None + Linear-SVM,unconscious,unconscious,False,Image,False,46,35,34,42
2,sub-01,lh-lingual,0.5670006896831514,-0.010304462958759943,0.45517241379310347,0.6850865033079472,None + Linear-SVM,unconscious,unconscious,False,Image,False,45,33,36,43
3,sub-01,lh-lingual,0.5648099314373808,0.0040877447661147315,0.4657534246575342,0.6856026217088775,None + Linear-SVM,unconscious,unconscious,False,Image,False,45,34,35,43
4,sub-01,lh-lingual,0.5979147227068036,0.18082515194019247,0.5555555555555555,0.6839307659061258,None + Linear-SVM,unconscious,unconscious,False,Image,False,53,40,29,35
5,sub-01,lh-lingual,0.5742220779747658,0.05542981902851576,0.4931506849315068,0.6848471289110902,None + Linear-SVM,unconscious,unconscious,False,Image,False,47,36,33,41
6,sub-01,lh-lingual,0.5337336200251531,-0.12114109070215082,0.40540540540540543,0.687443663834007,None + Linear-SVM,unconscious,unconscious,False,Image,False,39,30,39,49
7,sub-01,lh-lingual,0.5960485212381842,0.16945116865516352,0.5517241379310345,0.6832586546278098,None + Linear-SVM,unconscious,unconscious,False,Image,False,52,40,29,36
8,sub-01,lh-lingual,0.5535315834313765,-0.06980734916304777,0.4324324324324324,0.6863438107633645,None + Linear-SVM,unconscious,unconscious,False,Image,False,41,32,37,47
9,sub-01,lh-lingual,0.5629437299687613,-0.018473607623944725,0.4594594594594595,0.6857829642037153,None + Linear-SVM,unconscious,unconscious,False,Image,False,43,34,35,45
10,sub-01,lh-lingual,0.5205485009533855,-0.10677189329091678,0.41610738255033564,0.6950945834986048,None + Linear-SVM,unconscious,unconscious,False,Image,False,39,31,38,49
11,sub-01,lh-lingual,0.5676092336403099,0.044140478393496246,0.4897959183673469,0.6861114622552066,None + Linear-SVM,unconscious,unconscious,False,Image,False,46,36,33,42
