fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,lh-precuneus,0.6502026581204637,0.1661160416303048,0.6194690265486725,0.6593774727797052,None + Linear-SVM,conscious,conscious,False,Image,False,25,35,26,17
2,sub-01,lh-precuneus,0.5919502309359977,0.12660114027251868,0.6017699115044247,0.6888495999344638,None + Linear-SVM,conscious,conscious,False,Image,False,24,34,27,18
3,sub-01,lh-precuneus,0.5952493166179659,0.015351382457836437,0.5405405405405406,0.6827915000544332,None + Linear-SVM,conscious,conscious,False,Image,False,22,30,31,20
4,sub-01,lh-precuneus,0.6019417475728156,0.03145846515862585,0.5535714285714285,0.6769871925598202,None + Linear-SVM,conscious,conscious,False,Image,False,22,31,30,20
5,sub-01,lh-precuneus,0.5877085493448959,0.05488119228676527,0.5585585585585586,0.6790556167540039,None + Linear-SVM,conscious,conscious,False,Image,False,23,31,30,19
6,sub-01,lh-precuneus,0.6338957488924498,0.1822976666868077,0.631578947368421,0.6708002592398805,None + Linear-SVM,conscious,conscious,False,Image,False,25,36,25,17
7,sub-01,lh-precuneus,0.6408709586200396,0.12660114027251868,0.6017699115044247,0.6642878025644833,None + Linear-SVM,conscious,conscious,False,Image,False,24,34,27,18
8,sub-01,lh-precuneus,0.6310679611650486,0.12660114027251868,0.6017699115044247,0.6658505263673093,None + Linear-SVM,conscious,conscious,False,Image,False,24,34,27,18
9,sub-01,lh-precuneus,0.5917617117541709,0.04757133755694641,0.5663716814159292,0.6827400430621521,None + Linear-SVM,conscious,conscious,False,Image,False,22,32,29,20
10,sub-01,lh-precuneus,0.61183900461872,0.1822976666868077,0.631578947368421,0.6735082652874048,None + Linear-SVM,conscious,conscious,False,Image,False,25,36,25,17
11,sub-01,lh-precuneus,0.6189084739372231,0.14276785685787888,0.6140350877192982,0.6707427398509718,None + Linear-SVM,conscious,conscious,False,Image,False,24,35,26,18
12,sub-01,lh-precuneus,0.6380431708926384,0.254546109302293,0.6724137931034484,0.6680266528834561,None + Linear-SVM,conscious,conscious,False,Image,False,26,39,22,16
13,sub-01,lh-precuneus,0.61937977189179,0.07097336651641199,0.5714285714285714,0.6745974346905108,None + Linear-SVM,conscious,conscious,False,Image,False,23,32,29,19
14,sub-01,lh-precuneus,0.5950607974361392,-0.03145846515862585,0.5309734513274337,0.6777886478802727,None + Linear-SVM,conscious,conscious,False,Image,False,20,30,31,22
15,sub-01,lh-precuneus,0.6154208690734283,0.08708623891473255,0.5840707964601771,0.6738312078720743,None + Linear-SVM,conscious,conscious,False,Image,False,23,33,28,19
16,sub-01,lh-precuneus,0.5765859176171175,-0.04757133755694641,0.5178571428571428,0.6812921416668856,None + Linear-SVM,conscious,conscious,False,Image,False,20,29,32,22
17,sub-01,lh-precuneus,0.5318126119332642,-0.10323804702895004,0.48648648648648646,0.714519304925306,None + Linear-SVM,conscious,conscious,False,Image,False,19,27,34,23
18,sub-01,lh-precuneus,0.580450560844566,0.03145846515862585,0.5535714285714285,0.684557646114618,None + Linear-SVM,conscious,conscious,False,Image,False,22,31,30,20
19,sub-01,lh-precuneus,0.637666132528985,0.10189534586874266,0.5688073394495413,0.674260095871726,None + Linear-SVM,conscious,conscious,False,Image,False,25,31,30,17
20,sub-01,lh-precuneus,0.6190027335281365,0.05488119228676527,0.5585585585585586,0.6710807162219959,None + Linear-SVM,conscious,conscious,False,Image,False,23,31,30,19
21,sub-01,lh-precuneus,0.6111791874823262,0.03145846515862585,0.5535714285714285,0.6738642737977035,None + Linear-SVM,conscious,conscious,False,Image,False,22,31,30,20
22,sub-01,lh-precuneus,0.6043924969365633,0.11048826787419812,0.5892857142857144,0.6820972792424415,None + Linear-SVM,conscious,conscious,False,Image,False,24,33,28,18
23,sub-01,lh-precuneus,0.6226788575737581,0.11048826787419812,0.5892857142857144,0.6677040613692525,None + Linear-SVM,conscious,conscious,False,Image,False,24,33,28,18
24,sub-01,lh-precuneus,0.5747007257988501,-0.07988750400566037,0.49090909090909085,0.685804565884474,None + Linear-SVM,conscious,conscious,False,Image,False,20,27,34,22
25,sub-01,lh-precuneus,0.5755490621170705,-0.1194471814700018,0.4727272727272728,0.6827577440128014,None + Linear-SVM,conscious,conscious,False,Image,False,19,26,35,23
