fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,lh-rostralmiddlefrontal,0.5233072335591707,-0.0729253666274868,0.4246575342465754,0.6975404185876412,None + Linear-SVM,unconscious,unconscious,False,Image,False,42,31,38,46
2,sub-01,lh-rostralmiddlefrontal,0.5529230394742181,-0.05852700468470984,0.435374149659864,0.6900099431348061,None + Linear-SVM,unconscious,unconscious,False,Image,False,42,32,37,46
3,sub-01,lh-rostralmiddlefrontal,0.5289869771593168,-0.06980734916304777,0.4324324324324324,0.6991875744381398,None + Linear-SVM,unconscious,unconscious,False,Image,False,41,32,37,47
4,sub-01,lh-rostralmiddlefrontal,0.5513002555884621,-0.010304462958759943,0.45517241379310347,0.6902953383856097,None + Linear-SVM,unconscious,unconscious,False,Image,False,45,33,36,43
5,sub-01,lh-rostralmiddlefrontal,0.5632682867459127,0.052365654860508225,0.48611111111111116,0.6865384550957483,None + Linear-SVM,unconscious,unconscious,False,Image,False,48,35,34,40
6,sub-01,lh-rostralmiddlefrontal,0.5308937482250801,-0.12114109070215082,0.40540540540540543,0.6940713678327886,None + Linear-SVM,unconscious,unconscious,False,Image,False,39,30,39,49
7,sub-01,lh-rostralmiddlefrontal,0.5461884863483305,-0.03286013391515832,0.44897959183673475,0.6935454758604883,None + Linear-SVM,unconscious,unconscious,False,Image,False,43,33,36,45
8,sub-01,lh-rostralmiddlefrontal,0.5813217574749483,0.04105428893093248,0.48275862068965514,0.6828324865542217,None + Linear-SVM,unconscious,unconscious,False,Image,False,47,35,34,41
9,sub-01,lh-rostralmiddlefrontal,0.5654184753945394,0.06980734916304777,0.5034013605442177,0.6878718879263904,None + Linear-SVM,unconscious,unconscious,False,Image,False,47,37,32,41
10,sub-01,lh-rostralmiddlefrontal,0.5170595155990101,-0.05852700468470984,0.435374149659864,0.6969547886305085,None + Linear-SVM,unconscious,unconscious,False,Image,False,42,32,37,46
11,sub-01,lh-rostralmiddlefrontal,0.5493123453284109,-0.12114109070215082,0.40540540540540543,0.6917882269084906,None + Linear-SVM,unconscious,unconscious,False,Image,False,39,30,39,49
12,sub-01,lh-rostralmiddlefrontal,0.5727615724775853,0.007193263145606796,0.472972972972973,0.6847481275075353,None + Linear-SVM,unconscious,unconscious,False,Image,False,44,35,34,44
13,sub-01,lh-rostralmiddlefrontal,0.582660554180697,0.061663214848452365,0.5066666666666666,0.6836815973351256,None + Linear-SVM,unconscious,unconscious,False,Image,False,45,38,31,43
14,sub-01,lh-rostralmiddlefrontal,0.5549109497342691,-0.03286013391515832,0.44897959183673475,0.6912608129498401,None + Linear-SVM,unconscious,unconscious,False,Image,False,43,33,36,45
15,sub-01,lh-rostralmiddlefrontal,0.5356809606880604,-0.09547421993259929,0.4189189189189189,0.6930845269920978,None + Linear-SVM,unconscious,unconscious,False,Image,False,40,31,38,48
16,sub-01,lh-rostralmiddlefrontal,0.5152338837275346,-0.08419387545426137,0.4217687074829932,0.6988656630388262,None + Linear-SVM,unconscious,unconscious,False,Image,False,41,31,38,47
