fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,lh-fusiform,0.375,-0.2608745973749754,0.2222222222222222,0.653676146251287,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,5
2,sub-02,lh-fusiform,0.203125,-0.629940788348712,0.13333333333333333,0.7044464195192286,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,7,6
3,sub-02,lh-fusiform,0.625,0.18055555555555555,0.5882352941176471,0.7047503243165408,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,4,3
4,sub-02,lh-fusiform,0.2857142857142857,-0.3392857142857143,0.2857142857142857,0.694907802375507,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,5,5
5,sub-02,lh-fusiform,0.625,0.10206207261596577,0.3333333333333333,0.6353723680352659,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,1,3
6,sub-02,lh-fusiform,0.625,0.08333333333333333,0.3333333333333333,0.6507268258304517,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,1,2,2
7,sub-02,lh-fusiform,0.625,-0.03857583749052298,0.28571428571428575,0.6502714555773753,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,2,3
8,sub-02,lh-fusiform,0.8,0.35,0.6,0.6703927216949757,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,3,2,2
9,sub-02,lh-fusiform,0.7000000000000001,0.35,0.6,0.6737285126229771,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,3,2,2
10,sub-02,lh-fusiform,0.65625,0.25,0.5,0.6622892929733791,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,2,2
11,sub-02,lh-fusiform,0.20833333333333331,-0.5590169943749475,0.0,0.6535460064066279,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,3,5
12,sub-02,lh-fusiform,0.5892857142857143,0.19642857142857142,0.5714285714285714,0.6930744679870688,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,3,3
13,sub-02,lh-fusiform,0.17857142857142855,-0.3392857142857143,0.2857142857142857,0.7091332789487397,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,5,5
14,sub-02,lh-fusiform,0.625,0.31754264805429416,0.5,0.6721905739507782,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,7,2,3,1
15,sub-02,lh-fusiform,0.6785714285714285,0.19642857142857142,0.5714285714285714,0.6886954147611378,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,3,3
16,sub-02,lh-fusiform,0.578125,0.2581988897471611,0.5714285714285715,0.6990605270788903,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,4,4,2
17,sub-02,lh-fusiform,0.625,0.1259881576697424,0.5333333333333333,0.6962639296427657,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,4,3
18,sub-02,lh-fusiform,0.5125000000000001,0.0,0.5263157894736842,0.7107089589488934,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,5,5,4
19,sub-02,lh-fusiform,0.7,0.35,0.6666666666666665,0.7079081362368281,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,6,4,2
20,sub-02,lh-fusiform,0.5694444444444444,0.07042952122737638,0.5,0.7034713057139438,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,5,3
21,sub-02,lh-fusiform,0.5625,0.0,0.4,0.661870854450501,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,2,4
22,sub-02,lh-fusiform,0.546875,0.0,0.5,0.6947503671437272,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,4,4
23,sub-02,lh-fusiform,0.55,0.025,0.4000000000000001,0.6717028262422908,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
24,sub-02,lh-fusiform,0.7083333333333334,0.5277777777777778,0.7777777777777778,0.7028211780512211,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,7,2,2
