fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,lh-parahippocampal,0.4642857142857143,-0.17857142857142858,0.25,0.679765180397152,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,3
2,sub-02,lh-parahippocampal,0.6571428571428571,0.3142857142857143,0.6,0.6728981478080266,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,2,2
3,sub-02,lh-parahippocampal,0.7755102040816326,0.28867513459481287,0.6153846153846153,0.6734977472024634,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,2
4,sub-02,lh-parahippocampal,0.8571428571428572,0.47809144373375745,0.6666666666666665,0.6662823261615367,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,1
5,sub-02,lh-parahippocampal,0.5714285714285714,0.06900655593423542,0.4444444444444445,0.6761396945724908,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,2,3
6,sub-02,lh-parahippocampal,0.3877551020408163,-0.14907119849998599,0.3333333333333333,0.7064741435641073,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,5,3
7,sub-02,lh-parahippocampal,0.7551020408163265,0.28867513459481287,0.6153846153846153,0.6852948848516772,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,2
8,sub-02,lh-parahippocampal,0.6666666666666666,0.047619047619047616,0.3333333333333333,0.6658865833126181,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,2
9,sub-02,lh-parahippocampal,0.9142857142857144,0.6571428571428571,0.8000000000000002,0.6663229429554389,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,1,1
10,sub-02,lh-parahippocampal,0.2285714285714286,-0.50709255283711,0.1818181818181818,0.6968387963004261,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,5
11,sub-02,lh-parahippocampal,0.5510204081632654,0.14285714285714285,0.5714285714285714,0.6909235840728749,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,3,3
12,sub-02,lh-parahippocampal,0.3095238095238096,-0.23809523809523808,0.3333333333333333,0.7162815870908188,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,4,4
13,sub-02,lh-parahippocampal,0.5714285714285715,0.07142857142857142,0.5,0.6793753971545192,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,3
14,sub-02,lh-parahippocampal,0.0,-0.7559289460184544,0.0,0.6702923501296598,None + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,2,6
15,sub-02,lh-parahippocampal,0.7428571428571429,0.11952286093343936,0.4444444444444445,0.6778866023509084,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,2
16,sub-02,lh-parahippocampal,1.0,0.6614378277661476,0.6666666666666666,0.6463288622161996,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,1,1,0
17,sub-02,lh-parahippocampal,0.6571428571428573,0.1690308509457033,0.5454545454545454,0.6701386596001897,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,3
18,sub-02,lh-parahippocampal,0.47619047619047616,-0.2182178902359924,0.25,0.6670844502507861,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,4
19,sub-02,lh-parahippocampal,0.9387755102040817,0.7142857142857143,0.8571428571428571,0.6651746425913748,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,6,1,1
20,sub-02,lh-parahippocampal,0.7857142857142857,0.21428571428571427,0.5,0.6658853769607522,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,2
21,sub-02,lh-parahippocampal,0.4761904761904762,-0.0890870806374748,0.28571428571428575,0.6704924282509015,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
22,sub-02,lh-parahippocampal,0.6857142857142857,0.1690308509457033,0.5454545454545454,0.6697285388366248,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,3
23,sub-02,lh-parahippocampal,0.9047619047619047,0.5367450401216932,0.7272727272727272,0.6642397200881989,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,2,1
24,sub-02,lh-parahippocampal,0.8095238095238095,0.3563483225498992,0.5714285714285715,0.6633990212166102,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,1,2
25,sub-02,lh-parahippocampal,0.4857142857142857,0.11952286093343936,0.4444444444444445,0.6831463224998485,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,2
26,sub-02,lh-parahippocampal,0.9285714285714286,0.6071428571428571,0.75,0.6545866547760733,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,1,1
27,sub-02,lh-parahippocampal,0.7142857142857143,0.4472135954999579,0.6666666666666666,0.6804178252652909,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,3,1
28,sub-02,lh-parahippocampal,0.9142857142857143,0.47809144373375745,0.6666666666666665,0.667015513927915,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,1
29,sub-02,lh-parahippocampal,0.7857142857142857,0.1889822365046136,0.4,0.6559436761880671,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,1,2
30,sub-02,lh-parahippocampal,0.6571428571428571,0.02857142857142857,0.5,0.6743783138784308,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,4
31,sub-02,lh-parahippocampal,0.5892857142857143,0.19642857142857142,0.625,0.6985682706033064,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,5,3,3
32,sub-02,lh-parahippocampal,0.42857142857142855,-0.0890870806374748,0.28571428571428575,0.6712677079133706,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
33,sub-02,lh-parahippocampal,0.3428571428571429,-0.47809144373375745,0.3076923076923077,0.7055425666754435,None + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,3,6
34,sub-02,lh-parahippocampal,0.8,0.47809144373375745,0.6666666666666665,0.671069636951351,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,1
35,sub-02,lh-parahippocampal,0.8928571428571428,0.4485426135725303,0.6666666666666665,0.6588452261900252,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,1,2
36,sub-02,lh-parahippocampal,0.6190476190476191,0.21957751641341997,0.5454545454545454,0.6837972139130047,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,3,2
37,sub-02,lh-parahippocampal,0.8214285714285714,0.38575837490522974,0.5714285714285715,0.6662192416268998,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,1
38,sub-02,lh-parahippocampal,0.45238095238095244,-0.09759000729485333,0.3636363636363636,0.7009004480845775,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,3
39,sub-02,lh-parahippocampal,0.4857142857142857,-0.1690308509457033,0.3636363636363636,0.6838771693100645,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,4
40,sub-02,lh-parahippocampal,0.4285714285714286,-0.0890870806374748,0.28571428571428575,0.6717389107459655,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
41,sub-02,lh-parahippocampal,0.6428571428571429,0.21428571428571427,0.5,0.6720782757745039,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,2
42,sub-02,lh-parahippocampal,0.6071428571428571,0.07142857142857142,0.5333333333333333,0.6955105136976857,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,4,3
43,sub-02,lh-parahippocampal,0.3877551020408163,-0.14907119849998599,0.3333333333333333,0.7137066677765246,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,5,3
44,sub-02,lh-parahippocampal,0.7142857142857143,0.21821789023599236,0.5714285714285715,0.6915510066195406,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,4,2
