fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,lh-parahippocampal,0.5416666666666666,-0.14907119849998599,0.25,0.6491380325162308,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,4
2,sub-02,lh-parahippocampal,0.484375,0.0,0.5,0.7209847808164777,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,4,4
3,sub-02,lh-parahippocampal,0.5138888888888888,0.07042952122737638,0.5,0.7006846769505258,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,5,3
4,sub-02,lh-parahippocampal,0.33928571428571425,-0.07142857142857142,0.42857142857142855,0.7074271102203241,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
5,sub-02,lh-parahippocampal,0.875,0.375,0.5,0.6131932116301784,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,7,1,1,1
6,sub-02,lh-parahippocampal,0.4583333333333333,-0.14907119849998599,0.25,0.6560349250287991,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,4
7,sub-02,lh-parahippocampal,0.4583333333333333,-0.14907119849998599,0.25,0.6512877646343239,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,4
8,sub-02,lh-parahippocampal,0.44999999999999996,-0.09759000729485333,0.3636363636363636,0.6790606289145649,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,3,4
9,sub-02,lh-parahippocampal,0.45,-0.09759000729485333,0.3636363636363636,0.6738966233766589,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,3,4
10,sub-02,lh-parahippocampal,0.625,0.25,0.5,0.6565614415680098,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,2,2
11,sub-02,lh-parahippocampal,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.6389449854379186,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,1,2,2
