fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,lh-superiorparietal,1.0,0.816496580927726,0.9411764705882353,0.22146437929861792,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,8,1,0
2,sub-02,lh-superiorparietal,1.0,0.75,0.8571428571428571,0.4012528027122633,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,1,0
3,sub-02,lh-superiorparietal,1.0,0.6123724356957946,0.6666666666666666,0.3615039531798841,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,1,1,0
4,sub-02,lh-superiorparietal,1.0,0.75,0.8571428571428571,0.29810251948671534,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,1,0
5,sub-02,lh-superiorparietal,0.8787878787878788,0.6030226891555273,0.8421052631578948,0.38494832042811983,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,8,3,0
6,sub-02,lh-superiorparietal,1.0,0.8017837257372732,0.923076923076923,0.3027024813694602,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,6,1,0
7,sub-02,lh-superiorparietal,1.0,0.7905694150420948,0.9090909090909091,0.2773926188480967,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,5,1,0
8,sub-02,lh-superiorparietal,0.8333333333333334,0.5916079783099616,0.8235294117647058,0.46680186109977584,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,7,3,0
9,sub-02,lh-superiorparietal,0.9047619047619048,0.6546536707079772,0.8333333333333333,0.4190068780530554,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,5,2,0
10,sub-02,lh-superiorparietal,0.962962962962963,0.6831300510639732,0.8750000000000001,0.38885380261033337,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,7,2,0
11,sub-02,lh-superiorparietal,1.0,0.8017837257372732,0.923076923076923,0.36177453120296504,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,6,1,0
12,sub-02,lh-superiorparietal,0.8333333333333334,0.5477225575051661,0.6666666666666666,0.430819786143381,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,2,0
13,sub-02,lh-superiorparietal,0.8666666666666667,0.6,0.7499999999999999,0.49319613717470634,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,2,0
