fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,rh-inferiorparietal,0.7037037037037037,0.19245008972987526,0.6666666666666667,0.5647152487573239,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,5,4,1
2,sub-02,rh-inferiorparietal,0.4166666666666667,-0.09128709291752768,0.3333333333333333,0.6900855126336582,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,1
3,sub-02,rh-inferiorparietal,0.6666666666666667,0.16666666666666666,0.5,0.6799377369453004,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,1,1
4,sub-02,rh-inferiorparietal,0.5,-0.09128709291752768,0.3333333333333333,0.6674207411106744,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,1
5,sub-02,rh-inferiorparietal,0.6666666666666666,0.10050378152592121,0.5882352941176471,0.5469356616666007,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,5,6,1
6,sub-02,rh-inferiorparietal,0.4761904761904762,-0.047619047619047616,0.4,0.648265698912833,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,2,5,1
7,sub-02,rh-inferiorparietal,0.5,0.15811388300841897,0.6,0.66502851794895,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,3,3,1
8,sub-02,rh-inferiorparietal,0.9,0.5916079783099616,0.8235294117647058,0.5063118009373972,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,7,3,0
9,sub-02,rh-inferiorparietal,0.6666666666666667,0.2182178902359924,0.6666666666666666,0.6224037214593027,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,4,3,1
10,sub-02,rh-inferiorparietal,0.3703703703703704,0.09759000729485331,0.5714285714285714,0.6646133542344935,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,4,5,1
11,sub-02,rh-inferiorparietal,0.6666666666666667,0.2182178902359924,0.6666666666666666,0.5924379445601563,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,4,3,1
12,sub-02,rh-inferiorparietal,0.5,-0.09128709291752768,0.3333333333333333,0.6734739445268335,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,1
13,sub-02,rh-inferiorparietal,0.7333333333333334,0.2581988897471611,0.6666666666666665,0.5920288872254735,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,3,2,1
14,sub-02,rh-inferiorparietal,0.5,0.14085904245475275,0.625,0.61468434759942,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,5,5,1
15,sub-02,rh-inferiorparietal,0.4666666666666667,0.06666666666666667,0.5,0.6957007375842917,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,2,3,1
