fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,rh-parahippocampal,0.21428571428571433,-0.4485426135725303,0.2,0.7729515168031033,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,5
2,sub-02,rh-parahippocampal,0.5428571428571429,0.11952286093343936,0.4444444444444445,0.7382507521191847,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,2
3,sub-02,rh-parahippocampal,0.3877551020408163,-0.14285714285714285,0.42857142857142855,0.7557134931445629,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,4,4
4,sub-02,rh-parahippocampal,0.3142857142857143,-0.37142857142857144,0.20000000000000004,0.7606291226848412,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,4
5,sub-02,rh-parahippocampal,0.32142857142857145,-0.3105295017040594,0.22222222222222224,0.7838622877152379,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,4
6,sub-02,rh-parahippocampal,0.5306122448979592,0.0,0.4615384615384615,0.6930300888877821,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,4,3
7,sub-02,rh-parahippocampal,0.3877551020408163,-0.28867513459481287,0.30769230769230765,0.7364583073749541,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,5,4
8,sub-02,rh-parahippocampal,0.6190476190476191,0.2182178902359924,0.4,0.7163839519888932,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,2,1
9,sub-02,rh-parahippocampal,0.4,-0.1690308509457033,0.3636363636363636,0.7491090592406612,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,4
10,sub-02,rh-parahippocampal,0.4857142857142857,-0.1690308509457033,0.3636363636363636,0.705818640244213,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,4
