fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,rh-rostralmiddlefrontal,0.5925925925925926,0.29277002188455997,0.75,0.6096618257447538,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,6,3,1
2,sub-02,rh-rostralmiddlefrontal,0.6666666666666667,0.4166666666666667,0.75,0.6306276640795924,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,3,1,1
3,sub-02,rh-rostralmiddlefrontal,0.6666666666666667,0.16666666666666666,0.5,0.8898021652210272,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,1,1,1
4,sub-02,rh-rostralmiddlefrontal,0.5,0.16666666666666666,0.5714285714285715,0.8656093726879502,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,2,1
5,sub-02,rh-rostralmiddlefrontal,0.5757575757575758,0.251259453814803,0.7368421052631579,0.5914482790665094,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,7,4,1
6,sub-02,rh-rostralmiddlefrontal,0.6666666666666667,0.5238095238095238,0.8571428571428571,0.5851579947933948,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,6,1,1
7,sub-02,rh-rostralmiddlefrontal,0.6666666666666667,0.5,0.8333333333333334,0.6156213455503745,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,5,1,1
8,sub-02,rh-rostralmiddlefrontal,0.5666666666666667,0.2253744679276044,0.7058823529411764,0.6035151690036551,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,6,4,1
9,sub-02,rh-rostralmiddlefrontal,0.5714285714285714,0.2182178902359924,0.6666666666666666,0.6332804134110241,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,4,3,1
10,sub-02,rh-rostralmiddlefrontal,0.5925925925925926,0.19245008972987526,0.6666666666666667,0.6550947259341463,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,5,4,1
11,sub-02,rh-rostralmiddlefrontal,0.7142857142857143,0.3563483225498992,0.7692307692307692,0.58768458630998,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,5,2,1
12,sub-02,rh-rostralmiddlefrontal,0.5833333333333334,0.16666666666666666,0.5714285714285715,0.7034988789893609,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,2,1
13,sub-02,rh-rostralmiddlefrontal,0.6666666666666667,0.4666666666666667,0.8000000000000002,0.6350706613475741,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,4,1,1
14,sub-02,rh-rostralmiddlefrontal,0.5333333333333333,0.2253744679276044,0.7058823529411764,0.7109127919112852,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,6,4,1
15,sub-02,rh-rostralmiddlefrontal,0.6666666666666667,0.2581988897471611,0.6666666666666665,0.7321306670935829,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,3,2,1
16,sub-02,rh-rostralmiddlefrontal,0.6190476190476191,0.3563483225498992,0.7692307692307692,0.5811399028232971,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,5,2,1
17,sub-02,rh-rostralmiddlefrontal,0.6666666666666667,0.4666666666666667,0.8000000000000002,0.6949458104540436,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,4,1,1
18,sub-02,rh-rostralmiddlefrontal,0.4444444444444445,0.0,0.4,0.8787776961059462,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,1,2,1
19,sub-02,rh-rostralmiddlefrontal,0.4814814814814815,0.09759000729485331,0.5714285714285714,0.7233030990713214,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,4,5,1
20,sub-02,rh-rostralmiddlefrontal,0.5925925925925926,0.19245008972987526,0.6666666666666667,0.5988710467270705,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,5,4,1
21,sub-02,rh-rostralmiddlefrontal,0.7222222222222223,0.5,0.8333333333333334,0.5206803384198924,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,5,1,1
22,sub-02,rh-rostralmiddlefrontal,0.7083333333333334,0.5416666666666666,0.875,0.5232887718772067,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,7,1,1
23,sub-02,rh-rostralmiddlefrontal,0.6666666666666667,-0.3333333333333333,0.0,0.9961882812775948,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,1
24,sub-02,rh-rostralmiddlefrontal,0.6000000000000001,0.2253744679276044,0.7058823529411764,0.5538340761337639,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,6,4,1
25,sub-02,rh-rostralmiddlefrontal,0.6666666666666667,0.16666666666666666,0.5,0.9096303767852841,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,1,1,1
26,sub-02,rh-rostralmiddlefrontal,0.6000000000000001,0.2581988897471611,0.6666666666666665,0.6966687249491357,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,3,2,1
27,sub-02,rh-rostralmiddlefrontal,0.33333333333333337,-0.3333333333333333,0.0,1.1529937826337855,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,1
28,sub-02,rh-rostralmiddlefrontal,0.5666666666666667,0.31754264805429416,0.7777777777777777,0.7488239481741871,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,7,3,1
29,sub-02,rh-rostralmiddlefrontal,0.6666666666666667,0.4666666666666667,0.8000000000000002,0.6484142567302578,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,4,1,1
30,sub-02,rh-rostralmiddlefrontal,0.5555555555555556,0.19245008972987526,0.6666666666666667,0.6916723162832893,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,5,4,1
