fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,rh-rostralmiddlefrontal,0.3928571428571429,-0.17857142857142858,0.25,0.7504702759765863,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,3
2,sub-02,rh-rostralmiddlefrontal,0.48571428571428577,-0.23904572186687872,0.22222222222222224,0.6826367607231917,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,4,3
3,sub-02,rh-rostralmiddlefrontal,0.5102040816326531,0.0,0.4615384615384615,0.7570266203155881,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,4,3
4,sub-02,rh-rostralmiddlefrontal,0.5142857142857142,-0.02857142857142857,0.4000000000000001,0.7018355704091119,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,3
5,sub-02,rh-rostralmiddlefrontal,0.5,-0.17857142857142858,0.25,0.6931481077245631,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,3
6,sub-02,rh-rostralmiddlefrontal,0.5306122448979592,-0.14907119849998599,0.3333333333333333,0.729945401323228,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,5,3
7,sub-02,rh-rostralmiddlefrontal,0.7551020408163265,0.28867513459481287,0.6153846153846153,0.5838711153083714,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,2
8,sub-02,rh-rostralmiddlefrontal,0.33333333333333337,-0.2182178902359924,0.25,0.7626473284694691,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,4
9,sub-02,rh-rostralmiddlefrontal,0.37142857142857144,-0.37142857142857144,0.20000000000000004,0.7537062245864049,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,4
10,sub-02,rh-rostralmiddlefrontal,0.34285714285714286,-0.37142857142857144,0.20000000000000004,0.7720037090528934,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,4
