fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,lh-fusiform,0.42152255639097747,-0.07505224203395104,0.30379746835443033,1.0292907658043744,None + Linear-SVM,unconscious,conscious,False,Image,True,37,12,16,39
2,sub-02,lh-fusiform,0.4401913875598086,-0.1024333443780437,0.32967032967032966,1.0271320222573166,None + Linear-SVM,unconscious,conscious,False,Image,True,33,15,18,43
3,sub-02,lh-fusiform,0.47794117647058826,-0.039344473768231684,0.35955056179775285,0.9944547093191455,None + Linear-SVM,unconscious,conscious,False,Image,True,37,16,18,39
4,sub-02,lh-fusiform,0.4255756578947368,-0.05258077352870317,0.3448275862068966,1.0365746825261926,None + Linear-SVM,unconscious,conscious,False,Image,True,36,15,17,40
5,sub-02,lh-fusiform,0.4269005847953216,-0.039452652947995305,0.325,1.053890054845713,None + Linear-SVM,unconscious,conscious,False,Image,True,36,13,14,40
6,sub-02,lh-fusiform,0.4276315789473684,-0.11013775835078694,0.29268292682926833,1.0308261809015833,None + Linear-SVM,unconscious,conscious,False,Image,True,34,12,16,42
7,sub-02,lh-fusiform,0.4417293233082707,-0.05503831082489743,0.32098765432098764,1.0342391303777319,None + Linear-SVM,unconscious,conscious,False,Image,True,36,13,15,40
8,sub-02,lh-fusiform,0.42850877192982456,-0.11952548202007104,0.3023255813953488,1.0253144792091384,None + Linear-SVM,unconscious,conscious,False,Image,True,33,13,17,43
9,sub-02,lh-fusiform,0.4583333333333333,-0.03003638186462492,0.3414634146341463,1.0073953089085088,None + Linear-SVM,unconscious,conscious,False,Image,True,38,14,16,38
10,sub-02,lh-fusiform,0.4473684210526315,-0.015418360468855636,0.345679012345679,1.0192985803033883,None + Linear-SVM,unconscious,conscious,False,Image,True,38,14,15,38
11,sub-02,lh-fusiform,0.44501879699248115,-0.06675015657623451,0.3170731707317073,1.0212684617786247,None + Linear-SVM,unconscious,conscious,False,Image,True,35,13,15,41
12,sub-02,lh-fusiform,0.4514802631578947,-0.08111071056538126,0.3255813953488372,1.0080959901849835,None + Linear-SVM,unconscious,conscious,False,Image,True,36,14,18,40
13,sub-02,lh-fusiform,0.4432565789473684,-0.016533896164633438,0.35714285714285715,1.0213203242013953,None + Linear-SVM,unconscious,conscious,False,Image,True,39,15,17,37
14,sub-02,lh-fusiform,0.4565789473684211,-0.041885390829169554,0.3373493975903614,0.9947696421040101,None + Linear-SVM,unconscious,conscious,False,Image,True,37,14,16,39
15,sub-02,lh-fusiform,0.4609375,-0.04055535528269063,0.3488372093023256,1.002322060662343,None + Linear-SVM,unconscious,conscious,False,Image,True,37,15,17,39
16,sub-02,lh-fusiform,0.4218500797448166,-0.10589022034434008,0.3181818181818182,1.0147177921223136,None + Linear-SVM,unconscious,conscious,False,Image,True,35,14,19,41
17,sub-02,lh-fusiform,0.48165869218500795,-0.04178391573105783,0.3488372093023256,0.9992691758885004,None + Linear-SVM,unconscious,conscious,False,Image,True,38,15,18,38
18,sub-02,lh-fusiform,0.5082706766917293,0.03774406134740191,0.4044943820224719,0.9834426586527407,None + Linear-SVM,unconscious,conscious,False,Image,True,40,18,17,36
19,sub-02,lh-fusiform,0.44582043343653244,-0.054402889958273914,0.3448275862068966,0.9881251123019335,None + Linear-SVM,unconscious,conscious,False,Image,True,38,15,19,38
20,sub-02,lh-fusiform,0.44555353901996364,0.015418360468855636,0.36585365853658536,1.0350591452033326,None + Linear-SVM,unconscious,conscious,False,Image,True,38,15,14,38
21,sub-02,lh-fusiform,0.4688995215311005,-0.0139232815677679,0.36781609195402293,0.9941940778780014,None + Linear-SVM,unconscious,conscious,False,Image,True,38,16,17,38
22,sub-02,lh-fusiform,0.4192982456140351,-0.041885390829169554,0.3373493975903614,1.0313555339777292,None + Linear-SVM,unconscious,conscious,False,Image,True,37,14,16,39
23,sub-02,lh-fusiform,0.4671052631578948,-0.039344473768231684,0.35955056179775285,0.9950850292051251,None + Linear-SVM,unconscious,conscious,False,Image,True,37,16,18,39
24,sub-02,lh-fusiform,0.4228675136116153,-0.10062508937568941,0.29629629629629634,1.0333301012523652,None + Linear-SVM,unconscious,conscious,False,Image,True,36,12,17,40
25,sub-02,lh-fusiform,0.46710526315789475,-0.06419201820279224,0.3516483516483517,0.9803911879191597,None + Linear-SVM,unconscious,conscious,False,Image,True,37,16,20,39
26,sub-02,lh-fusiform,0.4984520123839009,-0.012163029749044225,0.3777777777777777,0.9767185683343411,None + Linear-SVM,unconscious,conscious,False,Image,True,37,17,17,39
27,sub-02,lh-fusiform,0.4135338345864662,-0.06428381557156529,0.3516483516483516,1.0363714861164415,None + Linear-SVM,unconscious,conscious,False,Image,True,36,16,19,40
28,sub-02,lh-fusiform,0.4468984962406015,0.02336255480168208,0.358974358974359,1.0177805804613322,None + Linear-SVM,unconscious,conscious,False,Image,True,40,14,14,36
29,sub-02,lh-fusiform,0.493984962406015,-0.001048446148538942,0.38202247191011235,0.9843268989706758,None + Linear-SVM,unconscious,conscious,False,Image,True,39,17,18,37
30,sub-02,lh-fusiform,0.40399610136452246,-0.13947608959655508,0.2716049382716049,1.03292279842764,None + Linear-SVM,unconscious,conscious,False,Image,True,33,11,16,43
31,sub-02,lh-fusiform,0.43979266347687396,-0.06595238637363741,0.3409090909090909,1.0206046428806772,None + Linear-SVM,unconscious,conscious,False,Image,True,36,15,18,40
32,sub-02,lh-fusiform,0.4470128022759602,-0.08811803974342503,0.34408602150537637,0.9971703746987859,None + Linear-SVM,unconscious,conscious,False,Image,True,36,16,21,40
33,sub-02,lh-fusiform,0.44936204146730463,-0.038118659965175564,0.3595505617977528,1.0218111879808318,None + Linear-SVM,unconscious,conscious,False,Image,True,36,16,17,40
34,sub-02,lh-fusiform,0.4342105263157895,-0.09342340544197432,0.30952380952380953,1.020443331525523,None + Linear-SVM,unconscious,conscious,False,Image,True,34,13,16,42
35,sub-02,lh-fusiform,0.45600328947368424,-0.08111071056538126,0.3255813953488372,0.9938665173556595,None + Linear-SVM,unconscious,conscious,False,Image,True,36,14,18,40
36,sub-02,lh-fusiform,0.4745065789473684,-0.02854384848701029,0.35294117647058826,1.0042788879803288,None + Linear-SVM,unconscious,conscious,False,Image,True,38,15,17,38
37,sub-02,lh-fusiform,0.45054446460980035,-0.08158461987332088,0.3132530120481928,1.0175894853033132,None + Linear-SVM,unconscious,conscious,False,Image,True,35,13,16,41
