fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,lh-pericalcarine,0.537593984962406,0.0468292905790847,0.3684210526315789,0.8199562011511864,None + Linear-SVM,unconscious,conscious,False,Image,True,42,14,14,34
2,sub-02,lh-pericalcarine,0.4944178628389154,-0.06595238637363741,0.3409090909090909,0.8146239137486118,None + Linear-SVM,unconscious,conscious,False,Image,True,36,15,18,40
3,sub-02,lh-pericalcarine,0.521671826625387,-0.027187948850804736,0.3636363636363636,0.8130251633235422,None + Linear-SVM,unconscious,conscious,False,Image,True,38,16,18,38
4,sub-02,lh-pericalcarine,0.5345394736842105,0.036104965293159756,0.3855421686746988,0.814321619292705,None + Linear-SVM,unconscious,conscious,False,Image,True,41,16,16,35
5,sub-02,lh-pericalcarine,0.5521442495126705,0.039452652947995305,0.36363636363636365,0.8219834565692845,None + Linear-SVM,unconscious,conscious,False,Image,True,40,14,13,36
6,sub-02,lh-pericalcarine,0.506578947368421,0.011674793205281272,0.35443037974683544,0.8239749742164254,None + Linear-SVM,unconscious,conscious,False,Image,True,39,14,14,37
7,sub-02,lh-pericalcarine,0.5103383458646618,0.03507632533162006,0.36363636363636365,0.8238455386375866,None + Linear-SVM,unconscious,conscious,False,Image,True,41,14,14,35
8,sub-02,lh-pericalcarine,0.47324561403508764,-0.041885390829169554,0.3373493975903614,0.8248685256396616,None + Linear-SVM,unconscious,conscious,False,Image,True,37,14,16,39
9,sub-02,lh-pericalcarine,0.5092105263157894,-0.006332475868613035,0.35000000000000003,0.8200783290712732,None + Linear-SVM,unconscious,conscious,False,Image,True,40,14,16,36
10,sub-02,lh-pericalcarine,0.545825771324864,0.0864902475408826,0.39473684210526316,0.8216170805767008,None + Linear-SVM,unconscious,conscious,False,Image,True,44,15,14,32
11,sub-02,lh-pericalcarine,0.5150375939849624,0.011674793205281272,0.35443037974683544,0.8233971379671351,None + Linear-SVM,unconscious,conscious,False,Image,True,39,14,14,37
12,sub-02,lh-pericalcarine,0.5250822368421052,0.024049303512194094,0.380952380952381,0.814215021503208,None + Linear-SVM,unconscious,conscious,False,Image,True,40,16,16,36
13,sub-02,lh-pericalcarine,0.5394736842105263,-0.012018462520846438,0.367816091954023,0.8131968058065705,None + Linear-SVM,unconscious,conscious,False,Image,True,37,16,16,39
14,sub-02,lh-pericalcarine,0.5157894736842106,0.02372561037512817,0.37037037037037035,0.8162102473539015,None + Linear-SVM,unconscious,conscious,False,Image,True,40,15,15,36
15,sub-02,lh-pericalcarine,0.5069901315789473,-0.04055535528269063,0.3488372093023256,0.8130506019190511,None + Linear-SVM,unconscious,conscious,False,Image,True,37,15,17,39
16,sub-02,lh-pericalcarine,0.4661084529505582,-0.10589022034434008,0.3181818181818182,0.8103606789165538,None + Linear-SVM,unconscious,conscious,False,Image,True,35,14,19,41
17,sub-02,lh-pericalcarine,0.5055821371610845,0.010269638719385327,0.3764705882352941,0.8144421794740706,None + Linear-SVM,unconscious,conscious,False,Image,True,40,16,17,36
18,sub-02,lh-pericalcarine,0.4988721804511278,-0.02550390509089275,0.37362637362637363,0.8115479700368793,None + Linear-SVM,unconscious,conscious,False,Image,True,37,17,18,39
19,sub-02,lh-pericalcarine,0.5317337461300309,0.02154985579603078,0.38095238095238104,0.8057146307420061,None + Linear-SVM,unconscious,conscious,False,Image,True,42,16,18,34
20,sub-02,lh-pericalcarine,0.4823049001814882,-0.04627187395800288,0.325,0.8212497848802865,None + Linear-SVM,unconscious,conscious,False,Image,True,38,13,16,38
21,sub-02,lh-pericalcarine,0.5043859649122807,0.038118659965175564,0.39534883720930236,0.8116777590815151,None + Linear-SVM,unconscious,conscious,False,Image,True,40,17,16,36
22,sub-02,lh-pericalcarine,0.5627192982456141,0.04755304752132901,0.379746835443038,0.812515312253033,None + Linear-SVM,unconscious,conscious,False,Image,True,42,15,15,34
23,sub-02,lh-pericalcarine,0.5278637770897833,0.024338134981333068,0.39080459770114945,0.813694849424312,None + Linear-SVM,unconscious,conscious,False,Image,True,40,17,17,36
24,sub-02,lh-pericalcarine,0.5399274047186934,0.08158461987332088,0.4,0.8208509023608443,None + Linear-SVM,unconscious,conscious,False,Image,True,41,16,13,35
25,sub-02,lh-pericalcarine,0.49378654970760233,-0.0013675335953583475,0.3820224719101123,0.8080484281440397,None + Linear-SVM,unconscious,conscious,False,Image,True,40,17,19,36
26,sub-02,lh-pericalcarine,0.5309597523219814,0.0,0.38202247191011235,0.8068711220613739,None + Linear-SVM,unconscious,conscious,False,Image,True,38,17,17,38
27,sub-02,lh-pericalcarine,0.5116541353383459,-0.08882617615350757,0.3440860215053763,0.8114695359469032,None + Linear-SVM,unconscious,conscious,False,Image,True,34,16,19,42
28,sub-02,lh-pericalcarine,0.506578947368421,0.02336255480168208,0.358974358974359,0.8207397194950156,None + Linear-SVM,unconscious,conscious,False,Image,True,40,14,14,36
29,sub-02,lh-pericalcarine,0.5116541353383459,0.06230910402519571,0.41379310344827586,0.8080041208692338,None + Linear-SVM,unconscious,conscious,False,Image,True,42,18,17,34
30,sub-02,lh-pericalcarine,0.4926900584795322,-0.04888698300077679,0.3116883116883117,0.8310386353246445,None + Linear-SVM,unconscious,conscious,False,Image,True,38,12,15,38
31,sub-02,lh-pericalcarine,0.5079744816586922,-0.001832627882941133,0.37209302325581395,0.8181326340464885,None + Linear-SVM,unconscious,conscious,False,Image,True,39,16,17,37
32,sub-02,lh-pericalcarine,0.5032005689900427,-0.025033534018018472,0.3829787234042553,0.8025657458452679,None + Linear-SVM,unconscious,conscious,False,Image,True,37,18,19,39
33,sub-02,lh-pericalcarine,0.5047846889952153,-0.0139232815677679,0.36781609195402293,0.8116295863347226,None + Linear-SVM,unconscious,conscious,False,Image,True,38,16,17,38
34,sub-02,lh-pericalcarine,0.4723230490018149,-0.02718500398456125,0.3414634146341463,0.8254671964365551,None + Linear-SVM,unconscious,conscious,False,Image,True,37,14,15,39
35,sub-02,lh-pericalcarine,0.5004111842105263,-0.08886509688649474,0.33333333333333337,0.814770939977305,None + Linear-SVM,unconscious,conscious,False,Image,True,33,15,17,43
