fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,rh-inferiorparietal,0.5413333333333333,0.0259499648053841,0.42424242424242425,0.9144622135178683,None + Linear-SVM,glimpse,conscious,False,Image,True,14,7,8,11
2,sub-02,rh-inferiorparietal,0.6475,0.19904664080911114,0.5294117647058824,0.8620165264844685,None + Linear-SVM,glimpse,conscious,False,Image,True,16,9,7,9
3,sub-02,rh-inferiorparietal,0.5688888888888889,0.05934424260562083,0.4736842105263158,0.8646886057419618,None + Linear-SVM,glimpse,conscious,False,Image,True,14,9,9,11
4,sub-02,rh-inferiorparietal,0.605,0.09829463743659808,0.47058823529411764,0.8701664544839319,None + Linear-SVM,glimpse,conscious,False,Image,True,15,8,8,10
5,sub-02,rh-inferiorparietal,0.5680000000000001,0.09048278567177281,0.47058823529411764,0.8838858311079111,None + Linear-SVM,glimpse,conscious,False,Image,True,14,8,7,11
6,sub-02,rh-inferiorparietal,0.5977777777777777,0.05934424260562083,0.4736842105263158,0.8501652906713616,None + Linear-SVM,glimpse,conscious,False,Image,True,14,9,9,11
7,sub-02,rh-inferiorparietal,0.6177777777777778,0.1140449604596933,0.5128205128205129,0.8538011443296529,None + Linear-SVM,glimpse,conscious,False,Image,True,14,10,8,11
8,sub-02,rh-inferiorparietal,0.5485714285714285,0.057735026918962574,0.43750000000000006,0.9255627977214186,None + Linear-SVM,glimpse,conscious,False,Image,True,14,7,7,11
9,sub-02,rh-inferiorparietal,0.61,0.1589626961144685,0.5142857142857142,0.8601799026604173,None + Linear-SVM,glimpse,conscious,False,Image,True,15,9,7,10
10,sub-02,rh-inferiorparietal,0.5974999999999999,-0.0024573659359149523,0.411764705882353,0.8650112664510864,None + Linear-SVM,glimpse,conscious,False,Image,True,14,7,9,11
11,sub-02,rh-inferiorparietal,0.5844444444444444,0.1140449604596933,0.5128205128205129,0.8501273982500488,None + Linear-SVM,glimpse,conscious,False,Image,True,14,10,8,11
12,sub-02,rh-inferiorparietal,0.4752941176470588,0.048507125007266595,0.4736842105263158,0.909676979717422,None + Linear-SVM,glimpse,conscious,False,Image,True,13,9,8,12
13,sub-02,rh-inferiorparietal,0.6352941176470588,0.08787448511194726,0.48648648648648646,0.8461663151646297,None + Linear-SVM,glimpse,conscious,False,Image,True,14,9,8,11
14,sub-02,rh-inferiorparietal,0.5476923076923077,0.09355285539274978,0.45161290322580644,0.9262576275296851,None + Linear-SVM,glimpse,conscious,False,Image,True,14,7,6,11
15,sub-02,rh-inferiorparietal,0.6175,0.1195477589361953,0.5,0.869400622496198,None + Linear-SVM,glimpse,conscious,False,Image,True,14,9,7,11
16,sub-02,rh-inferiorparietal,0.6307692307692307,0.13211031413252305,0.4666666666666667,0.9049122860380571,None + Linear-SVM,glimpse,conscious,False,Image,True,15,7,6,10
17,sub-02,rh-inferiorparietal,0.55,0.058693918565342215,0.45714285714285713,0.90528712925499,None + Linear-SVM,glimpse,conscious,False,Image,True,14,8,8,11
18,sub-02,rh-inferiorparietal,0.6028571428571429,0.057735026918962574,0.43750000000000006,0.8991968666094513,None + Linear-SVM,glimpse,conscious,False,Image,True,14,7,7,11
