fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,rh-lingual,0.3854166666666667,0.041666666666666664,0.5,0.7379467984048113,None + Linear-SVM,unconscious,glimpse,False,Image,True,5,5,7,3
2,sub-02,rh-lingual,0.3014705882352941,-0.31506301890630223,0.37037037037037035,0.7620659335032669,None + Linear-SVM,unconscious,glimpse,False,Image,True,3,5,12,5
3,sub-02,rh-lingual,0.3680555555555556,-0.05143444998736397,0.5333333333333333,0.7556543320145885,None + Linear-SVM,unconscious,glimpse,False,Image,True,4,8,10,4
4,sub-02,rh-lingual,0.34375,-0.18257418583505539,0.39999999999999997,0.7471576422053824,None + Linear-SVM,unconscious,glimpse,False,Image,True,4,5,11,4
5,sub-02,rh-lingual,0.30681818181818177,-0.2584432806109095,0.39999999999999997,0.7561405979116979,None + Linear-SVM,unconscious,glimpse,False,Image,True,3,4,7,5
6,sub-02,rh-lingual,0.28125,-0.28721347895177635,0.380952380952381,0.7521374553183697,None + Linear-SVM,unconscious,glimpse,False,Image,True,3,4,8,5
7,sub-02,rh-lingual,0.3020833333333333,-0.25677629550654774,0.3157894736842105,0.7389995480026623,None + Linear-SVM,unconscious,glimpse,False,Image,True,4,3,9,4
8,sub-02,rh-lingual,0.3303571428571429,-0.13977131156292244,0.43478260869565216,0.7469752023189052,None + Linear-SVM,unconscious,glimpse,False,Image,True,4,5,9,4
9,sub-02,rh-lingual,0.26785714285714285,-0.33195686496194077,0.34782608695652173,0.7606300144446719,None + Linear-SVM,unconscious,glimpse,False,Image,True,3,4,10,5
10,sub-02,rh-lingual,0.42307692307692313,-0.11322770341445958,0.4545454545454546,0.7236622068858001,None + Linear-SVM,unconscious,glimpse,False,Image,True,4,5,8,4
11,sub-02,rh-lingual,0.3020833333333333,-0.16666666666666666,0.4,0.7560568759191588,None + Linear-SVM,unconscious,glimpse,False,Image,True,4,4,8,4
12,sub-02,rh-lingual,0.34375,-0.2988071523335984,0.38461538461538464,0.7396678412922816,None + Linear-SVM,unconscious,glimpse,False,Image,True,3,5,11,5
13,sub-02,rh-lingual,0.421875,-0.05913123959890826,0.5185185185185185,0.7275608760441802,None + Linear-SVM,unconscious,glimpse,False,Image,True,4,7,9,4
14,sub-02,rh-lingual,0.3482142857142857,-0.13977131156292244,0.43478260869565216,0.7367447869161297,None + Linear-SVM,unconscious,glimpse,False,Image,True,4,5,9,4
15,sub-02,rh-lingual,0.359375,-0.11952286093343936,0.4615384615384615,0.7416878231713592,None + Linear-SVM,unconscious,glimpse,False,Image,True,4,6,10,4
