fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,rh-superiorfrontal,0.5079887218045113,0.06675015657623451,0.38461538461538464,0.8221402299552332,None + Linear-SVM,unconscious,conscious,False,Image,True,41,15,13,35
2,sub-02,rh-superiorfrontal,0.5303030303030303,0.062414582595940606,0.40476190476190477,0.812332372432801,None + Linear-SVM,unconscious,conscious,False,Image,True,42,17,16,34
3,sub-02,rh-superiorfrontal,0.4818111455108359,-0.027187948850804736,0.3636363636363636,0.8123694536484265,None + Linear-SVM,unconscious,conscious,False,Image,True,38,16,18,38
4,sub-02,rh-superiorfrontal,0.5316611842105263,0.11335566407968932,0.425,0.8137900099137755,None + Linear-SVM,unconscious,conscious,False,Image,True,45,17,15,31
5,sub-02,rh-superiorfrontal,0.4883040935672514,-0.0047171650263907435,0.33766233766233766,0.8220751249737968,None + Linear-SVM,unconscious,conscious,False,Image,True,39,13,14,37
6,sub-02,rh-superiorfrontal,0.5,0.02336255480168208,0.358974358974359,0.8254123741266969,None + Linear-SVM,unconscious,conscious,False,Image,True,40,14,14,36
7,sub-02,rh-superiorfrontal,0.4765037593984963,-0.020025046972870355,0.3333333333333333,0.8261011805316367,None + Linear-SVM,unconscious,conscious,False,Image,True,39,13,15,37
8,sub-02,rh-superiorfrontal,0.49868421052631584,-0.011856466525509837,0.35714285714285715,0.8151732927474642,None + Linear-SVM,unconscious,conscious,False,Image,True,37,15,15,39
9,sub-02,rh-superiorfrontal,0.5083333333333333,0.053749314915644594,0.3902439024390244,0.8179053746180386,None + Linear-SVM,unconscious,conscious,False,Image,True,40,16,14,36
10,sub-02,rh-superiorfrontal,0.4596188747731398,-0.0036530426808949646,0.3500000000000001,0.821096078228135,None + Linear-SVM,unconscious,conscious,False,Image,True,39,14,15,37
11,sub-02,rh-superiorfrontal,0.5131578947368421,0.043355498476206004,0.37499999999999994,0.8254851127413321,None + Linear-SVM,unconscious,conscious,False,Image,True,39,15,13,37
12,sub-02,rh-superiorfrontal,0.4930098684210526,0.036104965293159756,0.3855421686746988,0.8169792497618742,None + Linear-SVM,unconscious,conscious,False,Image,True,41,16,16,35
13,sub-02,rh-superiorfrontal,0.498766447368421,0.024049303512194094,0.380952380952381,0.813405097334073,None + Linear-SVM,unconscious,conscious,False,Image,True,40,16,16,36
14,sub-02,rh-superiorfrontal,0.5153508771929824,0.011856466525509837,0.36585365853658536,0.8136007779751168,None + Linear-SVM,unconscious,conscious,False,Image,True,39,15,15,37
15,sub-02,rh-superiorfrontal,0.5427631578947368,0.07672305124796448,0.40963855421686746,0.8131266465331307,None + Linear-SVM,unconscious,conscious,False,Image,True,42,17,15,34
16,sub-02,rh-superiorfrontal,0.5267145135566188,0.10589022034434008,0.4367816091954023,0.8100949780513887,None + Linear-SVM,unconscious,conscious,False,Image,True,41,19,14,35
17,sub-02,rh-superiorfrontal,0.5255183413078149,0.1024333443780437,0.42857142857142855,0.8107255371731986,None + Linear-SVM,unconscious,conscious,False,Image,True,43,18,15,33
18,sub-02,rh-superiorfrontal,0.513157894736842,-0.013276005389779787,0.3777777777777777,0.8049035662619001,None + Linear-SVM,unconscious,conscious,False,Image,True,38,17,18,38
