fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,rh-superiorparietal,0.8148148148148149,0.4879500364742666,0.7142857142857143,0.7356499504844095,None + Linear-SVM,conscious,unconscious,False,Image,True,3,5,4,0
2,sub-02,rh-superiorparietal,1.0,0.75,0.8571428571428571,0.6960981267412902,None + Linear-SVM,conscious,unconscious,False,Image,True,3,3,1,0
3,sub-02,rh-superiorparietal,0.6666666666666667,0.16666666666666666,0.5,0.6640746893270127,None + Linear-SVM,conscious,unconscious,False,Image,True,2,1,1,1
4,sub-02,rh-superiorparietal,1.0,0.75,0.8571428571428571,0.6838171163156712,None + Linear-SVM,conscious,unconscious,False,Image,True,3,3,1,0
5,sub-02,rh-superiorparietal,0.8484848484848485,0.6030226891555273,0.8421052631578948,0.7431997557913892,None + Linear-SVM,conscious,unconscious,False,Image,True,3,8,3,0
6,sub-02,rh-superiorparietal,0.8095238095238095,0.5345224838248488,0.7272727272727273,0.7264086485155521,None + Linear-SVM,conscious,unconscious,False,Image,True,3,4,3,0
7,sub-02,rh-superiorparietal,0.7222222222222223,0.31622776601683794,0.7272727272727272,0.7243040590450789,None + Linear-SVM,conscious,unconscious,False,Image,True,2,4,2,1
8,sub-02,rh-superiorparietal,0.9,0.6928203230275508,0.888888888888889,0.7416950494694114,None + Linear-SVM,conscious,unconscious,False,Image,True,3,8,2,0
9,sub-02,rh-superiorparietal,0.9047619047619048,0.6546536707079772,0.8333333333333333,0.7335154360300827,None + Linear-SVM,conscious,unconscious,False,Image,True,3,5,2,0
10,sub-02,rh-superiorparietal,0.8148148148148149,0.4879500364742666,0.7142857142857143,0.7445391695113722,None + Linear-SVM,conscious,unconscious,False,Image,True,3,5,4,0
11,sub-02,rh-superiorparietal,0.9047619047619049,0.6546536707079772,0.8333333333333333,0.7204139469487119,None + Linear-SVM,conscious,unconscious,False,Image,True,3,5,2,0
12,sub-02,rh-superiorparietal,1.0,0.75,0.8571428571428571,0.6932196149899935,None + Linear-SVM,conscious,unconscious,False,Image,True,3,3,1,0
13,sub-02,rh-superiorparietal,0.9333333333333333,0.7745966692414834,0.888888888888889,0.6913714523869572,None + Linear-SVM,conscious,unconscious,False,Image,True,3,4,1,0
14,sub-02,rh-superiorparietal,0.7,0.2253744679276044,0.7058823529411764,0.7528285431660896,None + Linear-SVM,conscious,unconscious,False,Image,True,2,6,4,1
15,sub-02,rh-superiorparietal,0.6000000000000001,0.06666666666666667,0.5,0.7299349896422285,None + Linear-SVM,conscious,unconscious,False,Image,True,2,2,3,1
16,sub-02,rh-superiorparietal,0.7619047619047619,0.5345224838248488,0.7272727272727273,0.7375487594841545,None + Linear-SVM,conscious,unconscious,False,Image,True,3,4,3,0
17,sub-02,rh-superiorparietal,0.8666666666666667,0.6,0.7499999999999999,0.715223928850482,None + Linear-SVM,conscious,unconscious,False,Image,True,3,3,2,0
18,sub-02,rh-superiorparietal,0.4444444444444444,0.0,0.4,0.7100241627053863,None + Linear-SVM,conscious,unconscious,False,Image,True,2,1,2,1
19,sub-02,rh-superiorparietal,0.7407407407407407,0.29277002188455997,0.75,0.7525242930959251,None + Linear-SVM,conscious,unconscious,False,Image,True,2,6,3,1
20,sub-02,rh-superiorparietal,0.7037037037037037,0.19245008972987526,0.6666666666666667,0.7364174467061072,None + Linear-SVM,conscious,unconscious,False,Image,True,2,5,4,1
21,sub-02,rh-superiorparietal,0.7777777777777778,0.31622776601683794,0.7272727272727272,0.7229205669895298,None + Linear-SVM,conscious,unconscious,False,Image,True,2,4,2,1
22,sub-02,rh-superiorparietal,0.8333333333333333,0.5590169943749475,0.7692307692307693,0.7387211892901651,None + Linear-SVM,conscious,unconscious,False,Image,True,3,5,3,0
