fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-lateraloccipital,0.7320525783619819,0.3713997442320423,0.688888888888889,0.6235147337491611,PCA + Linear-SVM,conscious,conscious,False,Image,False,30,31,15,13
2,01,lh-lateraloccipital,0.749747219413549,0.3734819726813197,0.6818181818181819,0.5949962096583242,PCA + Linear-SVM,conscious,conscious,False,Image,False,31,30,16,12
3,01,lh-lateraloccipital,0.7917087967644085,0.48307232038888764,0.7472527472527473,0.5546366081745695,PCA + Linear-SVM,conscious,conscious,False,Image,False,32,34,12,11
4,01,lh-lateraloccipital,0.7664307381193124,0.41637195815945965,0.711111111111111,0.5759614595539994,PCA + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,12
5,01,lh-lateraloccipital,0.7922143579373104,0.461344172086877,0.7333333333333332,0.5654437462991617,PCA + Linear-SVM,conscious,conscious,False,Image,False,32,33,13,11
6,01,lh-lateraloccipital,0.7679474216380182,0.41637195815945965,0.711111111111111,0.579832579058139,PCA + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,12
7,01,lh-lateraloccipital,0.6946410515672397,0.3264275303046249,0.6666666666666666,0.6285124917583128,PCA + Linear-SVM,conscious,conscious,False,Image,False,29,30,16,14
8,01,lh-lateraloccipital,0.7143579373104146,0.3250758341759353,0.6739130434782609,0.6356885590491622,PCA + Linear-SVM,conscious,conscious,False,Image,False,28,31,15,15
9,01,lh-lateraloccipital,0.801314459049545,0.4381001064614703,0.7252747252747253,0.5468629922224453,PCA + Linear-SVM,conscious,conscious,False,Image,False,31,33,13,12
10,01,lh-lateraloccipital,0.7269969666329625,0.3713997442320423,0.688888888888889,0.6270304112785913,PCA + Linear-SVM,conscious,conscious,False,Image,False,30,31,15,13
11,01,lh-lateraloccipital,0.7967644084934277,0.461344172086877,0.7333333333333332,0.5642379647021668,PCA + Linear-SVM,conscious,conscious,False,Image,False,32,33,13,11
12,01,lh-lateraloccipital,0.8119312436804853,0.528044534316305,0.7692307692307693,0.5363298804597992,PCA + Linear-SVM,conscious,conscious,False,Image,False,33,35,11,10
13,01,lh-lateraloccipital,0.6774519716885743,0.28145531637720755,0.6444444444444444,0.6643244017068684,PCA + Linear-SVM,conscious,conscious,False,Image,False,28,29,17,15
14,01,lh-lateraloccipital,0.782103134479272,0.4381001064614703,0.7252747252747253,0.5600499298798376,PCA + Linear-SVM,conscious,conscious,False,Image,False,31,33,13,12
15,01,lh-lateraloccipital,0.7790697674418604,0.41637195815945965,0.711111111111111,0.5862358899896006,PCA + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,12
16,01,lh-lateraloccipital,0.839737108190091,0.48307232038888764,0.7472527472527473,0.5145152532375472,PCA + Linear-SVM,conscious,conscious,False,Image,False,32,34,12,11
17,01,lh-lateraloccipital,0.71840242669363,0.3700707785642063,0.6956521739130435,0.6301255050305814,PCA + Linear-SVM,conscious,conscious,False,Image,False,29,32,14,14
18,01,lh-lateraloccipital,0.8483316481294236,0.5962608138691291,0.8,0.5127951779531641,PCA + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,8
19,01,lh-lateraloccipital,0.6875631951466128,0.28145531637720755,0.6444444444444444,0.658623222649781,PCA + Linear-SVM,conscious,conscious,False,Image,False,28,29,17,15
20,01,lh-lateraloccipital,0.7790697674418605,0.48483316481294236,0.7415730337078652,0.5702455009593177,PCA + Linear-SVM,conscious,conscious,False,Image,False,33,33,13,10
