fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-parahippocampal,0.6812943262411347,0.26297120102371313,0.6236559139784946,0.6449189322993828,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,31,29,18,17
2,01,lh-parahippocampal,0.5722517730496454,0.03192904970271054,0.5208333333333334,0.7232312657104986,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,25,22,24
3,01,lh-parahippocampal,0.6471631205673759,0.17871398653044923,0.5806451612903226,0.6657348490758844,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,20,19
4,01,lh-parahippocampal,0.587322695035461,0.11540178894644994,0.5434782608695652,0.6864584720024788,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,22,20
5,01,lh-parahippocampal,0.6006205673758865,0.13658537928381728,0.5591397849462365,0.6807115996953537,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
6,01,lh-parahippocampal,0.5695921985815603,0.052328164790553376,0.5161290322580645,0.7132935380915442,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
7,01,lh-parahippocampal,0.5935283687943262,0.11569148936170212,0.5531914893617021,0.6867084406973211,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,21,21
8,01,lh-parahippocampal,0.6462765957446809,0.2208425937770812,0.6021505376344086,0.6673906934267803,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,19,18
9,01,lh-parahippocampal,0.6400709219858156,0.2841312056737589,0.6382978723404256,0.6877102790191894,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,31,30,17,17
10,01,lh-parahippocampal,0.6307624113475178,0.1999113475177305,0.5957446808510638,0.6724371897620284,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,19,19
11,01,lh-parahippocampal,0.599290780141844,0.11618626419597444,0.5625,0.6891267565734683,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,27,20,22
12,01,lh-parahippocampal,0.589982269503546,0.17866730192931402,0.5714285714285714,0.6833064656366454,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,30,26,21,18
13,01,lh-parahippocampal,0.5851063829787234,0.031471631205673756,0.5106382978723404,0.704908768221818,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,23,23
14,01,lh-parahippocampal,0.5824468085106382,0.010199557543921422,0.4946236559139785,0.6955818267748758,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,24,23
15,01,lh-parahippocampal,0.5460992907801419,-0.010638297872340425,0.48936170212765956,0.7048759866164445,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
16,01,lh-parahippocampal,0.6950354609929078,0.3050998082703451,0.6451612903225806,0.6455527440093409,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,32,30,17,16
17,01,lh-parahippocampal,0.5882092198581561,0.11540178894644994,0.5434782608695652,0.6886937046656705,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,22,20
18,01,lh-parahippocampal,0.6028368794326241,0.15780141843971632,0.574468085106383,0.7014607165080463,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,20,20
19,01,lh-parahippocampal,0.5301418439716312,-0.010638297872340425,0.48936170212765956,0.7038833533628396,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
20,01,lh-parahippocampal,0.537677304964539,-0.0310697124086596,0.49484536082474223,0.6946232050401546,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,22,24,23,26
21,01,lh-parahippocampal,0.5620567375886525,0.09445677203718533,0.5376344086021505,0.6943922786663647,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,22,21
22,01,lh-parahippocampal,0.6117021276595745,0.11569148936170212,0.5531914893617021,0.674763156259002,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,21,21
23,01,lh-parahippocampal,0.5757978723404256,0.052328164790553376,0.5161290322580645,0.6956711700757777,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
24,01,lh-parahippocampal,0.6458333333333334,0.19973386548424027,0.5869565217391305,0.6634716960723169,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,30,27,20,18
25,01,lh-parahippocampal,0.6440602836879433,0.2208425937770812,0.6021505376344086,0.6614546415037764,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,19,18
