fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-pericalcarine,0.5813953488372092,0.19151088852237283,0.6,0.6882816204387429,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,27,19,17
2,01,lh-pericalcarine,0.5778564206268959,0.12487360970677452,0.5617977528089888,0.6852274315712327,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,18
3,01,lh-pericalcarine,0.3837209302325581,-0.25821125075180085,0.37777777777777777,0.6989859194554426,Mutual + Linear-SVM,conscious,conscious,False,Image,False,16,17,29,27
4,01,lh-pericalcarine,0.5925176946410516,0.19151088852237283,0.6,0.686666307496741,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,27,19,17
5,01,lh-pericalcarine,0.5379170879676441,0.07832239504213137,0.5494505494505495,0.6923136631108884,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,25,21,20
6,01,lh-pericalcarine,0.44944388270980784,0.011622032812703364,0.5111111111111111,0.6943252128172696,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,21
7,01,lh-pericalcarine,0.4737108190091001,-0.0551061678463094,0.47191011235955055,0.6955037832528851,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,22
8,01,lh-pericalcarine,0.6112234580384227,0.1698685540950455,0.5842696629213482,0.6873274540729423,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,17
9,01,lh-pericalcarine,0.5985844287158746,0.05659424674012073,0.5333333333333332,0.6847527360346599,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,20
10,01,lh-pericalcarine,0.3640040444893833,-0.2570851519269789,0.3636363636363636,0.7131569786010415,Mutual + Linear-SVM,conscious,conscious,False,Image,False,17,16,30,26
11,01,lh-pericalcarine,0.5055611729019212,-0.010111223458038422,0.49438202247191015,0.693456829102874,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
12,01,lh-pericalcarine,0.5910010111223458,0.05659424674012073,0.5333333333333332,0.6763445951291468,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,20
13,01,lh-pericalcarine,0.5940343781597573,0.10156646066753809,0.5555555555555556,0.6894082121242817,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,19
14,01,lh-pericalcarine,0.4838220424671385,-0.010111223458038422,0.49438202247191015,0.6935861480630099,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
15,01,lh-pericalcarine,0.46764408493427706,-0.12329460896954873,0.4444444444444445,0.6954598573202354,Mutual + Linear-SVM,conscious,conscious,False,Image,False,19,20,26,24
16,01,lh-pericalcarine,0.552072800808898,0.07987866531850354,0.5393258426966292,0.6918283133709,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,19
17,01,lh-pericalcarine,0.4762386248736097,0.03488372093023256,0.5168539325842696,0.7117464837382791,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,20
18,01,lh-pericalcarine,0.5010111223458038,0.011622032812703364,0.5111111111111111,0.6950762897453848,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,21
19,01,lh-pericalcarine,0.6880687563195147,0.23648310244979018,0.6222222222222223,0.6841752149592905,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,16
20,01,lh-pericalcarine,0.5788675429726997,0.14653867459495545,0.5777777777777778,0.6846898684676104,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,18
21,01,lh-pericalcarine,0.43478260869565216,-0.14509605662285135,0.4269662921348315,0.695973524187146,Mutual + Linear-SVM,conscious,conscious,False,Image,False,19,19,27,24
22,01,lh-pericalcarine,0.48786653185035384,-0.033350181114714,0.4888888888888889,0.6928114021720436,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,22,24,22
23,01,lh-pericalcarine,0.47269969666329625,-0.010111223458038422,0.49438202247191015,0.6988894158935234,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
24,01,lh-pericalcarine,0.5212335692618807,0.05659424674012073,0.5333333333333332,0.6980242950777991,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,20
25,01,lh-pericalcarine,0.43174924165824063,-0.07832239504213137,0.4666666666666666,0.6990643855143286,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,21,25,23
26,01,lh-pericalcarine,0.6061678463094035,0.1698685540950455,0.5842696629213482,0.6871261710488209,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,17
27,01,lh-pericalcarine,0.5131445904954499,0.03488372093023256,0.5168539325842696,0.6929464932453071,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,20
28,01,lh-pericalcarine,0.6051567239635995,0.14653867459495545,0.5777777777777778,0.6795453529848431,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,18
29,01,lh-pericalcarine,0.4246713852376138,-0.07832239504213137,0.4666666666666666,0.702386966700697,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,21,25,23
30,01,lh-pericalcarine,0.5010111223458038,-0.0551061678463094,0.47191011235955055,0.6954377608725101,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,22
31,01,lh-pericalcarine,0.4565217391304348,-0.10010111223458039,0.449438202247191,0.6988121069685614,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,23
32,01,lh-pericalcarine,0.5869565217391305,0.23648310244979018,0.6222222222222223,0.6858599843322166,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,16
33,01,lh-pericalcarine,0.4691607684529828,-0.0551061678463094,0.47191011235955055,0.6956535243997339,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,22
34,01,lh-pericalcarine,0.550556117290192,0.10156646066753809,0.5555555555555556,0.6889583498566252,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,19
35,01,lh-pericalcarine,0.5697674418604651,-0.010111223458038422,0.49438202247191015,0.6836724981571227,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
36,01,lh-pericalcarine,0.48432760364004046,-0.010111223458038422,0.49438202247191015,0.6982750673197272,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
37,01,lh-pericalcarine,0.4661274014155713,-0.1933199370789487,0.43010752688172044,0.6944716720175715,Mutual + Linear-SVM,conscious,conscious,False,Image,False,16,20,26,27
38,01,lh-pericalcarine,0.5657229524772498,0.07987866531850354,0.5393258426966292,0.6897107492559812,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,19
39,01,lh-pericalcarine,0.4524772497472194,-0.010111223458038422,0.49438202247191015,0.6948005532139053,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
40,01,lh-pericalcarine,0.5480283114256825,0.07987866531850354,0.5393258426966292,0.690051926496623,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,19
41,01,lh-pericalcarine,0.5080889787664307,-0.011622032812703364,0.5054945054945055,0.6981336040865461,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,23,23,22
42,01,lh-pericalcarine,0.5485338725985844,0.011622032812703364,0.5111111111111111,0.6895874569126295,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,21
43,01,lh-pericalcarine,0.43983822042467136,-0.0551061678463094,0.47191011235955055,0.6968992501800851,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,22
44,01,lh-pericalcarine,0.4863498483316482,-0.010111223458038422,0.49438202247191015,0.6984771040822708,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
45,01,lh-pericalcarine,0.461577350859454,-0.0551061678463094,0.47191011235955055,0.7053504255974,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,22
46,01,lh-pericalcarine,0.42770475227502525,-0.12329460896954873,0.4444444444444445,0.7103909809858161,Mutual + Linear-SVM,conscious,conscious,False,Image,False,19,20,26,24
47,01,lh-pericalcarine,0.5298281092012134,0.033350181114714,0.5274725274725275,0.6961986135246432,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,24,22,21
48,01,lh-pericalcarine,0.5303336703741153,0.08160188392903457,0.5287356321839081,0.6940018337668478,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,23,23,18
49,01,lh-pericalcarine,0.5707785642062689,0.10156646066753809,0.5555555555555556,0.6880727235053611,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,19
50,01,lh-pericalcarine,0.48736097067745204,-0.010111223458038422,0.49438202247191015,0.7000076774492529,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
51,01,lh-pericalcarine,0.5692618806875632,0.19151088852237283,0.6,0.6901952331397495,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,27,19,17
52,01,lh-pericalcarine,0.4959555106167846,-0.010111223458038422,0.49438202247191015,0.6975311733109237,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
53,01,lh-pericalcarine,0.5151668351870577,-0.05659424674012073,0.4835164835164835,0.7008838658401261,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,22,24,23
54,01,lh-pericalcarine,0.44792719919110213,-0.1682668228969661,0.4222222222222222,0.7245900775074021,Mutual + Linear-SVM,conscious,conscious,False,Image,False,18,19,27,25
55,01,lh-pericalcarine,0.5864509605662285,0.07692311632460785,0.5591397849462365,0.6834244536533681,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,26,20,21
56,01,lh-pericalcarine,0.3533872598584429,-0.23508594539939331,0.38202247191011235,0.6995336571890053,Mutual + Linear-SVM,conscious,conscious,False,Image,False,17,17,29,26
57,01,lh-pericalcarine,0.5045500505561172,-0.07832239504213137,0.4666666666666666,0.6959354854910567,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,21,25,23
58,01,lh-pericalcarine,0.4858442871587462,0.011622032812703364,0.5111111111111111,0.6941273247535638,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,21
59,01,lh-pericalcarine,0.4974721941354904,-0.010111223458038422,0.49438202247191015,0.6922894828095114,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
60,01,lh-pericalcarine,0.4524772497472194,-0.0551061678463094,0.47191011235955055,0.6946257734630445,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,22
61,01,lh-pericalcarine,0.5242669362992922,0.05659424674012073,0.5333333333333332,0.6925721086617834,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,20
62,01,lh-pericalcarine,0.44135490394337723,-0.12087480257218838,0.4186046511627907,0.7074717969470274,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,18,28,22
63,01,lh-pericalcarine,0.45652173913043476,-0.010111223458038422,0.49438202247191015,0.6963227105656342,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
64,01,lh-pericalcarine,0.5763397371081901,0.10156646066753809,0.5555555555555556,0.6859339125301318,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,19
65,01,lh-pericalcarine,0.5460060667340748,0.03488372093023256,0.5168539325842696,0.6893881920592122,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,20
66,01,lh-pericalcarine,0.5399393326592519,0.10323891927776317,0.5454545454545454,0.6906046254787148,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,24,22,18
67,01,lh-pericalcarine,0.403437815975733,-0.23416192779636008,0.36781609195402304,0.7239579390209779,Mutual + Linear-SVM,conscious,conscious,False,Image,False,18,16,30,25
68,01,lh-pericalcarine,0.4833164812942366,-0.010111223458038422,0.49438202247191015,0.6935942290594487,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
69,01,lh-pericalcarine,0.4196157735085945,-0.0551061678463094,0.47191011235955055,0.697194481993195,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,22
70,01,lh-pericalcarine,0.4059656218402427,-0.1682668228969661,0.4222222222222222,0.7088340899482755,Mutual + Linear-SVM,conscious,conscious,False,Image,False,18,19,27,25
