fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-pericalcarine,0.539450354609929,0.010199557543921422,0.4946236559139785,0.6895289732924661,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,24,23
2,01,lh-pericalcarine,0.5203900709219857,-0.05274822695035461,0.46808510638297873,0.6922890652514905,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
3,01,lh-pericalcarine,0.5523049645390071,0.052328164790553376,0.5161290322580645,0.6911460351007858,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
4,01,lh-pericalcarine,0.476063829787234,-0.09485815602836879,0.44680851063829785,0.6964368115688914,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,26,26
5,01,lh-pericalcarine,0.5611702127659575,-0.011096325860235571,0.47826086956521735,0.6897361171896662,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,22,25,23
6,01,lh-pericalcarine,0.41976950354609927,0.010199557543921422,0.4946236559139785,0.6990766986024763,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,24,23
7,01,lh-pericalcarine,0.486258865248227,-0.05274822695035461,0.46808510638297873,0.6947708012790833,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
8,01,lh-pericalcarine,0.5088652482269503,-0.03192904970271054,0.47311827956989244,0.6934857827628866,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,25,24
9,01,lh-pericalcarine,0.4720744680851064,-0.05274822695035461,0.46808510638297873,0.6954023817316091,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
10,01,lh-pericalcarine,0.48182624113475175,-0.03192904970271054,0.47311827956989244,0.7013310000541025,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,25,24
11,01,lh-pericalcarine,0.3302304964539007,-0.3475177304964539,0.3191489361702128,0.6998195633213614,None + Linear-SVM,glimpse,glimpse,False,Image,False,16,15,32,32
12,01,lh-pericalcarine,0.5208333333333334,-0.010638297872340425,0.48936170212765956,0.69233534606228,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
13,01,lh-pericalcarine,0.4441489361702127,-0.09485815602836879,0.44680851063829785,0.6967771971500704,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,26,26
14,01,lh-pericalcarine,0.4827127659574468,-0.010638297872340425,0.48936170212765956,0.7003388753429746,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
15,01,lh-pericalcarine,0.5057624113475178,0.11531726054424296,0.5333333333333333,0.6962916019009208,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,24,23,19
16,01,lh-pericalcarine,0.547872340425532,-0.010638297872340425,0.48936170212765956,0.6897028432587494,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
17,01,lh-pericalcarine,0.44326241134751776,-0.010638297872340425,0.48936170212765956,0.7082209168958551,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
18,01,lh-pericalcarine,0.5425531914893617,0.052328164790553376,0.5161290322580645,0.6907671052045339,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
19,01,lh-pericalcarine,0.45390070921985815,-0.010638297872340425,0.48936170212765956,0.69840107251958,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
20,01,lh-pericalcarine,0.5536347517730497,0.052328164790553376,0.5161290322580645,0.6905653009692537,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
21,01,lh-pericalcarine,0.4898049645390071,0.13658537928381728,0.5591397849462365,0.6943785054084725,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
22,01,lh-pericalcarine,0.46143617021276595,0.010199557543921422,0.4946236559139785,0.7014469931783682,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,24,23
23,01,lh-pericalcarine,0.43173758865248224,-0.13696808510638298,0.42553191489361697,0.7008473268201588,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,27,27
24,01,lh-pericalcarine,0.45478723404255317,-0.11569148936170212,0.4421052631578947,0.6978781043542355,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,21,26,27
25,01,lh-pericalcarine,0.48847517730496454,-0.07405765694934249,0.45161290322580644,0.6935956586481645,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,21,26,25
26,01,lh-pericalcarine,0.463209219858156,-0.010638297872340425,0.48936170212765956,0.69883964450086,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
27,01,lh-pericalcarine,0.4663120567375887,-0.11569148936170212,0.4421052631578947,0.6937796933752498,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,21,26,27
28,01,lh-pericalcarine,0.49423758865248224,-0.010638297872340425,0.48936170212765956,0.6975226034537171,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
29,01,lh-pericalcarine,0.5806737588652482,0.1575678272153451,0.5652173913043478,0.6892785018707654,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,26,21,19
