fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-precuneus,0.4483506944444444,-0.10418927964135326,0.4421052631578947,0.6983387364292423,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
2,01,lh-precuneus,0.5026041666666666,0.02083785592827065,0.5052631578947369,0.6931880839523035,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
3,01,lh-precuneus,0.6050347222222222,0.18754070335443587,0.5894736842105263,0.6869124991197767,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
4,01,lh-precuneus,0.46354166666666663,-0.041666666666666664,0.4791666666666667,0.7031428138305577,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
5,01,lh-precuneus,0.3693576388888889,-0.3336230624913196,0.3191489361702128,0.7015055053979787,None + Linear-SVM,unconscious,unconscious,False,Image,False,17,15,33,31
6,01,lh-precuneus,0.540798611111111,0.10418927964135326,0.5473684210526316,0.6918581305671195,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
7,01,lh-precuneus,0.5243055555555556,0.04170288281141495,0.5106382978723404,0.6920950988106105,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
8,01,lh-precuneus,0.484375,-0.12510864843424485,0.425531914893617,0.6929256450127106,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
9,01,lh-precuneus,0.4969618055555556,0.06262242910851494,0.5161290322580646,0.6932519145774246,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,24,24,21
10,01,lh-precuneus,0.5972222222222222,0.14586499149789456,0.5684210526315789,0.6893910079462765,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
11,01,lh-precuneus,0.5355902777777778,0.06251356778481196,0.5263157894736842,0.6908512152631179,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
12,01,lh-precuneus,0.4266493055555556,-0.1668115312456598,0.4042553191489362,0.6989895538937576,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,19,29,27
13,01,lh-precuneus,0.5950520833333334,0.14586499149789456,0.5684210526315789,0.6893722121928024,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
