fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-fusiform,0.7871587462082912,0.5500505561172901,0.782608695652174,0.5674832537908706,None + Linear-SVM,conscious,conscious,False,Image,False,33,36,10,10
2,01,rh-fusiform,0.7098078867542972,0.2834009548801342,0.6363636363636365,0.6302468444299293,None + Linear-SVM,conscious,conscious,False,Image,False,29,28,18,14
3,01,rh-fusiform,0.7406471183013145,0.3264275303046249,0.6666666666666666,0.6060838746685018,None + Linear-SVM,conscious,conscious,False,Image,False,29,30,16,14
4,01,rh-fusiform,0.7745197168857432,0.41637195815945965,0.711111111111111,0.5812346335255212,None + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,12
5,01,rh-fusiform,0.8452982810920121,0.5962608138691291,0.8,0.50733899101532,None + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,8
6,01,rh-fusiform,0.7158746208291203,0.28145531637720755,0.6444444444444444,0.6557410427278462,None + Linear-SVM,conscious,conscious,False,Image,False,28,29,17,15
7,01,rh-fusiform,0.7937310414560161,0.5512885999417118,0.7777777777777778,0.5698913302918068,None + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,9
8,01,rh-fusiform,0.807381193124368,0.461344172086877,0.7333333333333332,0.5297497928994069,None + Linear-SVM,conscious,conscious,False,Image,False,32,33,13,11
9,01,rh-fusiform,0.750252780586451,0.32844146378072697,0.6590909090909092,0.5971787871541512,None + Linear-SVM,conscious,conscious,False,Image,False,30,29,17,13
10,01,rh-fusiform,0.7477249747219413,0.4381001064614703,0.7252747252747253,0.5855440775793684,None + Linear-SVM,conscious,conscious,False,Image,False,31,33,13,12
11,01,rh-fusiform,0.8599595551061678,0.5962608138691291,0.8,0.5100620347973186,None + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,8
12,01,rh-fusiform,0.8316481294236602,0.5063163860142944,0.7555555555555555,0.5524896643080349,None + Linear-SVM,conscious,conscious,False,Image,False,33,34,12,10
13,01,rh-fusiform,0.7542972699696663,0.3713997442320423,0.688888888888889,0.6085056881326504,None + Linear-SVM,conscious,conscious,False,Image,False,30,31,15,13
14,01,rh-fusiform,0.8306370070778564,0.5730167482437224,0.7912087912087912,0.5297102205423523,None + Linear-SVM,conscious,conscious,False,Image,False,34,36,10,9
15,01,rh-fusiform,0.7664307381193125,0.3264275303046249,0.6666666666666666,0.5657651911126023,None + Linear-SVM,conscious,conscious,False,Image,False,29,30,16,14
16,01,rh-fusiform,0.7785642062689586,0.4398382204246714,0.7191011235955057,0.5770047484141105,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,11
17,01,rh-fusiform,0.7669362992922144,0.34815567860663554,0.6813186813186812,0.5802603615955504,None + Linear-SVM,conscious,conscious,False,Image,False,29,31,15,14
18,01,rh-fusiform,0.7750252780586451,0.461344172086877,0.7333333333333332,0.5905446388364739,None + Linear-SVM,conscious,conscious,False,Image,False,32,33,13,11
