fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-parahippocampal,0.6102430555555556,0.1254363015010636,0.5434782608695652,0.6814067118811957,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,29,25,23,19
2,01,rh-parahippocampal,0.4166666666666667,-0.06251356778481196,0.46315789473684216,0.7057250792109301,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
3,01,rh-parahippocampal,0.5447048611111112,0.0,0.5,0.6924903037986843,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
4,01,rh-parahippocampal,0.46614583333333337,-0.08333333333333333,0.4583333333333333,0.7031355764675725,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
5,01,rh-parahippocampal,0.4210069444444445,-0.06251356778481196,0.46315789473684216,0.7026341027321049,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
6,01,rh-parahippocampal,0.4405381944444444,-0.10418927964135326,0.4421052631578947,0.6975590394190206,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
7,01,rh-parahippocampal,0.6493055555555555,0.3333333333333333,0.6666666666666666,0.6860508851876294,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,32,32,16,16
8,01,rh-parahippocampal,0.49392361111111105,0.04170288281141495,0.5106382978723404,0.6933548034196457,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
9,01,rh-parahippocampal,0.607204861111111,0.10418927964135326,0.5473684210526316,0.6845999376835171,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
10,01,rh-parahippocampal,0.5798611111111112,0.06251356778481196,0.5263157894736842,0.6851910249123471,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
11,01,rh-parahippocampal,0.5399305555555556,0.06251356778481196,0.5263157894736842,0.6918544347641539,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
12,01,rh-parahippocampal,0.4626736111111111,-0.041666666666666664,0.4791666666666667,0.7020390338545991,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
13,01,rh-parahippocampal,0.48437499999999994,0.0,0.48936170212765956,0.6942474525623997,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
14,01,rh-parahippocampal,0.5004340277777778,0.041666666666666664,0.5208333333333334,0.6938020679904596,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
15,01,rh-parahippocampal,0.5481770833333333,0.14586499149789456,0.5684210526315789,0.6921247524836188,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
16,01,rh-parahippocampal,0.6692708333333334,0.22961557339788813,0.6021505376344085,0.6790195798899065,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,31,28,20,17
17,01,rh-parahippocampal,0.4279513888888889,-0.04170288281141495,0.4680851063829787,0.7061614394378521,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
18,01,rh-parahippocampal,0.5078125,-0.0834057656228299,0.44680851063829785,0.690838564454936,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
19,01,rh-parahippocampal,0.5737847222222222,0.10418927964135326,0.5473684210526316,0.6905133015429517,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
20,01,rh-parahippocampal,0.5190972222222222,0.0,0.48936170212765956,0.692652077696903,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
21,01,rh-parahippocampal,0.4496527777777778,-0.02083785592827065,0.4842105263157895,0.7037431130558455,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
22,01,rh-parahippocampal,0.49348958333333326,0.0,0.48936170212765956,0.696229513300303,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
23,01,rh-parahippocampal,0.3841145833333333,-0.25,0.375,0.6976023305636603,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,18,18,30,30
24,01,rh-parahippocampal,0.5620659722222221,-0.02083785592827065,0.4842105263157895,0.691940839292036,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
25,01,rh-parahippocampal,0.42925347222222215,-0.06251356778481196,0.46315789473684216,0.7021618691975492,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
26,01,rh-parahippocampal,0.5512152777777778,0.1254363015010636,0.5434782608695652,0.6915928234957902,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,29,25,23,19
27,01,rh-parahippocampal,0.5802951388888888,0.14586499149789456,0.5684210526315789,0.6904805403281792,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
