fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-parahippocampal,0.5946180555555555,0.20833333333333334,0.6041666666666666,0.6827968468224332,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,29,29,19,19
2,01,rh-parahippocampal,0.37282986111111116,-0.2508726030021272,0.34782608695652173,0.7328945482295647,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,20,16,32,28
3,01,rh-parahippocampal,0.572482638888889,0.02083785592827065,0.5052631578947369,0.6841689079679334,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
4,01,rh-parahippocampal,0.5108506944444444,0.0,0.5,0.7024839947671987,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
5,01,rh-parahippocampal,0.6241319444444444,0.18754070335443587,0.5894736842105263,0.6795064623437855,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
6,01,rh-parahippocampal,0.33810763888888884,-0.31256783892405976,0.3368421052631579,0.7209874361385878,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,17,16,32,31
7,01,rh-parahippocampal,0.48871527777777785,-0.125,0.4375,0.6929678813400858,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
8,01,rh-parahippocampal,0.4995659722222222,0.02083785592827065,0.5052631578947369,0.6984560179432179,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
9,01,rh-parahippocampal,0.4613715277777778,-0.06251356778481196,0.46315789473684216,0.6983092119497033,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
10,01,rh-parahippocampal,0.5594618055555555,0.08333333333333333,0.5416666666666666,0.6940510060425066,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
11,01,rh-parahippocampal,0.5342881944444444,0.06251356778481196,0.5263157894736842,0.6936294129325841,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
12,01,rh-parahippocampal,0.4761284722222222,-0.10418927964135326,0.4421052631578947,0.7032550815191573,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
13,01,rh-parahippocampal,0.4631076388888889,0.06262242910851494,0.5161290322580646,0.7136585886472501,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,27,24,24,21
14,01,rh-parahippocampal,0.564236111111111,0.10418927964135326,0.5473684210526316,0.6903942908199503,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
15,01,rh-parahippocampal,0.5308159722222222,0.02083785592827065,0.5052631578947369,0.6949962307303635,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
16,01,rh-parahippocampal,0.5217013888888888,0.04170288281141495,0.5106382978723404,0.6988476337667873,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
17,01,rh-parahippocampal,0.4049479166666667,-0.1668115312456598,0.4042553191489362,0.713027543029998,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,21,19,29,27
18,01,rh-parahippocampal,0.6067708333333334,0.06251356778481196,0.5263157894736842,0.6840273675308369,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
19,01,rh-parahippocampal,0.5967881944444444,0.0834057656228299,0.5319148936170214,0.6791017090320782,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
20,01,rh-parahippocampal,0.5555555555555556,0.0834057656228299,0.5319148936170214,0.686583908254328,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
21,01,rh-parahippocampal,0.3949652777777778,-0.16666666666666666,0.4166666666666667,0.7352932746039954,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,20,20,28,28
22,01,rh-parahippocampal,0.5108506944444444,0.02083785592827065,0.5052631578947369,0.7057814065950812,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
23,01,rh-parahippocampal,0.5030381944444444,0.0834057656228299,0.5319148936170214,0.7047249760172706,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
24,01,rh-parahippocampal,0.4956597222222222,0.06251356778481196,0.5263157894736842,0.7050124971852996,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
25,01,rh-parahippocampal,0.42708333333333337,-0.12510864843424485,0.425531914893617,0.7112776850981839,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
