fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-precuneus,0.558139534883721,0.07987866531850354,0.5393258426966292,0.6891547131127892,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,19
2,01,rh-precuneus,0.5778564206268959,0.07987866531850354,0.5393258426966292,0.6875728067048203,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,19
3,01,rh-precuneus,0.5030333670374114,0.03488372093023256,0.5168539325842696,0.6988854578200973,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,20
4,01,rh-precuneus,0.5530839231547018,0.03488372093023256,0.5168539325842696,0.6890942037333001,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,20
5,01,rh-precuneus,0.5677451971688574,0.011622032812703364,0.5111111111111111,0.6852708631383296,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,21
6,01,rh-precuneus,0.6319514661274014,0.2800808897876643,0.6521739130434783,0.682603979176582,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,27,30,16,16
7,01,rh-precuneus,0.5409504550050557,0.07987866531850354,0.5393258426966292,0.7081636620445265,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,19
8,01,rh-precuneus,0.6587462082912033,0.2800808897876643,0.6521739130434783,0.6883362371347449,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,27,30,16,16
9,01,rh-precuneus,0.5439838220424671,0.07987866531850354,0.5393258426966292,0.6887571093530569,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,19
10,01,rh-precuneus,0.5283114256825077,-0.010111223458038422,0.49438202247191015,0.6921357961315066,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,21
11,01,rh-precuneus,0.551567239635996,0.05659424674012073,0.5333333333333332,0.6878808448314608,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,20
12,01,rh-precuneus,0.6936299292214358,0.25821125075180085,0.6373626373626373,0.668118208693623,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,27,29,17,16
13,01,rh-precuneus,0.5535894843276037,0.03488372093023256,0.5168539325842696,0.6924680662817162,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,20
14,01,rh-precuneus,0.5631951466127402,0.10156646066753809,0.5555555555555556,0.6948640852485203,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,19
15,01,rh-precuneus,0.6041456016177957,0.05819841037717042,0.5227272727272727,0.685429458426288,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,23,23,19
16,01,rh-precuneus,0.5864509605662285,0.14653867459495545,0.5777777777777778,0.682773964974095,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,18
17,01,rh-precuneus,0.6456016177957533,0.14653867459495545,0.5777777777777778,0.6790530082608661,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,18
18,01,rh-precuneus,0.5975733063700708,0.1698685540950455,0.5842696629213482,0.6809275222239346,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,17
19,01,rh-precuneus,0.5308392315470172,0.05659424674012073,0.5333333333333332,0.6922444760677919,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,20
20,01,rh-precuneus,0.6076845298281092,0.14653867459495545,0.5777777777777778,0.680152737658686,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,18
21,01,rh-precuneus,0.5596562184024267,0.05659424674012073,0.5333333333333332,0.6884377472548283,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,20
22,01,rh-precuneus,0.6041456016177957,0.05659424674012073,0.5333333333333332,0.6738871811224125,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,20
23,01,rh-precuneus,0.589989888776542,0.12487360970677452,0.5617977528089888,0.6837590551283566,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,18
24,01,rh-precuneus,0.5171890798786654,-0.0551061678463094,0.47191011235955055,0.6991415570406643,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,22
25,01,rh-precuneus,0.519211324570273,0.011622032812703364,0.5111111111111111,0.6950324257633459,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,21
26,01,rh-precuneus,0.5364004044489383,0.013157901476577659,0.5,0.6936836559257872,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,22,24,20
27,01,rh-precuneus,0.5535894843276037,0.05659424674012073,0.5333333333333332,0.6907269377527611,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,20
28,01,rh-precuneus,0.5040444893832153,-0.033350181114714,0.4888888888888889,0.6942786416915148,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,22,24,22
