fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-03,lh-ventrolateralPFC,0.0,-0.6123724356957946,0.0,0.7587889202743265,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,1
2,sub-03,lh-ventrolateralPFC,0.0,-0.5773502691896258,0.0,0.7153278584508252,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
3,sub-03,lh-ventrolateralPFC,0.0,-0.5773502691896258,0.0,0.7392138394899235,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
4,sub-03,lh-ventrolateralPFC,0.25,-0.5773502691896258,0.0,0.7390280620246267,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
5,sub-03,lh-ventrolateralPFC,0.3333333333333333,-0.14907119849998599,0.4444444444444444,0.6978166068321077,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,2,4,1
6,sub-03,lh-ventrolateralPFC,0.75,0.5,0.6666666666666666,0.6791937570558689,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,2,0
7,sub-03,lh-ventrolateralPFC,0.0,-0.5773502691896258,0.0,0.7301473279182858,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
8,sub-03,lh-ventrolateralPFC,0.125,-0.375,0.2,0.7608179568116715,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,7,1
9,sub-03,lh-ventrolateralPFC,0.0,-0.5773502691896258,0.0,0.7148554309489605,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
10,sub-03,lh-ventrolateralPFC,0.5,0.0,0.0,0.7205862610809501,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,0
11,sub-03,lh-ventrolateralPFC,0.16666666666666666,-0.3333333333333333,0.25,0.7477044168305034,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,5,1
12,sub-03,lh-ventrolateralPFC,0.5,0.0,0.0,0.69382861984806,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,0
13,sub-03,lh-ventrolateralPFC,0.0,-0.6123724356957946,0.0,0.7194132608109299,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,1
14,sub-03,lh-ventrolateralPFC,0.0,-0.6546536707079772,0.0,0.7481245694882241,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,6,1
15,sub-03,lh-ventrolateralPFC,0.0,-0.5773502691896258,0.0,0.7379652855556322,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
16,sub-03,lh-ventrolateralPFC,0.0,-0.5773502691896258,0.0,0.7374076835518557,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
17,sub-03,lh-ventrolateralPFC,0.0,-0.6454972243679028,0.0,0.731507075256638,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,5,1
18,sub-03,lh-ventrolateralPFC,0.16666666666666666,-0.6123724356957946,0.0,0.7196249271572894,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,1
19,sub-03,lh-ventrolateralPFC,0.1,-0.3,0.28571428571428575,0.8008041779096206,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,4,1
20,sub-03,lh-ventrolateralPFC,0.5,0.0,0.0,0.7029421017760772,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
21,sub-03,lh-ventrolateralPFC,0.3333333333333333,-0.16666666666666666,0.4,0.7152583024409329,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,2,1
22,sub-03,lh-ventrolateralPFC,0.0,-0.6123724356957946,0.0,0.7571810438411768,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,1
23,sub-03,lh-ventrolateralPFC,0.0,-0.5,0.0,0.7139444668620788,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
24,sub-03,lh-ventrolateralPFC,0.0,-0.5,0.0,0.7165529623175141,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
25,sub-03,lh-ventrolateralPFC,0.16666666666666666,-0.3333333333333333,0.25,0.7280837837720244,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,5,1
26,sub-03,lh-ventrolateralPFC,0.0,-0.5,0.0,0.7317433152088548,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
27,sub-03,lh-ventrolateralPFC,0.3333333333333333,-0.14907119849998599,0.4444444444444444,0.7014676873817742,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,2,4,1
28,sub-03,lh-ventrolateralPFC,0.0,-0.5773502691896258,0.0,0.7460596418659879,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
29,sub-03,lh-ventrolateralPFC,0.0,-0.6123724356957946,0.0,0.749968590966525,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,1
30,sub-03,lh-ventrolateralPFC,0.0,-0.5,0.0,0.7379287164443257,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
31,sub-03,lh-ventrolateralPFC,0.2,-0.3,0.28571428571428575,0.7094821923042246,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,4,1
32,sub-03,lh-ventrolateralPFC,0.0,-0.5,0.0,0.7424443294713702,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
33,sub-03,lh-ventrolateralPFC,1.0,0.0,0.0,0.6932025059193659,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
34,sub-03,lh-ventrolateralPFC,0.0,-0.6123724356957946,0.0,0.742872422564291,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,1
35,sub-03,lh-ventrolateralPFC,0.25,-0.25,0.3333333333333333,0.7646691186630395,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,3,1
36,sub-03,lh-ventrolateralPFC,0.14285714285714285,-0.35714285714285715,0.22222222222222224,0.7438736754041548,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,1,6,1
37,sub-03,lh-ventrolateralPFC,0.0,-0.5,0.0,0.7523583073985236,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
38,sub-03,lh-ventrolateralPFC,0.16666666666666666,-0.24056261216234406,0.3333333333333333,0.7668160258785995,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,2,7,1
39,sub-03,lh-ventrolateralPFC,0.0,-0.5,0.0,0.7381293453251567,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
