fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-03,rh-lateraloccipital,0.5272727272727272,0.050964719143762556,0.5555555555555556,0.7021594487567375,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,6,2
2,sub-03,rh-lateraloccipital,0.5000000000000001,-0.025,0.4615384615384615,0.6990278466223645,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,5,2
3,sub-03,rh-lateraloccipital,0.15,-0.5006939628599933,0.16666666666666666,0.7274780489520664,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,7,3
4,sub-03,rh-lateraloccipital,0.19999999999999998,-0.408248290463863,0.22222222222222224,0.70242378928523,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,3
5,sub-03,rh-lateraloccipital,0.375,-0.09759000729485333,0.5333333333333333,0.7045360998124858,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,4,3
6,sub-03,rh-lateraloccipital,0.5333333333333333,0.14907119849998599,0.4444444444444444,0.6952627393170416,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,1
7,sub-03,rh-lateraloccipital,0.39999999999999997,-0.06900655593423542,0.4,0.6976140791444166,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,4,2
8,sub-03,rh-lateraloccipital,0.5666666666666667,0.1,0.5454545454545454,0.6948197018824203,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,2
9,sub-03,rh-lateraloccipital,0.36,-0.408248290463863,0.22222222222222224,0.6970582941962853,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,3
10,sub-03,rh-lateraloccipital,0.47500000000000003,-0.025,0.4615384615384615,0.7016252310917879,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,5,2
11,sub-03,rh-lateraloccipital,0.3333333333333333,-0.26666666666666666,0.3636363636363636,0.6975144595019525,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,3
12,sub-03,rh-lateraloccipital,0.4666666666666667,-0.06666666666666667,0.42857142857142855,0.7042027999082038,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,6,2
13,sub-03,rh-lateraloccipital,0.2333333333333333,-0.4485426135725303,0.2,0.7038752056057747,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,5,3
14,sub-03,rh-lateraloccipital,0.48,0.0,0.5,0.7090327061415584,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,6,2
15,sub-03,rh-lateraloccipital,0.39999999999999997,-0.11952286093343936,0.36363636363636365,0.7014588926537947,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,5,2
