fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-03,rh-parahippocampal,0.19999999999999996,-0.5477225575051661,0.0,0.7633180265356252,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,2,3
2,sub-03,rh-parahippocampal,0.5142857142857142,0.02857142857142857,0.5,0.6871128105830845,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
3,sub-03,rh-parahippocampal,0.36666666666666664,-0.06900655593423542,0.4,0.6960289290779106,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,4,2
4,sub-03,rh-parahippocampal,0.44999999999999996,-0.025,0.4615384615384615,0.7050645789033207,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,5,2
5,sub-03,rh-parahippocampal,0.4666666666666667,-0.06900655593423542,0.4,0.6911689867233897,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,4,2
6,sub-03,rh-parahippocampal,0.4666666666666667,-0.06666666666666667,0.3333333333333333,0.722515651742621,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,2
7,sub-03,rh-parahippocampal,0.27999999999999997,-0.408248290463863,0.22222222222222224,0.7294414677957433,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,4,3
8,sub-03,rh-parahippocampal,0.44999999999999996,-0.15811388300841897,0.3333333333333333,0.6914204185101979,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,6,2
9,sub-03,rh-parahippocampal,0.3333333333333333,-0.2581988897471611,0.28571428571428575,0.7279942135732705,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,2,3
10,sub-03,rh-parahippocampal,0.4,-0.025,0.4615384615384615,0.7170461981809674,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,5,2
11,sub-03,rh-parahippocampal,0.4,0.0,0.631578947368421,0.7229011091448451,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,6,4,3
12,sub-03,rh-parahippocampal,0.4666666666666666,-0.06900655593423542,0.4,0.7002639814431559,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,4,2
13,sub-03,rh-parahippocampal,0.39999999999999997,-0.26666666666666666,0.3636363636363636,0.7088028251504992,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,4,3
