fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-03,rh-superiorfrontal,0.3333333333333333,-0.16666666666666666,0.4,0.7340896498444381,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,1,2,1
2,sub-03,rh-superiorfrontal,1.0,0.5773502691896258,0.6666666666666666,0.6604191843821743,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,1,1,0
3,sub-03,rh-superiorfrontal,0.0,-0.5773502691896258,0.0,0.7493228609093526,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
4,sub-03,rh-superiorfrontal,0.0,-0.5773502691896258,0.0,0.7544352306052652,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
5,sub-03,rh-superiorfrontal,0.25,-0.3333333333333333,0.25,0.7523470945299155,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,1,5,1
6,sub-03,rh-superiorfrontal,0.0,-0.6324555320336759,0.0,0.7486569415969481,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,4,1
7,sub-03,rh-superiorfrontal,0.5,0.0,0.0,0.7086259721211006,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,0
8,sub-03,rh-superiorfrontal,0.25,-0.2182178902359924,0.36363636363636365,0.7521862075044901,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,2,6,1
9,sub-03,rh-superiorfrontal,0.25,-0.5773502691896258,0.0,0.7015889880218106,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
10,sub-03,rh-superiorfrontal,0.0,-0.5773502691896258,0.0,0.7828092756204656,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
11,sub-03,rh-superiorfrontal,0.3333333333333333,-0.14907119849998599,0.4444444444444444,0.746466458787338,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,2,4,1
12,sub-03,rh-superiorfrontal,0.25,-0.5773502691896258,0.0,0.7220964037464119,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
13,sub-03,rh-superiorfrontal,0.5,-0.16666666666666666,0.4,0.687400487345757,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,1,2,1
14,sub-03,rh-superiorfrontal,0.08333333333333333,-0.3333333333333333,0.25,0.7341092388854775,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,1,5,1
15,sub-03,rh-superiorfrontal,0.25,-0.5773502691896258,0.0,0.7181592105124603,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
