fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-03,rh-ventrolateralPFC,0.2,-0.5477225575051661,0.0,0.7138271543978112,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,2,3
2,sub-03,rh-ventrolateralPFC,0.5142857142857143,0.02857142857142857,0.5,0.6945643738355315,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
3,sub-03,rh-ventrolateralPFC,0.6333333333333333,0.3105295017040594,0.6,0.6884644931779823,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,3,1
4,sub-03,rh-ventrolateralPFC,0.45,-0.025,0.4615384615384615,0.6892128668383525,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,5,2
5,sub-03,rh-ventrolateralPFC,0.5666666666666667,0.1,0.5454545454545454,0.688050996600539,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,3,2
6,sub-03,rh-ventrolateralPFC,0.7333333333333333,0.14907119849998599,0.4,0.6986722580698117,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,1
7,sub-03,rh-ventrolateralPFC,0.32,-0.2182178902359924,0.25,0.7029590398865557,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,4,2
8,sub-03,rh-ventrolateralPFC,0.47500000000000003,-0.025,0.4615384615384615,0.689302099328422,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,5,2
9,sub-03,rh-ventrolateralPFC,0.39999999999999997,-0.06666666666666667,0.3333333333333333,0.7027516712112899,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,2
10,sub-03,rh-ventrolateralPFC,0.5,-0.025,0.4615384615384615,0.6891679712206632,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,5,2
11,sub-03,rh-ventrolateralPFC,0.39999999999999997,0.0,0.5,0.6912749450540991,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,6,2
12,sub-03,rh-ventrolateralPFC,0.5666666666666667,0.1,0.5454545454545454,0.6915573307760655,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,3,2
13,sub-03,rh-ventrolateralPFC,0.6666666666666666,0.26666666666666666,0.6666666666666666,0.6875444151515075,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,2,2
14,sub-03,rh-ventrolateralPFC,0.6,-0.31622776601683794,0.0,0.7174047453057876,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,1,2
15,sub-03,rh-ventrolateralPFC,0.64,0.408248290463863,0.6666666666666665,0.6910683492049248,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,2,1
16,sub-03,rh-ventrolateralPFC,0.44,0.0,0.4444444444444445,0.6968010044048801,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
17,sub-03,rh-ventrolateralPFC,0.5,0.0,0.0,0.7095015680081797,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,0,2,0
18,sub-03,rh-ventrolateralPFC,0.36000000000000004,-0.09449111825230681,0.5555555555555556,0.6959284175193589,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,2,5,5,3
19,sub-03,rh-ventrolateralPFC,0.52,0.0,0.4444444444444445,0.6920024349644998,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
20,sub-03,rh-ventrolateralPFC,0.0,-0.7745966692414834,0.0,0.7159295756074235,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,1,0,3,4
21,sub-03,rh-ventrolateralPFC,0.45,-0.15811388300841897,0.28571428571428575,0.698671853063354,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,2
22,sub-03,rh-ventrolateralPFC,0.48000000000000004,0.0,0.4444444444444445,0.6937656237637224,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
23,sub-03,rh-ventrolateralPFC,0.2666666666666666,-0.4485426135725303,0.2,0.6975148047604329,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,5,3
24,sub-03,rh-ventrolateralPFC,0.2571428571428571,-0.50709255283711,0.30769230769230765,0.6958166035273248,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,1,2,5,4
