fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-fusiform,0.549045138888889,0.12510864843424485,0.5531914893617021,0.6923300125085258,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,22,20
2,01,lh-fusiform,0.5403645833333333,0.06251356778481196,0.5263157894736842,0.6914607913980778,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
3,01,lh-fusiform,0.5295138888888888,-0.06251356778481196,0.46315789473684216,0.691988768070576,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
4,01,lh-fusiform,0.5551215277777777,0.10418927964135326,0.5473684210526316,0.6911832877676894,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
5,01,lh-fusiform,0.5225694444444445,0.041666666666666664,0.5208333333333334,0.6928596915748173,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
6,01,lh-fusiform,0.5920138888888888,0.10437071518085823,0.5376344086021506,0.687376155453526,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,23,20
7,01,lh-fusiform,0.4852430555555556,-0.08333333333333333,0.4583333333333333,0.6944604515597671,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,22,26,26
8,01,lh-fusiform,0.4691840277777778,-0.06251356778481196,0.46315789473684216,0.6972997602341321,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
9,01,lh-fusiform,0.4513888888888889,-0.10418927964135326,0.4421052631578947,0.6941462601161469,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,27,26
10,01,lh-fusiform,0.5095486111111112,0.041666666666666664,0.5208333333333334,0.6936474868456322,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
11,01,lh-fusiform,0.5863715277777778,0.14586499149789456,0.5684210526315789,0.6888407094860489,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
12,01,lh-fusiform,0.4231770833333333,-0.14586499149789456,0.42105263157894735,0.7086312964175575,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,28,27
13,01,lh-fusiform,0.48480902777777773,0.0,0.48936170212765956,0.6950376248827922,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
14,01,lh-fusiform,0.4014756944444444,-0.18786728732554484,0.38709677419354843,0.696358473052313,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,18,30,27
15,01,lh-fusiform,0.4479166666666667,0.04170288281141495,0.5106382978723404,0.6946246846619967,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
