fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-inferiortemporal,0.4214409722222222,-0.14586499149789456,0.42105263157894735,0.7076788086344964,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
2,01,lh-inferiortemporal,0.43706597222222215,-0.06251356778481196,0.46315789473684216,0.6956434797513293,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
3,01,lh-inferiortemporal,0.4127604166666667,-0.10418927964135326,0.4421052631578947,0.7099455703742549,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
4,01,lh-inferiortemporal,0.5329861111111112,0.06251356778481196,0.5263157894736842,0.6938544617824703,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
5,01,lh-inferiortemporal,0.4913194444444444,0.0,0.5,0.6936624810925226,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
6,01,lh-inferiortemporal,0.5234375,-0.02083785592827065,0.4842105263157895,0.6924932239642082,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
7,01,lh-inferiortemporal,0.5390625,0.020874143036171647,0.4946236559139785,0.6908729078690953,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,23,25,22
8,01,lh-inferiortemporal,0.36979166666666663,-0.22921641521097716,0.3917525773195876,0.7182100998325412,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,18,19,29,30
9,01,lh-inferiortemporal,0.5364583333333334,0.14586499149789456,0.5684210526315789,0.6925778983568929,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
10,01,lh-inferiortemporal,0.4774305555555555,0.0,0.48936170212765956,0.6995396244773837,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
11,01,lh-inferiortemporal,0.4809027777777778,-0.06251356778481196,0.46315789473684216,0.6951597167088043,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
12,01,lh-inferiortemporal,0.48784722222222227,-0.06251356778481196,0.46315789473684216,0.6987941908935914,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
13,01,lh-inferiortemporal,0.41145833333333337,-0.10437071518085823,0.4301075268817204,0.7115520789050837,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,20,28,25
14,01,lh-inferiortemporal,0.5355902777777778,0.14586499149789456,0.5684210526315789,0.6919504416127252,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
15,01,lh-inferiortemporal,0.44357638888888884,-0.125,0.4375,0.6957728465757299,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
16,01,lh-inferiortemporal,0.5303819444444444,0.10418927964135326,0.5567010309278351,0.6920539142814452,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,27,21,22
17,01,lh-inferiortemporal,0.5104166666666667,0.06251356778481196,0.5360824742268041,0.6954782958489067,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,26,22,23
18,01,lh-inferiortemporal,0.51953125,-0.02083785592827065,0.4842105263157895,0.6948554007426955,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
19,01,lh-inferiortemporal,0.4357638888888889,-0.08333333333333333,0.4583333333333333,0.7056764236691047,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
20,01,lh-inferiortemporal,0.4422743055555555,-0.08333333333333333,0.4583333333333333,0.6947696044401708,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
21,01,lh-inferiortemporal,0.453125,0.0,0.5,0.6954410521423369,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
22,01,lh-inferiortemporal,0.4704861111111111,-0.1668115312456598,0.4285714285714286,0.7009550419801002,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,19,21,27,29
23,01,lh-inferiortemporal,0.5282118055555556,0.0,0.48936170212765956,0.6921317060132038,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
24,01,lh-inferiortemporal,0.4405381944444444,-0.16666666666666666,0.4166666666666667,0.7092448474492267,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,20,20,28,28
25,01,lh-inferiortemporal,0.4809027777777778,-0.02083785592827065,0.4842105263157895,0.6932313189354713,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
26,01,lh-inferiortemporal,0.5416666666666667,0.10418927964135326,0.5473684210526316,0.6920147998495255,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
27,01,lh-inferiortemporal,0.4440104166666667,-0.02083785592827065,0.4842105263157895,0.6966104842683297,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
28,01,lh-inferiortemporal,0.45703125,-0.0834057656228299,0.44680851063829785,0.6944394822580809,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
29,01,lh-inferiortemporal,0.4717881944444445,-0.041666666666666664,0.4791666666666667,0.6939129694464093,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
30,01,lh-inferiortemporal,0.4444444444444444,0.02083785592827065,0.5052631578947369,0.696596875541268,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
31,01,lh-inferiortemporal,0.4422743055555555,-0.06251356778481196,0.46315789473684216,0.7032734396825827,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
32,01,lh-inferiortemporal,0.4995659722222222,-0.02083785592827065,0.4842105263157895,0.6937105833683642,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
33,01,lh-inferiortemporal,0.5546875,-0.02083785592827065,0.4842105263157895,0.6905913869101455,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
34,01,lh-inferiortemporal,0.4552951388888889,-0.041666666666666664,0.4791666666666667,0.6987397502332048,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
35,01,lh-inferiortemporal,0.4578993055555555,-0.04170288281141495,0.4680851063829787,0.7065565399211743,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
36,01,lh-inferiortemporal,0.45529513888888895,0.02083785592827065,0.5052631578947369,0.6950414157288695,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
37,01,lh-inferiortemporal,0.44314236111111116,-0.06251356778481196,0.46315789473684216,0.6953488968187492,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
