fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-lateraloccipital,0.4513888888888889,-0.10418927964135326,0.4421052631578947,0.6971764297162556,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,27,26
2,01,lh-lateraloccipital,0.5130208333333334,0.06251356778481196,0.5263157894736842,0.6926781235439267,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
3,01,lh-lateraloccipital,0.4926215277777778,0.02083785592827065,0.5052631578947369,0.6934846871855104,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
4,01,lh-lateraloccipital,0.47829861111111105,0.02083785592827065,0.5154639175257733,0.6952043215438257,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,25,23,24
5,01,lh-lateraloccipital,0.599392361111111,0.06251356778481196,0.5263157894736842,0.689421037570875,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
6,01,lh-lateraloccipital,0.4292534722222222,-0.04170288281141495,0.4680851063829787,0.6971260750754906,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,26,24
7,01,lh-lateraloccipital,0.5308159722222222,0.02083785592827065,0.5052631578947369,0.6907910263529882,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
8,01,lh-lateraloccipital,0.578125,0.16666666666666666,0.5833333333333334,0.6917064620974003,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,28,20,20
9,01,lh-lateraloccipital,0.484375,-0.14611900125320154,0.40860215053763443,0.6933562639836462,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,19,29,26
10,01,lh-lateraloccipital,0.4774305555555556,-0.02083785592827065,0.4842105263157895,0.6950803975588795,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
11,01,lh-lateraloccipital,0.4140625,-0.16666666666666666,0.4166666666666667,0.6962711525582671,None + Linear-SVM,glimpse,glimpse,False,Image,False,20,20,28,28
12,01,lh-lateraloccipital,0.49826388888888884,0.02083785592827065,0.5052631578947369,0.6957841386368698,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
13,01,lh-lateraloccipital,0.45442708333333337,0.0,0.48936170212765956,0.6982371227736337,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
14,01,lh-lateraloccipital,0.4887152777777778,-0.06251356778481196,0.46315789473684216,0.6967704832583452,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
15,01,lh-lateraloccipital,0.3441840277777778,-0.20851441405707477,0.3829787234042554,0.7137360162592395,None + Linear-SVM,glimpse,glimpse,False,Image,False,20,18,30,28
16,01,lh-lateraloccipital,0.45486111111111116,-0.12510864843424485,0.425531914893617,0.6998116416214035,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,20,28,26
17,01,lh-lateraloccipital,0.4852430555555556,-0.02083785592827065,0.4842105263157895,0.6934147837895188,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
18,01,lh-lateraloccipital,0.5013020833333334,0.0,0.48936170212765956,0.6978891978453485,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
19,01,lh-lateraloccipital,0.5980902777777778,0.0834057656228299,0.5319148936170214,0.6856605875934103,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,23,21
20,01,lh-lateraloccipital,0.556857638888889,0.10418927964135326,0.5473684210526316,0.6903697099422779,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
21,01,lh-lateraloccipital,0.3585069444444444,-0.25,0.375,0.6995519351534888,None + Linear-SVM,glimpse,glimpse,False,Image,False,18,18,30,30
22,01,lh-lateraloccipital,0.4800347222222222,-0.041666666666666664,0.4791666666666667,0.6949304305548466,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,23,25,25
