fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-pericalcarine,0.6141304347826088,0.17782168978975482,0.5842696629213482,0.6743059654980877,None + Linear-SVM,conscious,conscious,False,Image,False,27,26,18,19
2,01,lh-pericalcarine,0.5909090909090909,0.06620553359683795,0.5227272727272727,0.6790021811739098,None + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
3,01,lh-pericalcarine,0.5592885375494071,0.06620553359683795,0.5227272727272727,0.695728835605179,None + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
4,01,lh-pericalcarine,0.5543478260869565,0.06620553359683795,0.5227272727272727,0.696167280105681,None + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
5,01,lh-pericalcarine,0.7144268774703557,0.3784584980237154,0.688888888888889,0.6546840309275842,None + Linear-SVM,conscious,conscious,False,Image,False,31,31,13,15
6,01,lh-pericalcarine,0.5573122529644269,0.06620553359683795,0.5227272727272727,0.7001582534906179,None + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
7,01,lh-pericalcarine,0.6487154150197628,0.2440711462450593,0.6136363636363636,0.65613124451328,None + Linear-SVM,conscious,conscious,False,Image,False,29,27,17,17
8,01,lh-pericalcarine,0.6758893280632411,0.17700870133979538,0.5747126436781609,0.6742926953621589,None + Linear-SVM,conscious,conscious,False,Image,False,28,25,19,18
9,01,lh-pericalcarine,0.6432806324110671,0.19960474308300397,0.5909090909090909,0.6600643924372515,None + Linear-SVM,conscious,conscious,False,Image,False,28,26,18,18
10,01,lh-pericalcarine,0.5933794466403162,0.17700870133979538,0.5747126436781609,0.6743319563942646,None + Linear-SVM,conscious,conscious,False,Image,False,28,25,19,18
11,01,lh-pericalcarine,0.6274703557312253,0.1551383399209486,0.5681818181818182,0.6711283722409596,None + Linear-SVM,conscious,conscious,False,Image,False,27,25,19,19
12,01,lh-pericalcarine,0.6492094861660078,0.19960474308300397,0.5909090909090909,0.6680084123484544,None + Linear-SVM,conscious,conscious,False,Image,False,28,26,18,18
13,01,lh-pericalcarine,0.6398221343873518,0.20059288537549408,0.6,0.6786809717647007,None + Linear-SVM,conscious,conscious,False,Image,False,27,27,17,19
14,01,lh-pericalcarine,0.6605731225296443,0.15612648221343872,0.5777777777777778,0.6650742379258346,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,18,20
15,01,lh-pericalcarine,0.6022727272727273,0.13250930714822673,0.5517241379310344,0.6709488690251257,None + Linear-SVM,conscious,conscious,False,Image,False,27,24,20,19
16,01,lh-pericalcarine,0.6235177865612648,0.13250930714822673,0.5517241379310344,0.6675661407837394,None + Linear-SVM,conscious,conscious,False,Image,False,27,24,20,19
17,01,lh-pericalcarine,0.5548418972332017,0.06534666277174166,0.5116279069767442,0.6998560940804487,None + Linear-SVM,conscious,conscious,False,Image,False,26,22,22,20
18,01,lh-pericalcarine,0.6521739130434783,0.19960474308300397,0.5909090909090909,0.6559965249533382,None + Linear-SVM,conscious,conscious,False,Image,False,28,26,18,18
19,01,lh-pericalcarine,0.6823122529644269,0.2885375494071146,0.6363636363636364,0.6512244726299201,None + Linear-SVM,conscious,conscious,False,Image,False,30,28,16,16
20,01,lh-pericalcarine,0.6403162055335969,0.2435648339674007,0.6046511627906977,0.662814022258419,None + Linear-SVM,conscious,conscious,False,Image,False,30,26,18,16
21,01,lh-pericalcarine,0.5988142292490118,0.0,0.4943820224719101,0.6770771014364279,None + Linear-SVM,conscious,conscious,False,Image,False,23,22,22,23
22,01,lh-pericalcarine,0.5518774703557313,0.06719367588932806,0.5333333333333332,0.6821473937754655,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,20,22
23,01,lh-pericalcarine,0.6645256916996047,0.19960474308300397,0.5909090909090909,0.6634913343593231,None + Linear-SVM,conscious,conscious,False,Image,False,28,26,18,18
24,01,lh-pericalcarine,0.5889328063241106,0.11067193675889328,0.5454545454545454,0.6914784204791112,None + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
25,01,lh-pericalcarine,0.6289525691699606,0.1551383399209486,0.5681818181818182,0.6691597267468349,None + Linear-SVM,conscious,conscious,False,Image,False,27,25,19,19
26,01,lh-pericalcarine,0.6245059288537549,0.1551383399209486,0.5681818181818182,0.6784285020465217,None + Linear-SVM,conscious,conscious,False,Image,False,27,25,19,19
27,01,lh-pericalcarine,0.6679841897233201,0.2440711462450593,0.6136363636363636,0.6582916230809588,None + Linear-SVM,conscious,conscious,False,Image,False,29,27,17,17
28,01,lh-pericalcarine,0.6017786561264822,0.1551383399209486,0.5681818181818182,0.683692232741048,None + Linear-SVM,conscious,conscious,False,Image,False,27,25,19,19
29,01,lh-pericalcarine,0.6506916996047432,0.22150809553136405,0.5977011494252873,0.6572501105301792,None + Linear-SVM,conscious,conscious,False,Image,False,29,26,18,17
30,01,lh-pericalcarine,0.6457509881422925,0.17782168978975482,0.5842696629213482,0.6583517760721773,None + Linear-SVM,conscious,conscious,False,Image,False,27,26,18,19
31,01,lh-pericalcarine,0.6269762845849802,0.17700870133979538,0.5747126436781609,0.673245143159901,None + Linear-SVM,conscious,conscious,False,Image,False,28,25,19,18
32,01,lh-pericalcarine,0.6442687747035574,0.1551383399209486,0.5681818181818182,0.6553063873857189,None + Linear-SVM,conscious,conscious,False,Image,False,27,25,19,19
33,01,lh-pericalcarine,0.6037549407114624,0.06719367588932806,0.5333333333333332,0.6764156782978179,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,20,22
34,01,lh-pericalcarine,0.5839920948616601,0.06620553359683795,0.5227272727272727,0.6740958783069823,None + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
35,01,lh-pericalcarine,0.5716403162055336,0.11067193675889328,0.5454545454545454,0.691328440875691,None + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
36,01,lh-pericalcarine,0.6521739130434783,0.1551383399209486,0.5681818181818182,0.6663440052041167,None + Linear-SVM,conscious,conscious,False,Image,False,27,25,19,19
37,01,lh-pericalcarine,0.6047430830039525,0.04351051876508937,0.5057471264367817,0.6718014804635892,None + Linear-SVM,conscious,conscious,False,Image,False,25,22,22,21
38,01,lh-pericalcarine,0.6422924901185771,0.1551383399209486,0.5681818181818182,0.6622082062001352,None + Linear-SVM,conscious,conscious,False,Image,False,27,25,19,19
39,01,lh-pericalcarine,0.6007905138339921,0.06534666277174166,0.5116279069767442,0.6795290711216683,None + Linear-SVM,conscious,conscious,False,Image,False,26,22,22,20
40,01,lh-pericalcarine,0.7203557312252965,0.2885375494071146,0.6363636363636364,0.6468874991239205,None + Linear-SVM,conscious,conscious,False,Image,False,30,28,16,16
