fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-rostralmiddlefrontal,0.5419960474308301,0.11067193675889328,0.5454545454545454,0.6914613214332467,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
2,01,lh-rostralmiddlefrontal,0.5222332015810277,-0.06719367588932806,0.45454545454545453,0.7006120601128927,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,20,24,24
3,01,lh-rostralmiddlefrontal,0.6180830039525691,0.17700870133979538,0.5747126436781609,0.6743392899306815,Mutual + Linear-SVM,conscious,conscious,False,Image,False,28,25,19,18
4,01,lh-rostralmiddlefrontal,0.6284584980237153,0.28811937676631544,0.6279069767441862,0.6774786629147296,Mutual + Linear-SVM,conscious,conscious,False,Image,False,31,27,17,15
5,01,lh-rostralmiddlefrontal,0.5153162055335968,-0.08891084489487741,0.44943820224719094,0.7021022884785081,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,20,24,25
6,01,lh-rostralmiddlefrontal,0.43379446640316205,-0.15612648221343872,0.4090909090909091,0.7260848745793732,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,18,26,26
7,01,lh-rostralmiddlefrontal,0.48221343873517786,-0.08891084489487741,0.44943820224719094,0.7080831768288444,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,20,24,25
8,01,lh-rostralmiddlefrontal,0.5825098814229249,0.08800991295665804,0.5287356321839081,0.688664046781635,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,23,21,20
9,01,lh-rostralmiddlefrontal,0.5350790513833992,-0.022727272727272728,0.4772727272727273,0.7236059958352424,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
10,01,lh-rostralmiddlefrontal,0.45750988142292487,-0.1333662673423161,0.4269662921348315,0.7085078534657775,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,19,25,26
11,01,lh-rostralmiddlefrontal,0.6526679841897233,0.22150809553136405,0.5977011494252873,0.6715074841490152,Mutual + Linear-SVM,conscious,conscious,False,Image,False,29,26,18,17
12,01,lh-rostralmiddlefrontal,0.6047430830039526,0.19960474308300397,0.5909090909090909,0.6798682291389263,Mutual + Linear-SVM,conscious,conscious,False,Image,False,28,26,18,18
13,01,lh-rostralmiddlefrontal,0.5602766798418972,0.11067193675889328,0.5454545454545454,0.688607345286464,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
14,01,lh-rostralmiddlefrontal,0.5385375494071146,0.13250930714822673,0.5517241379310344,0.6988730037386855,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,24,20,19
15,01,lh-rostralmiddlefrontal,0.5197628458498024,0.04351051876508937,0.5057471264367817,0.7120728811902665,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,22,22,21
16,01,lh-rostralmiddlefrontal,0.591897233201581,0.022727272727272728,0.5111111111111111,0.6842398518681865,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,23,21,23
17,01,lh-rostralmiddlefrontal,0.5464426877470356,0.021739130434782608,0.5,0.7175722986612934,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,22,22,22
18,01,lh-rostralmiddlefrontal,0.5731225296442688,0.08800991295665804,0.5287356321839081,0.6834224574305615,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,23,21,20
19,01,lh-rostralmiddlefrontal,0.49357707509881427,-0.04548826961804798,0.45977011494252873,0.7080232890009097,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,20,24,23
