fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-lateraloccipital,0.49088541666666674,0.02083785592827065,0.5052631578947369,0.694235365629465,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
2,01,rh-lateraloccipital,0.6176215277777778,0.18754070335443587,0.5894736842105263,0.6882297478335074,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
3,01,rh-lateraloccipital,0.5130208333333333,0.06262242910851494,0.5161290322580646,0.6926702680855836,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,24,24,21
4,01,rh-lateraloccipital,0.537326388888889,-0.02083785592827065,0.4842105263157895,0.6917766739074755,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
5,01,rh-lateraloccipital,0.4561631944444444,-0.06251356778481196,0.46315789473684216,0.7004325551110083,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
6,01,rh-lateraloccipital,0.390625,-0.20833333333333334,0.3958333333333333,0.7003541308814253,None + Linear-SVM,unconscious,unconscious,False,Image,False,19,19,29,29
7,01,rh-lateraloccipital,0.5568576388888888,0.10418927964135326,0.5473684210526316,0.6911886562057289,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
8,01,rh-lateraloccipital,0.4965277777777778,-0.02083785592827065,0.4842105263157895,0.6954499376363893,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
9,01,rh-lateraloccipital,0.3988715277777778,-0.06251356778481196,0.46315789473684216,0.7157504123964449,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
10,01,rh-lateraloccipital,0.6041666666666667,0.12510864843424485,0.5531914893617021,0.6882985598817856,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
11,01,rh-lateraloccipital,0.44227430555555564,-0.14586499149789456,0.42105263157894735,0.7164433328780762,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
12,01,rh-lateraloccipital,0.5013020833333334,-0.06251356778481196,0.46315789473684216,0.6934235077084899,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
