fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-pericalcarine,0.3987154150197628,-0.20059288537549408,0.38636363636363635,0.7129097435008125,PCA + Linear-SVM,conscious,conscious,False,Image,False,19,17,27,27
2,01,rh-pericalcarine,0.4851778656126482,-0.06719367588932806,0.45454545454545453,0.6936462831509429,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,20,24,24
3,01,rh-pericalcarine,0.41996047430830047,-0.08891084489487741,0.44943820224719094,0.7100858897246128,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,20,24,25
4,01,rh-pericalcarine,0.5103754940711462,0.04351051876508937,0.5057471264367817,0.6955577969538003,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,22,22,21
5,01,rh-pericalcarine,0.4589920948616601,-0.1128715084239174,0.4186046511627907,0.6949432258553526,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,18,26,24
6,01,rh-pericalcarine,0.43132411067193677,-0.11166007905138339,0.4318181818181818,0.700226010295927,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,19,25,25
7,01,rh-pericalcarine,0.49061264822134387,-0.022727272727272728,0.4772727272727273,0.6935612750311397,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
8,01,rh-pericalcarine,0.4125494071146245,-0.15612648221343872,0.4090909090909091,0.7118052003478215,PCA + Linear-SVM,conscious,conscious,False,Image,False,20,18,26,26
9,01,rh-pericalcarine,0.42737154150197626,-0.08998766380961665,0.4367816091954023,0.7322329078258402,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,19,25,24
10,01,rh-pericalcarine,0.45207509881422925,-0.1128715084239174,0.4186046511627907,0.7046725292421622,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,18,26,24
11,01,rh-pericalcarine,0.5093873517786561,0.06620553359683795,0.5227272727272727,0.693845555029124,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
12,01,rh-pericalcarine,0.5578063241106719,0.06620553359683795,0.5227272727272727,0.6890793870032793,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
13,01,rh-pericalcarine,0.4787549407114624,0.06534666277174166,0.5116279069767442,0.6963900483704605,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,22,22,20
14,01,rh-pericalcarine,0.5750988142292491,0.1551383399209486,0.5681818181818182,0.6900055720596686,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,25,19,19
15,01,rh-pericalcarine,0.37598814229249006,-0.2450592885375494,0.36363636363636365,0.6970657886013664,PCA + Linear-SVM,conscious,conscious,False,Image,False,18,16,28,28
16,01,rh-pericalcarine,0.4535573122529645,-0.06620553359683795,0.4666666666666666,0.6962664081334998,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,21,23,25
17,01,rh-pericalcarine,0.48023715415019763,0.0,0.4943820224719101,0.7118721648909596,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,22,22,23
18,01,rh-pericalcarine,0.4955533596837945,0.021739130434782608,0.5,0.6944935382730348,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,22,22,22
19,01,rh-pericalcarine,0.48764822134387353,0.06620553359683795,0.5227272727272727,0.6992385632766707,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
20,01,rh-pericalcarine,0.5113636363636364,-0.022727272727272728,0.4772727272727273,0.6938196609702383,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
21,01,rh-pericalcarine,0.5854743083003953,0.17782168978975482,0.5842696629213482,0.6903849134437745,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,26,18,19
22,01,rh-pericalcarine,0.43033596837944665,-0.06719367588932806,0.45454545454545453,0.6990826369859886,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,20,24,24
23,01,rh-pericalcarine,0.46837944664031617,0.021739130434782608,0.5,0.7006802955494413,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,22,22,22
24,01,rh-pericalcarine,0.5242094861660079,-0.021739130434782608,0.4888888888888889,0.6915499133600678,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,22,22,24
25,01,rh-pericalcarine,0.5360671936758894,-0.023762422826087874,0.46511627906976744,0.6919088216763609,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,20,24,22
26,01,rh-pericalcarine,0.5607707509881423,0.06534666277174166,0.5116279069767442,0.6907895720064636,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,22,22,20
27,01,rh-pericalcarine,0.49061264822134387,-0.022727272727272728,0.4772727272727273,0.6936420673520074,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
28,01,rh-pericalcarine,0.4683794466403162,0.021739130434782608,0.5,0.6959473916007565,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,22,22,22
29,01,rh-pericalcarine,0.5815217391304347,0.11067193675889328,0.5454545454545454,0.688518768030555,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
30,01,rh-pericalcarine,0.424901185770751,-0.19960474308300397,0.4,0.7072844698962008,PCA + Linear-SVM,conscious,conscious,False,Image,False,18,18,26,28
31,01,rh-pericalcarine,0.533102766798419,-0.022727272727272728,0.4772727272727273,0.6910145911256951,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
32,01,rh-pericalcarine,0.44664031620553357,-0.06719367588932806,0.45454545454545453,0.6942337312141605,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,20,24,24
33,01,rh-pericalcarine,0.525691699604743,0.04351051876508937,0.5057471264367817,0.691172694195045,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,22,22,21
34,01,rh-pericalcarine,0.5009881422924901,0.021739130434782608,0.5,0.6953540339604917,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,22,22,22
35,01,rh-pericalcarine,0.5909090909090908,0.17782168978975482,0.5842696629213482,0.6851881913442875,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,26,18,19
36,01,rh-pericalcarine,0.48814229249011865,-0.044455422447438706,0.4719101123595506,0.6965656985196357,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,21,23,24
37,01,rh-pericalcarine,0.4471343873517787,-0.021739130434782608,0.4888888888888889,0.7287523696162931,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,22,22,24
38,01,rh-pericalcarine,0.5182806324110671,0.06534666277174166,0.5116279069767442,0.6925690565497507,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,22,22,20
39,01,rh-pericalcarine,0.5548418972332015,0.06620553359683795,0.5227272727272727,0.6902444426873814,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
40,01,rh-pericalcarine,0.5,0.06620553359683795,0.5227272727272727,0.6955501573068344,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
41,01,rh-pericalcarine,0.4258893280632412,-0.13448705800118532,0.4137931034482759,0.7012095063626289,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,18,26,25
42,01,rh-pericalcarine,0.4871541501976285,0.022727272727272728,0.5111111111111111,0.7005976625888126,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,23,21,23
43,01,rh-pericalcarine,0.44021739130434784,-0.15612648221343872,0.4090909090909091,0.6970149844787812,PCA + Linear-SVM,conscious,conscious,False,Image,False,20,18,26,26
44,01,rh-pericalcarine,0.4614624505928855,-0.0009888754264793039,0.4827586206896552,0.7105686475961338,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,21,23,22
45,01,rh-pericalcarine,0.48122529644268774,-0.11067193675889328,0.4444444444444445,0.694869954531387,PCA + Linear-SVM,conscious,conscious,False,Image,False,20,20,24,26
46,01,rh-pericalcarine,0.38339920948616607,-0.11166007905138339,0.4318181818181818,0.7234067749602415,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,19,25,25
47,01,rh-pericalcarine,0.4654150197628458,0.0,0.4943820224719101,0.6946690561934695,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,22,22,23
48,01,rh-pericalcarine,0.42539525691699603,-0.022727272727272728,0.4772727272727273,0.702607996761232,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
49,01,rh-pericalcarine,0.5657114624505928,0.11067193675889328,0.5454545454545454,0.6872991385605455,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
50,01,rh-pericalcarine,0.5163043478260869,0.04351051876508937,0.5057471264367817,0.6957863525392636,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,22,22,21
51,01,rh-pericalcarine,0.5143280632411067,0.021739130434782608,0.5,0.7015862220287671,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,22,22,22
52,01,rh-pericalcarine,0.5380434782608695,0.021739130434782608,0.5,0.6899407706535983,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,22,22,22
53,01,rh-pericalcarine,0.4649209486166008,-0.021739130434782608,0.4888888888888889,0.708322592081342,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,22,22,24
54,01,rh-pericalcarine,0.491600790513834,0.11067193675889328,0.5454545454545454,0.6950737699576804,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
55,01,rh-pericalcarine,0.5207509881422925,0.021739130434782608,0.5,0.7084272612789262,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,22,22,22
56,01,rh-pericalcarine,0.41205533596837945,-0.15612648221343872,0.4090909090909091,0.6957002506527521,PCA + Linear-SVM,conscious,conscious,False,Image,False,20,18,26,26
57,01,rh-pericalcarine,0.48418972332015814,0.0,0.4943820224719101,0.6935987164937086,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,22,22,23
58,01,rh-pericalcarine,0.4540513833992095,-0.08998766380961665,0.4367816091954023,0.6964417284808285,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,19,25,24
59,01,rh-pericalcarine,0.4629446640316206,-0.06719367588932806,0.45454545454545453,0.6999820218094246,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,20,24,24
60,01,rh-pericalcarine,0.44565217391304346,-0.06719367588932806,0.45454545454545453,0.6963450356035941,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,20,24,24
