fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-rostralmiddlefrontal,0.44960474308300397,-0.11166007905138339,0.4318181818181818,0.7059829010253283,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,19,25,25
2,01,rh-rostralmiddlefrontal,0.5207509881422925,0.0,0.4943820224719101,0.7175233566935079,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,22,22,23
3,01,rh-rostralmiddlefrontal,0.48221343873517786,-0.06719367588932806,0.45454545454545453,0.7100891583654722,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,20,24,24
4,01,rh-rostralmiddlefrontal,0.533596837944664,-0.06719367588932806,0.45454545454545453,0.6977352075909481,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,20,24,24
5,01,rh-rostralmiddlefrontal,0.43379446640316205,-0.1551383399209486,0.4222222222222222,0.7206282554812631,Mutual + Linear-SVM,conscious,conscious,False,Image,False,19,19,25,27
6,01,rh-rostralmiddlefrontal,0.5607707509881423,0.11067193675889328,0.5454545454545454,0.6940522528789026,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
7,01,rh-rostralmiddlefrontal,0.41551383399209485,-0.15612648221343872,0.4090909090909091,0.7345588459666157,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,18,26,26
8,01,rh-rostralmiddlefrontal,0.5538537549407114,0.11067193675889328,0.5454545454545454,0.692284720409125,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
9,01,rh-rostralmiddlefrontal,0.5647233201581028,0.06620553359683795,0.5227272727272727,0.6881154037448074,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
10,01,rh-rostralmiddlefrontal,0.474802371541502,-0.022727272727272728,0.4772727272727273,0.730346894449253,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
11,01,rh-rostralmiddlefrontal,0.5884387351778656,0.11067193675889328,0.5454545454545454,0.6830304799340936,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
12,01,rh-rostralmiddlefrontal,0.532608695652174,0.15445574836957118,0.5581395348837208,0.7020155494068362,Mutual + Linear-SVM,conscious,conscious,False,Image,False,28,24,20,18
13,01,rh-rostralmiddlefrontal,0.5217391304347826,0.11067193675889328,0.5454545454545454,0.7083249672296148,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
14,01,rh-rostralmiddlefrontal,0.40217391304347827,-0.15742605122283215,0.3953488372093023,0.7203748949276838,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,17,27,25
15,01,rh-rostralmiddlefrontal,0.5311264822134386,0.044455422447438706,0.5168539325842696,0.7116354501892376,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,23,21,22
16,01,rh-rostralmiddlefrontal,0.5271739130434783,-0.022727272727272728,0.4772727272727273,0.6932732826565743,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
17,01,rh-rostralmiddlefrontal,0.4659090909090909,-0.06719367588932806,0.45454545454545453,0.7140022642652265,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,20,24,24
18,01,rh-rostralmiddlefrontal,0.47332015810276684,0.04351051876508937,0.5057471264367817,0.7168238259856157,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,22,22,21
19,01,rh-rostralmiddlefrontal,0.599308300395257,0.17782168978975482,0.5842696629213482,0.6860402039074659,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,26,18,19
20,01,rh-rostralmiddlefrontal,0.4930830039525692,-0.04548826961804798,0.45977011494252873,0.7069035452437968,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,20,24,23
21,01,rh-rostralmiddlefrontal,0.5543478260869564,0.04351051876508937,0.5057471264367817,0.691844127426102,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,22,22,21
22,01,rh-rostralmiddlefrontal,0.43824110671936756,-0.06719367588932806,0.45454545454545453,0.7221072780039468,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,20,24,24
23,01,rh-rostralmiddlefrontal,0.4935770750988142,-0.0009888754264793039,0.4827586206896552,0.705664403496465,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,21,23,22
24,01,rh-rostralmiddlefrontal,0.5400197628458498,0.08800991295665804,0.5287356321839081,0.6956359239155269,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,23,21,20
25,01,rh-rostralmiddlefrontal,0.525197628458498,0.04351051876508937,0.5057471264367817,0.6950061353849337,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,22,22,21
26,01,rh-rostralmiddlefrontal,0.5024703557312252,-0.022727272727272728,0.4772727272727273,0.708119055076269,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
27,01,rh-rostralmiddlefrontal,0.5291501976284585,0.04351051876508937,0.5057471264367817,0.6995935999064506,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,22,22,21
28,01,rh-rostralmiddlefrontal,0.4407114624505929,-0.044455422447438706,0.4719101123595506,0.7385805672183304,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,21,23,24
29,01,rh-rostralmiddlefrontal,0.5143280632411067,-0.022727272727272728,0.4772727272727273,0.6906064001624356,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
30,01,rh-rostralmiddlefrontal,0.5311264822134387,0.06620553359683795,0.5227272727272727,0.6977856213278584,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
31,01,rh-rostralmiddlefrontal,0.4723320158102767,-0.022727272727272728,0.4772727272727273,0.705218717109254,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
32,01,rh-rostralmiddlefrontal,0.4644268774703557,-0.022727272727272728,0.4772727272727273,0.7253447802040449,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
33,01,rh-rostralmiddlefrontal,0.49357707509881427,0.0,0.4943820224719101,0.7055918867703602,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,22,22,23
34,01,rh-rostralmiddlefrontal,0.566699604743083,0.04351051876508937,0.5057471264367817,0.6858209217346936,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,22,22,21
35,01,rh-rostralmiddlefrontal,0.600296442687747,0.10990120557065641,0.5348837209302325,0.6793411980704984,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,23,21,19
36,01,rh-rostralmiddlefrontal,0.532608695652174,-0.022727272727272728,0.4772727272727273,0.7002343003031413,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
37,01,rh-rostralmiddlefrontal,0.42045454545454547,-0.044455422447438706,0.4719101123595506,0.7655146375403064,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,21,23,24
38,01,rh-rostralmiddlefrontal,0.5938735177865613,0.11067193675889328,0.5454545454545454,0.6820386907362808,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
39,01,rh-rostralmiddlefrontal,0.5177865612648221,-0.022727272727272728,0.4772727272727273,0.7049740051197032,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
40,01,rh-rostralmiddlefrontal,0.47480237154150196,-0.022727272727272728,0.4772727272727273,0.7490933264612912,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,23
41,01,rh-rostralmiddlefrontal,0.4476284584980237,-0.11166007905138339,0.4318181818181818,0.7203773152775579,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,19,25,25
42,01,rh-rostralmiddlefrontal,0.5405138339920948,0.06620553359683795,0.5227272727272727,0.7063275737720531,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,21
43,01,rh-rostralmiddlefrontal,0.4209486166007905,-0.15612648221343872,0.4090909090909091,0.7445098600539755,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,18,26,26
44,01,rh-rostralmiddlefrontal,0.4930830039525692,0.04351051876508937,0.5057471264367817,0.7002881041681077,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,22,22,21
45,01,rh-rostralmiddlefrontal,0.4797430830039526,0.021739130434782608,0.5,0.7040318047018183,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,22,22,22
46,01,rh-rostralmiddlefrontal,0.44416996047430835,-0.15612648221343872,0.4090909090909091,0.7351444284604488,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,18,26,26
47,01,rh-rostralmiddlefrontal,0.5933794466403162,0.17782168978975482,0.5842696629213482,0.686510026654777,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,26,18,19
48,01,rh-rostralmiddlefrontal,0.6398221343873518,0.26600748972293276,0.6206896551724139,0.6731782130512661,Mutual + Linear-SVM,conscious,conscious,False,Image,False,30,27,17,16
49,01,rh-rostralmiddlefrontal,0.38438735177865613,-0.11166007905138339,0.4318181818181818,0.7949419114172599,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,19,25,25
50,01,rh-rostralmiddlefrontal,0.5553359683794465,0.13250930714822673,0.5517241379310344,0.6980840806762819,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,24,20,19
51,01,rh-rostralmiddlefrontal,0.5864624505928854,0.11067193675889328,0.5454545454545454,0.6832546295880939,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,20
52,01,rh-rostralmiddlefrontal,0.5123517786561265,-0.06719367588932806,0.45454545454545453,0.6961108818264401,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,20,24,24
53,01,rh-rostralmiddlefrontal,0.6032608695652174,0.22150809553136405,0.5977011494252873,0.6791100753772693,Mutual + Linear-SVM,conscious,conscious,False,Image,False,29,26,18,17
54,01,rh-rostralmiddlefrontal,0.6146245059288538,0.2885375494071146,0.6363636363636364,0.6808084012273032,Mutual + Linear-SVM,conscious,conscious,False,Image,False,30,28,16,16
55,01,rh-rostralmiddlefrontal,0.5612648221343873,0.021739130434782608,0.5,0.6859331244128508,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,22,22,22
56,01,rh-rostralmiddlefrontal,0.6131422924901186,0.2440711462450593,0.6136363636363636,0.6804267932907483,Mutual + Linear-SVM,conscious,conscious,False,Image,False,29,27,17,17
57,01,rh-rostralmiddlefrontal,0.43132411067193677,-0.1333662673423161,0.4269662921348315,0.6961709833834502,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,19,25,26
