fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-04,lh-inferiorparietal,0.4444444444444445,0.05455447255899809,0.4615384615384615,0.7445015107160042,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,3,4
2,sub-04,lh-inferiorparietal,0.25925925925925924,-0.3888888888888889,0.16666666666666666,0.7721553179326729,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,5,5
3,sub-04,lh-inferiorparietal,0.6888888888888889,0.25819888974716115,0.5454545454545454,0.6250925272994546,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,3
4,sub-04,lh-inferiorparietal,0.6666666666666667,0.3333333333333333,0.6666666666666666,0.6581610739110056,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,6,3,3
5,sub-04,lh-inferiorparietal,0.9629629629629629,0.5555555555555556,0.6666666666666666,0.57170252563473,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,8,2,1,1
6,sub-04,lh-inferiorparietal,0.6666666666666667,0.15811388300841897,0.4444444444444445,0.6228263032826421,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,3
7,sub-04,lh-inferiorparietal,0.7222222222222223,0.24056261216234406,0.4,0.6608977702765135,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,7,1,1,2
8,sub-04,lh-inferiorparietal,0.6851851851851852,0.28867513459481287,0.5454545454545454,0.6291953706830331,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,7,3,3,2
9,sub-04,lh-inferiorparietal,0.7777777777777778,0.09759000729485331,0.4,0.5950605910024838,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,1,5
10,sub-04,lh-inferiorparietal,0.736111111111111,0.2916666666666667,0.625,0.623534007691696,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,5,3,3
11,sub-04,lh-inferiorparietal,0.6222222222222222,0.3373495424699933,0.5,0.6761823922142046,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,8,2,3,1
12,sub-04,lh-inferiorparietal,0.6666666666666667,0.0,0.28571428571428575,0.6126611002113785,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,2,3
13,sub-04,lh-inferiorparietal,0.6666666666666667,0.15811388300841897,0.4444444444444445,0.6347919147653039,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,3
14,sub-04,lh-inferiorparietal,0.5185185185185185,-0.09759000729485331,0.25,0.656315611647485,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,4
15,sub-04,lh-inferiorparietal,0.6419753086419753,0.22360679774997896,0.5882352941176471,0.6455397049968981,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,5,4,3
16,sub-04,lh-inferiorparietal,0.4444444444444445,-0.25819888974716115,0.3076923076923077,0.6858249409662834,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,6
17,sub-04,lh-inferiorparietal,0.1388888888888889,-0.38575837490522974,0.18181818181818182,0.8294635390268446,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,6
18,sub-04,lh-inferiorparietal,0.8222222222222222,0.5185449728701348,0.6666666666666665,0.594112679550416,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,8,3,2,1
19,sub-04,lh-inferiorparietal,0.41666666666666663,-0.2828894749305018,0.2,0.6632111174531649,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,5
20,sub-04,lh-inferiorparietal,0.38888888888888895,-0.18446619684315546,0.22222222222222224,0.7404886154962601,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,3,4
21,sub-04,lh-inferiorparietal,0.33333333333333337,-0.2828894749305018,0.2,0.7823587943073775,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,5
22,sub-04,lh-inferiorparietal,0.5555555555555556,-0.04303314829119352,0.3636363636363636,0.6395925254178068,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,4
23,sub-04,lh-inferiorparietal,0.33333333333333337,-0.14907119849998599,0.3333333333333333,0.7522798367933998,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,5
24,sub-04,lh-inferiorparietal,0.6222222222222222,0.18856180831641267,0.4444444444444445,0.6590428258014587,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,7,2,3,2
25,sub-04,lh-inferiorparietal,0.5555555555555556,0.05555555555555555,0.5,0.6957561762618747,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,4,4
26,sub-04,lh-inferiorparietal,0.4074074074074074,-0.19245008972987526,0.2222222222222222,0.6838355119471654,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,5
27,sub-04,lh-inferiorparietal,0.6851851851851851,0.16666666666666666,0.5,0.6281720802655449,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,3,3
28,sub-04,lh-inferiorparietal,0.6111111111111112,0.15811388300841897,0.4444444444444445,0.6700502449801047,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,3
29,sub-04,lh-inferiorparietal,0.8888888888888888,-0.1111111111111111,0.0,0.6172597443960927,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,8,0,1,1
30,sub-04,lh-inferiorparietal,0.6111111111111112,-0.05455447255899809,0.42857142857142855,0.6716368657153808,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,5
31,sub-04,lh-inferiorparietal,0.7555555555555555,0.37777777777777777,0.6,0.5987635200845073,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,7,3,2,2
32,sub-04,lh-inferiorparietal,0.5138888888888888,0.05555555555555555,0.5,0.7027941531059032,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,4,4
33,sub-04,lh-inferiorparietal,0.6222222222222222,0.18856180831641267,0.4444444444444445,0.648306514127744,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,7,2,3,2
34,sub-04,lh-inferiorparietal,0.75,0.15811388300841897,0.4444444444444445,0.6145237953584727,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,3
35,sub-04,lh-inferiorparietal,0.8888888888888888,-0.1111111111111111,0.0,0.5946636291977414,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,8,0,1,1
36,sub-04,lh-inferiorparietal,0.7111111111111111,0.25819888974716115,0.5454545454545454,0.6033562447662097,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,3
37,sub-04,lh-inferiorparietal,0.8518518518518519,0.4444444444444444,0.6666666666666666,0.5835188859878785,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,7,4,2,2
38,sub-04,lh-inferiorparietal,0.6944444444444444,0.16666666666666666,0.5714285714285715,0.6690037832596345,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,6,6,3
39,sub-04,lh-inferiorparietal,0.6444444444444445,0.06666666666666667,0.4000000000000001,0.6535310018830678,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,3,3
40,sub-04,lh-inferiorparietal,0.7037037037037037,0.25819888974716115,0.4,0.5973822440383493,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,8,1,2,1
41,sub-04,lh-inferiorparietal,0.47619047619047616,-0.2698412698412698,0.2857142857142857,0.7322010986626188,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,5,5
42,sub-04,lh-inferiorparietal,0.3888888888888889,-0.2828894749305018,0.2,0.7193733890465546,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,5
43,sub-04,lh-inferiorparietal,0.6888888888888889,0.06666666666666667,0.4000000000000001,0.6377989281263453,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,3,3
44,sub-04,lh-inferiorparietal,0.5740740740740742,0.16666666666666666,0.5,0.6714726552324478,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,3,3
45,sub-04,lh-inferiorparietal,0.2222222222222222,-0.408248290463863,0.0,0.6101431706530386,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,6
46,sub-04,lh-inferiorparietal,0.6111111111111112,0.05143444998736397,0.4,0.6230481438031268,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,4
47,sub-04,lh-inferiorparietal,0.5802469135802469,0.1111111111111111,0.5555555555555556,0.6955580972067723,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,5,4,4
48,sub-04,lh-inferiorparietal,0.5740740740740741,0.05455447255899809,0.4615384615384615,0.6550845186747011,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,3,4
49,sub-04,lh-inferiorparietal,0.6666666666666667,0.1690308509457033,0.5454545454545454,0.6689338784896156,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,2
50,sub-04,lh-inferiorparietal,0.4444444444444444,-0.1690308509457033,0.3636363636363636,0.7548932361646433,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,4,3
51,sub-04,lh-inferiorparietal,0.8666666666666667,0.4485426135725303,0.6666666666666665,0.5705932519839897,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,2,1
52,sub-04,lh-inferiorparietal,0.7407407407407407,0.21821789023599236,0.6250000000000001,0.6402421897210927,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,5,4,2
53,sub-04,lh-inferiorparietal,1.0,0.7559289460184544,0.8,0.441070575809175,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,1,0
54,sub-04,lh-inferiorparietal,0.875,0.5833333333333334,0.75,0.5531255958046716,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,1,1
55,sub-04,lh-inferiorparietal,1.0,0.6546536707079772,0.6666666666666666,0.4837488582928912,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,1,0
56,sub-04,lh-inferiorparietal,0.9166666666666667,0.50709255283711,0.7272727272727272,0.5664580654500365,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,2,1
57,sub-04,lh-inferiorparietal,0.7777777777777779,0.31622776601683794,0.5714285714285715,0.5535087971643832,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,1,2
58,sub-04,lh-inferiorparietal,0.7291666666666667,0.16666666666666666,0.5714285714285715,0.6374192567393052,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,4,2
59,sub-04,lh-inferiorparietal,0.8666666666666667,0.4485426135725303,0.6666666666666665,0.5172898362899284,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,2,1
60,sub-04,lh-inferiorparietal,0.9444444444444444,0.5,0.6666666666666666,0.4989085638792204,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,1,1
61,sub-04,lh-inferiorparietal,0.7916666666666667,0.5833333333333334,0.75,0.5545443452927278,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,1,1
62,sub-04,lh-inferiorparietal,0.6666666666666666,0.0,0.3333333333333333,0.5904337722656062,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,2
63,sub-04,lh-inferiorparietal,0.7962962962962963,0.49099025303098287,0.75,0.5864764329023138,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,6,3,1
64,sub-04,lh-inferiorparietal,0.5,-0.1,0.4000000000000001,0.6706975546875898,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,3
65,sub-04,lh-inferiorparietal,0.5,-0.25,0.25,0.7054771285958863,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,3
66,sub-04,lh-inferiorparietal,0.8666666666666667,0.6708203932499369,0.7499999999999999,0.513900171165759,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,0
67,sub-04,lh-inferiorparietal,0.4166666666666667,-0.25,0.25,0.6779557192766409,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,3
68,sub-04,lh-inferiorparietal,0.5833333333333333,0.16666666666666666,0.5,0.7288521611057421,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,2,2
69,sub-04,lh-inferiorparietal,0.6666666666666666,0.16666666666666666,0.5,0.6001375219639762,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,2,2
70,sub-04,lh-inferiorparietal,0.6,0.06900655593423542,0.4444444444444445,0.6735845674171524,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,2
71,sub-04,lh-inferiorparietal,0.6,0.06900655593423542,0.4444444444444445,0.6751324053877439,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,2
72,sub-04,lh-inferiorparietal,0.8333333333333334,0.6708203932499369,0.7499999999999999,0.551211525434558,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,0
73,sub-04,lh-inferiorparietal,0.8333333333333334,0.4583333333333333,0.7142857142857143,0.5975704638986494,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,5,3,1
74,sub-04,lh-inferiorparietal,0.27777777777777773,-0.5,0.0,0.6757199096494774,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,3,3
75,sub-04,lh-inferiorparietal,0.6944444444444445,0.3333333333333333,0.6666666666666666,0.6476678662169423,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,2,2
76,sub-04,lh-inferiorparietal,0.7083333333333334,0.3563483225498992,0.5714285714285715,0.5912876417921424,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,1
77,sub-04,lh-inferiorparietal,1.0,0.0,0.0,0.45515286588878684,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,0,1,0
78,sub-04,lh-inferiorparietal,0.8611111111111112,0.50709255283711,0.7272727272727272,0.5353944590299037,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,2,1
79,sub-04,lh-inferiorparietal,0.8,0.4485426135725303,0.6666666666666665,0.5667926689238088,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,2,1
80,sub-04,lh-inferiorparietal,0.5,0.0,0.5333333333333333,0.7627497169338975,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,4,3
81,sub-04,lh-inferiorparietal,0.8333333333333334,0.4485426135725303,0.6666666666666665,0.5491049774616477,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,2,1
82,sub-04,lh-inferiorparietal,0.5833333333333333,0.16666666666666666,0.5,0.6457210334888696,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,2,2
83,sub-04,lh-inferiorparietal,0.8333333333333334,-0.16666666666666666,0.0,0.5589153642228298,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,1,1
84,sub-04,lh-inferiorparietal,0.7333333333333334,0.26666666666666666,0.6,0.6092778630410048,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,2
85,sub-04,lh-inferiorparietal,0.7777777777777779,0.3535533905932738,0.6,0.5642334760254729,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,3,1
86,sub-04,lh-inferiorparietal,0.8888888888888888,0.5533985905294664,0.8181818181818182,0.6154432929744953,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,9,3,1
87,sub-04,lh-inferiorparietal,0.6666666666666667,0.26666666666666666,0.6,0.6884137591802714,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,2
88,sub-04,lh-inferiorparietal,0.7222222222222222,0.31622776601683794,0.5714285714285715,0.5660806994665237,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,1,2
