fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-04,lh-lateraloccipital,0.7142857142857142,0.3105295017040594,0.6666666666666666,0.5918014995976602,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,3,1
2,sub-04,lh-lateraloccipital,1.0,0.7745966692414834,0.8571428571428571,0.577670227063805,None + Linear-SVM,conscious,conscious,False,Image,False,4,3,1,0
3,sub-04,lh-lateraloccipital,0.5,-0.25,0.0,0.7604912644777382,None + Linear-SVM,conscious,conscious,False,Image,False,3,0,1,1
4,sub-04,lh-lateraloccipital,0.5,0.0,0.3333333333333333,0.7068620219618568,None + Linear-SVM,conscious,conscious,False,Image,False,3,1,3,1
5,sub-04,lh-lateraloccipital,0.75,0.47140452079103173,0.5,0.6652019085809766,None + Linear-SVM,conscious,conscious,False,Image,False,4,1,2,0
6,sub-04,lh-lateraloccipital,0.7222222222222222,0.2828894749305018,0.6666666666666667,0.5545307935808597,None + Linear-SVM,conscious,conscious,False,Image,False,3,5,4,1
7,sub-04,lh-lateraloccipital,0.8888888888888888,0.6172133998483676,0.8,0.45886228913463206,None + Linear-SVM,conscious,conscious,False,Image,False,4,6,3,0
8,sub-04,lh-lateraloccipital,0.7142857142857143,0.17857142857142858,0.5454545454545454,0.5311499108632082,None + Linear-SVM,conscious,conscious,False,Image,False,3,3,4,1
9,sub-04,lh-lateraloccipital,0.71875,0.23904572186687872,0.6153846153846154,0.5612704656152364,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,4,1
10,sub-04,lh-lateraloccipital,0.9166666666666666,0.7302967433402214,0.8,0.5630107057375985,None + Linear-SVM,conscious,conscious,False,Image,False,4,2,1,0
11,sub-04,lh-lateraloccipital,0.875,0.5773502691896258,0.6666666666666666,0.5626775216938046,None + Linear-SVM,conscious,conscious,False,Image,False,4,2,2,0
12,sub-04,lh-lateraloccipital,1.0,0.0,0.0,0.6832923298594611,None + Linear-SVM,conscious,conscious,False,Image,False,4,0,1,0
13,sub-04,lh-lateraloccipital,0.6590909090909091,0.1846372364689991,0.5882352941176471,0.589319500678397,None + Linear-SVM,conscious,conscious,False,Image,False,3,5,6,1
14,sub-04,lh-lateraloccipital,0.4375,0.0,0.3333333333333333,0.7321821472471881,None + Linear-SVM,conscious,conscious,False,Image,False,3,1,3,1
15,sub-04,lh-lateraloccipital,0.875,0.6324555320336759,0.6666666666666666,0.6186742157722215,None + Linear-SVM,conscious,conscious,False,Image,False,4,1,1,0
16,sub-04,lh-lateraloccipital,0.75,0.2828894749305018,0.6666666666666667,0.51517724866796,None + Linear-SVM,conscious,conscious,False,Image,False,3,5,4,1
17,sub-04,lh-lateraloccipital,0.5,-0.16666666666666666,0.3333333333333333,0.7706766424276582,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,2,2
18,sub-04,lh-lateraloccipital,0.75,0.23904572186687872,0.6153846153846154,0.5512853580630241,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,4,1
19,sub-04,lh-lateraloccipital,0.8958333333333334,0.6546536707079771,0.8571428571428571,0.45747526117430615,None + Linear-SVM,conscious,conscious,False,Image,False,4,9,3,0
20,sub-04,lh-lateraloccipital,0.75,0.3105295017040594,0.6666666666666666,0.5190640348020769,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,3,1
21,sub-04,lh-lateraloccipital,0.8125,0.3535533905932738,0.7142857142857143,0.5112180241784978,None + Linear-SVM,conscious,conscious,False,Image,False,3,5,3,1
22,sub-04,lh-lateraloccipital,0.6666666666666666,0.09128709291752768,0.4,0.6794610473915633,None + Linear-SVM,conscious,conscious,False,Image,False,3,1,2,1
23,sub-04,lh-lateraloccipital,0.625,0.2581988897471611,0.5714285714285715,0.6857007610282843,None + Linear-SVM,conscious,conscious,False,Image,False,3,2,2,1
24,sub-04,lh-lateraloccipital,0.7916666666666666,0.25,0.6,0.5834750513203202,None + Linear-SVM,conscious,conscious,False,Image,False,3,3,3,1
25,sub-04,lh-lateraloccipital,0.5,-0.3535533905932738,0.0,0.7102540011450408,None + Linear-SVM,conscious,conscious,False,Image,False,3,0,3,1
26,sub-04,lh-lateraloccipital,0.6153846153846154,0.1194880298498108,0.5263157894736842,0.6168348796676768,None + Linear-SVM,conscious,conscious,False,Image,False,3,5,8,1
27,sub-04,lh-lateraloccipital,1.0,0.0,0.0,0.6864702750962062,None + Linear-SVM,conscious,conscious,False,Image,False,4,0,1,0
28,sub-04,lh-lateraloccipital,0.7500000000000001,0.35,0.6666666666666665,0.5978220848915051,None + Linear-SVM,conscious,conscious,False,Image,False,3,3,2,1
