fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-04,lh-parahippocampal,1.0,0.8280786712108251,0.923076923076923,0.5066999567473899,None + Linear-SVM,conscious,conscious,False,Image,False,4,6,1,0
2,sub-04,lh-parahippocampal,1.0,0.7745966692414834,0.8571428571428571,0.5845958675175191,None + Linear-SVM,conscious,conscious,False,Image,False,4,3,1,0
3,sub-04,lh-parahippocampal,0.5,-0.25,0.0,0.7810237550182876,None + Linear-SVM,conscious,conscious,False,Image,False,3,0,1,1
4,sub-04,lh-parahippocampal,1.0,0.7745966692414834,0.8571428571428571,0.577790686187881,None + Linear-SVM,conscious,conscious,False,Image,False,4,3,1,0
5,sub-04,lh-parahippocampal,0.75,0.47140452079103173,0.5,0.6731562727648922,None + Linear-SVM,conscious,conscious,False,Image,False,4,1,2,0
6,sub-04,lh-parahippocampal,0.5277777777777778,0.18446619684315546,0.5714285714285714,0.6572266752494168,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,5,1
7,sub-04,lh-parahippocampal,0.8333333333333334,0.6172133998483676,0.8,0.5273939175304926,None + Linear-SVM,conscious,conscious,False,Image,False,4,6,3,0
8,sub-04,lh-parahippocampal,0.6785714285714286,0.3105295017040594,0.6666666666666666,0.6472466557672436,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,3,1
9,sub-04,lh-parahippocampal,0.875,0.5976143046671968,0.7692307692307693,0.5615157220990261,None + Linear-SVM,conscious,conscious,False,Image,False,4,5,3,0
10,sub-04,lh-parahippocampal,0.5,-0.16666666666666666,0.3333333333333333,0.6799925712686967,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,2,2
11,sub-04,lh-parahippocampal,1.0,0.7745966692414834,0.8571428571428571,0.5828090012441108,None + Linear-SVM,conscious,conscious,False,Image,False,4,3,1,0
12,sub-04,lh-parahippocampal,1.0,0.0,0.0,0.7661937639543348,None + Linear-SVM,conscious,conscious,False,Image,False,4,0,1,0
13,sub-04,lh-parahippocampal,0.5681818181818182,-0.040291148201269014,0.5555555555555556,0.6660191367970822,None + Linear-SVM,conscious,conscious,False,Image,False,2,5,6,2
14,sub-04,lh-parahippocampal,0.375,-0.2581988897471611,0.28571428571428575,0.7132258987911917,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,2
15,sub-04,lh-parahippocampal,1.0,0.6324555320336759,0.6666666666666666,0.6723502210328078,None + Linear-SVM,conscious,conscious,False,Image,False,4,1,1,0
16,sub-04,lh-parahippocampal,0.6666666666666667,0.2828894749305018,0.6666666666666667,0.6031436372649889,None + Linear-SVM,conscious,conscious,False,Image,False,3,5,4,1
17,sub-04,lh-parahippocampal,1.0,0.7302967433402214,0.8,0.6420997893652387,None + Linear-SVM,conscious,conscious,False,Image,False,4,2,1,0
18,sub-04,lh-parahippocampal,0.53125,0.125,0.5,0.6544642717680516,None + Linear-SVM,conscious,conscious,False,Image,False,3,3,5,1
19,sub-04,lh-parahippocampal,0.5,-0.07273929674533079,0.5263157894736842,0.6515274176840742,None + Linear-SVM,conscious,conscious,False,Image,False,2,5,7,2
20,sub-04,lh-parahippocampal,0.6785714285714286,0.06900655593423542,0.6153846153846153,0.5669806134614487,None + Linear-SVM,conscious,conscious,False,Image,False,2,4,3,2
21,sub-04,lh-parahippocampal,0.5625,0.23904572186687872,0.6153846153846154,0.6564162505360339,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,4,1
22,sub-04,lh-parahippocampal,0.41666666666666663,-0.16666666666666666,0.3333333333333333,0.7372359712016833,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,2,2
23,sub-04,lh-parahippocampal,0.3125,-0.2581988897471611,0.28571428571428575,0.7434109498963856,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,2
24,sub-04,lh-parahippocampal,0.875,0.6666666666666666,0.8,0.5686966059210661,None + Linear-SVM,conscious,conscious,False,Image,False,4,4,2,0
25,sub-04,lh-parahippocampal,1.0,0.7302967433402214,0.8,0.6785473962236777,None + Linear-SVM,conscious,conscious,False,Image,False,4,2,1,0
26,sub-04,lh-parahippocampal,0.5576923076923077,0.18232322463624387,0.6,0.6417192662904003,None + Linear-SVM,conscious,conscious,False,Image,False,3,6,7,1
27,sub-04,lh-parahippocampal,0.75,-0.25,0.0,0.7808262024602997,None + Linear-SVM,conscious,conscious,False,Image,False,3,0,1,1
28,sub-04,lh-parahippocampal,0.8500000000000001,0.6324555320336759,0.7499999999999999,0.5892263932198561,None + Linear-SVM,conscious,conscious,False,Image,False,4,3,2,0
29,sub-04,lh-parahippocampal,1.0,0.7745966692414834,0.8571428571428571,0.6184795456344907,None + Linear-SVM,conscious,conscious,False,Image,False,4,3,1,0
30,sub-04,lh-parahippocampal,0.4375,-0.2581988897471611,0.28571428571428575,0.7108977935502521,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,2
31,sub-04,lh-parahippocampal,0.8333333333333334,0.6172133998483676,0.8,0.5527384796125473,None + Linear-SVM,conscious,conscious,False,Image,False,4,6,3,0
32,sub-04,lh-parahippocampal,0.8055555555555556,0.6172133998483676,0.8,0.5782563221212783,None + Linear-SVM,conscious,conscious,False,Image,False,4,6,3,0
33,sub-04,lh-parahippocampal,0.46428571428571425,-0.21428571428571427,0.36363636363636365,0.6563298090262321,None + Linear-SVM,conscious,conscious,False,Image,False,2,2,5,2
34,sub-04,lh-parahippocampal,1.0,0.0,0.0,0.7671696684064648,None + Linear-SVM,conscious,conscious,False,Image,False,4,0,1,0
35,sub-04,lh-parahippocampal,0.675,0.31622776601683794,0.7058823529411764,0.6147210838651175,None + Linear-SVM,conscious,conscious,False,Image,False,3,6,4,1
36,sub-04,lh-parahippocampal,0.6499999999999999,0.1,0.6,0.6370308073827268,None + Linear-SVM,conscious,conscious,False,Image,False,2,3,2,2
37,sub-04,lh-parahippocampal,0.8500000000000001,0.6324555320336759,0.7499999999999999,0.610350532380568,None + Linear-SVM,conscious,conscious,False,Image,False,4,3,2,0
38,sub-04,lh-parahippocampal,0.90625,0.7071067811865476,0.8571428571428571,0.5591514125911845,None + Linear-SVM,conscious,conscious,False,Image,False,4,6,2,0
39,sub-04,lh-parahippocampal,0.8500000000000001,0.6324555320336759,0.7499999999999999,0.6434809724078137,None + Linear-SVM,conscious,conscious,False,Image,False,4,3,2,0
40,sub-04,lh-parahippocampal,0.75,0.47140452079103173,0.5,0.656159486643327,None + Linear-SVM,conscious,conscious,False,Image,False,4,1,2,0
41,sub-04,lh-parahippocampal,0.75,0.31622776601683794,0.7058823529411764,0.5690121539860925,None + Linear-SVM,conscious,conscious,False,Image,False,3,6,4,1
42,sub-04,lh-parahippocampal,1.0,0.8,0.888888888888889,0.6175113597231366,None + Linear-SVM,conscious,conscious,False,Image,False,4,4,1,0
43,sub-04,lh-parahippocampal,1.0,0.6324555320336759,0.6666666666666666,0.6912930417741164,None + Linear-SVM,conscious,conscious,False,Image,False,4,1,1,0
44,sub-04,lh-parahippocampal,0.75,0.31622776601683794,0.7058823529411764,0.5272100224731738,None + Linear-SVM,conscious,conscious,False,Image,False,3,6,4,1
45,sub-04,lh-parahippocampal,0.8571428571428572,0.5976143046671968,0.8333333333333333,0.4242801086931533,None + Linear-SVM,conscious,conscious,False,Image,False,2,5,2,0
46,sub-04,lh-parahippocampal,0.875,0.5,0.6666666666666666,0.49970688740949787,None + Linear-SVM,conscious,conscious,False,Image,False,2,2,2,0
47,sub-04,lh-parahippocampal,0.5,0.0,0.0,0.6996434110387989,None + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
48,sub-04,lh-parahippocampal,0.875,0.5,0.6666666666666666,0.4750909307846957,None + Linear-SVM,conscious,conscious,False,Image,False,2,2,2,0
49,sub-04,lh-parahippocampal,0.6666666666666666,0.4082482904638631,0.5,0.5860468473688905,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,2,0
50,sub-04,lh-parahippocampal,0.5,0.0,0.0,0.5963222543489288,None + Linear-SVM,conscious,conscious,False,Image,False,2,0,9,0
51,sub-04,lh-parahippocampal,0.7222222222222222,0.3563483225498992,0.6153846153846153,0.4736307881633532,None + Linear-SVM,conscious,conscious,False,Image,False,2,4,5,0
52,sub-04,lh-parahippocampal,0.5714285714285714,0.1889822365046136,0.25,0.6125214147004123,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,6,0
53,sub-04,lh-parahippocampal,0.6875,0.3273268353539886,0.5454545454545454,0.5019248444332666,None + Linear-SVM,conscious,conscious,False,Image,False,2,3,5,0
54,sub-04,lh-parahippocampal,0.6666666666666666,0.4082482904638631,0.5,0.5841314700354668,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,2,0
55,sub-04,lh-parahippocampal,0.875,0.5,0.6666666666666666,0.48716867929312174,None + Linear-SVM,conscious,conscious,False,Image,False,2,2,2,0
56,sub-04,lh-parahippocampal,0.5,0.0,0.0,0.6997067014533206,None + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
57,sub-04,lh-parahippocampal,0.5,0.0,0.0,0.6769804591949599,None + Linear-SVM,conscious,conscious,False,Image,False,2,0,11,0
58,sub-04,lh-parahippocampal,0.5,0.0,0.0,0.6545555026634476,None + Linear-SVM,conscious,conscious,False,Image,False,2,0,4,0
59,sub-04,lh-parahippocampal,0.75,0.5773502691896258,0.6666666666666666,0.5790628349205178,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,1,0
60,sub-04,lh-parahippocampal,0.5,0.0,0.0,0.5502935863935612,None + Linear-SVM,conscious,conscious,False,Image,False,2,0,9,0
61,sub-04,lh-parahippocampal,0.8333333333333333,0.6666666666666666,0.8,0.5432398643060018,None + Linear-SVM,conscious,conscious,False,Image,False,2,2,1,0
62,sub-04,lh-parahippocampal,0.625,0.25,0.4,0.6091538484394214,None + Linear-SVM,conscious,conscious,False,Image,False,2,2,6,0
63,sub-04,lh-parahippocampal,0.5416666666666666,0.11322770341445956,0.15384615384615385,0.6302712262773518,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,11,0
64,sub-04,lh-parahippocampal,0.7857142857142857,0.47809144373375745,0.7272727272727273,0.4852884350142294,None + Linear-SVM,conscious,conscious,False,Image,False,2,4,3,0
65,sub-04,lh-parahippocampal,0.5625,0.16666666666666666,0.2222222222222222,0.6283437824617987,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,7,0
66,sub-04,lh-parahippocampal,0.6666666666666666,0.4082482904638631,0.5,0.6888588925992882,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,2,0
