fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-04,rh-inferiortemporal,0.56,0.2,0.6,0.6858275870610562,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,2,2
2,sub-04,rh-inferiortemporal,0.475,0.09759000729485333,0.5714285714285715,0.7028828845612103,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,4,2
3,sub-04,rh-inferiortemporal,0.6333333333333333,0.16735967034880075,0.6666666666666666,0.7021431293783906,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,7,5,2
4,sub-04,rh-inferiortemporal,0.31999999999999995,0.0,0.4444444444444445,0.7356971728346534,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
5,sub-04,rh-inferiortemporal,0.6,0.09128709291752769,0.6,0.6634885580233265,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,6,6,2
6,sub-04,rh-inferiortemporal,0.6,0.5,0.5714285714285715,0.6994150226070998,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,0
7,sub-04,rh-inferiortemporal,0.7142857142857143,0.37142857142857144,0.6666666666666666,0.6439372515134714,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,3,1
8,sub-04,rh-inferiortemporal,0.3333333333333333,-0.06666666666666667,0.3333333333333333,0.745793719304819,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,2
9,sub-04,rh-inferiortemporal,0.6857142857142857,0.1690308509457033,0.6153846153846153,0.6767205891821737,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,3,2
10,sub-04,rh-inferiortemporal,0.48571428571428565,0.02857142857142857,0.5,0.7066690501137042,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
11,sub-04,rh-inferiortemporal,0.5333333333333333,-0.06666666666666667,0.42857142857142855,0.689676193166619,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,6,2
