fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-04,rh-precuneus,0.6666666666666667,0.32732683535398854,0.6153846153846153,0.6760327364211209,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,2,3
2,sub-04,rh-precuneus,0.46296296296296297,0.0,0.3636363636363636,0.6802199848643989,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,4,3
3,sub-04,rh-precuneus,0.26666666666666666,-0.34426518632954817,0.1818181818181818,0.6794234679304861,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,4,5
4,sub-04,rh-precuneus,0.6049382716049383,0.2357022603955158,0.5333333333333333,0.6957524875946385,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,7,4,5,2
5,sub-04,rh-precuneus,0.14814814814814814,-0.5773502691896257,0.0,0.6599208495302814,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,3,6
6,sub-04,rh-precuneus,0.6666666666666667,0.15811388300841897,0.4444444444444445,0.6613480191247294,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,3
7,sub-04,rh-precuneus,0.2777777777777778,-0.5163977794943223,0.0,0.6457872813079858,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,2,6
8,sub-04,rh-precuneus,0.25925925925925924,-0.21821789023599236,0.30769230769230765,0.6853252524959732,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,5
9,sub-04,rh-precuneus,0.37037037037037035,-0.408248290463863,0.18181818181818182,0.6546253016903879,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,7
10,sub-04,rh-precuneus,0.6805555555555556,0.2916666666666667,0.625,0.6881011033259812,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,5,3,3
11,sub-04,rh-precuneus,0.5111111111111111,-0.25819888974716115,0.3076923076923077,0.6688740616687543,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,6
12,sub-04,rh-precuneus,0.5185185185185185,-0.09759000729485331,0.25,0.6555061994381054,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,4
13,sub-04,rh-precuneus,0.6944444444444444,0.15811388300841897,0.4444444444444445,0.6599868781042362,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,3
14,sub-04,rh-precuneus,0.5555555555555556,0.0,0.28571428571428575,0.6494859829658324,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,2,3
15,sub-04,rh-precuneus,0.5308641975308641,0.1111111111111111,0.5555555555555556,0.69434471001742,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,5,4,4
16,sub-04,rh-precuneus,0.7555555555555556,0.25819888974716115,0.5454545454545454,0.6657882322907839,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,3
