fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-04,rh-precuneus,0.44000000000000006,0.0,0.4444444444444445,0.6976394433588935,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
2,sub-04,rh-precuneus,0.375,-0.025,0.4615384615384615,0.7140714631293952,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,5,2
3,sub-04,rh-precuneus,0.2666666666666666,-0.24688535993934707,0.4210526315789474,0.7293772625468392,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,4,8,3
4,sub-04,rh-precuneus,0.43999999999999995,0.0,0.4444444444444445,0.6965996852063229,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
5,sub-04,rh-precuneus,0.36666666666666664,0.015430334996209192,0.5263157894736842,0.73280058700395,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,5,7,2
6,sub-04,rh-precuneus,0.4800000000000001,0.0,0.4444444444444445,0.6983606035654201,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
7,sub-04,rh-precuneus,0.4285714285714285,0.02857142857142857,0.5,0.709456232557558,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
8,sub-04,rh-precuneus,0.3333333333333333,-0.06666666666666667,0.3333333333333333,0.6914494557248951,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,2
9,sub-04,rh-precuneus,0.6,0.02857142857142857,0.5,0.699268068383004,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
10,sub-04,rh-precuneus,0.6285714285714286,0.23904572186687872,0.5454545454545454,0.6962629894235182,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,1
11,sub-04,rh-precuneus,0.6,0.14907119849998599,0.6250000000000001,0.704940128164802,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,5,4,2
12,sub-04,rh-precuneus,0.3333333333333333,-0.30261376633440124,0.36363636363636365,0.7511171447312105,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,4,11,3
13,sub-04,rh-precuneus,0.39999999999999997,0.015430334996209192,0.5263157894736842,0.7327616155069778,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,5,7,2
14,sub-04,rh-precuneus,0.6000000000000001,0.1,0.5,0.6836871586045769,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,2,2
15,sub-04,rh-precuneus,0.39999999999999997,0.0,0.4444444444444445,0.7021637152412095,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
16,sub-04,rh-precuneus,0.4545454545454545,0.050964719143762556,0.5555555555555556,0.725230398412639,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,5,6,2
17,sub-04,rh-precuneus,0.24000000000000005,-0.408248290463863,0.22222222222222224,0.7144757473454209,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,4,3
18,sub-04,rh-precuneus,0.23076923076923078,-0.35082320772281167,0.3157894736842105,0.7365471437337044,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,3,10,3
19,sub-04,rh-precuneus,0.6727272727272727,0.32277655457716287,0.6666666666666665,0.6989836370221005,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,6,5,1
20,sub-04,rh-precuneus,0.5333333333333333,0.1,0.5454545454545454,0.6970054516646992,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,3,2
21,sub-04,rh-precuneus,0.8,0.3,0.5,0.6716688755943293,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,1,1
22,sub-04,rh-precuneus,0.36666666666666664,-0.06900655593423542,0.4,0.7195016637735495,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,4,2
23,sub-04,rh-precuneus,0.6,0.31622776601683794,0.5714285714285715,0.6994336223162879,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,2,1
24,sub-04,rh-precuneus,0.24615384615384617,-0.26856632724128343,0.4,0.7397346569063276,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,4,9,3
25,sub-04,rh-precuneus,0.3999999999999999,0.02857142857142857,0.5,0.7161922912791466,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
26,sub-04,rh-precuneus,0.5,0.09449111825230681,0.588235294117647,0.7098402107658006,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,5,5,2
27,sub-04,rh-precuneus,0.7,0.26666666666666666,0.6666666666666666,0.6946922343311046,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,2,2
28,sub-04,rh-precuneus,0.4727272727272727,-0.034815531191139566,0.4705882352941177,0.7258872389118909,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,7,2
29,sub-04,rh-precuneus,0.3,-0.15811388300841897,0.28571428571428575,0.6970046687588752,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,2
30,sub-04,rh-precuneus,0.4363636363636364,0.050964719143762556,0.5555555555555556,0.7216056675335116,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,5,6,2
31,sub-04,rh-precuneus,0.5750000000000001,0.35,0.75,0.7068095795610869,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,6,2,2
32,sub-04,rh-precuneus,0.5666666666666667,0.1,0.5454545454545454,0.6960268556140767,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,3,2
33,sub-04,rh-precuneus,0.5777777777777777,-0.04303314829119352,0.5882352941176471,0.706720556248837,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,5,4,3
34,sub-04,rh-precuneus,0.31999999999999995,0.0,0.4444444444444445,0.7081108090773476,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
35,sub-04,rh-precuneus,0.4571428571428571,0.02857142857142857,0.5,0.7030821872631914,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
36,sub-04,rh-precuneus,0.5076923076923077,0.1941450686788302,0.6956521739130435,0.7267001758276921,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,8,5,2
37,sub-04,rh-precuneus,0.24,-0.2182178902359924,0.25,0.7152840772069154,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,4,2
38,sub-04,rh-precuneus,0.16,-0.408248290463863,0.22222222222222224,0.7145286728399621,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,4,3
39,sub-04,rh-precuneus,0.7333333333333333,0.14907119849998599,0.4,0.6780203879609086,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,1
40,sub-04,rh-precuneus,0.48,0.0,0.5,0.718897684533507,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,6,2
41,sub-04,rh-precuneus,0.2333333333333333,-0.4485426135725303,0.2,0.7144166432346222,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,5,3
42,sub-04,rh-precuneus,0.6,0.1,0.5454545454545454,0.6933891854726465,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,3,2
43,sub-04,rh-precuneus,0.30000000000000004,-0.21957751641341997,0.42857142857142855,0.7222763590937902,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,3,5,3
44,sub-04,rh-precuneus,0.24444444444444444,-0.37777777777777777,0.2857142857142857,0.7244055897043002,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,7,3
45,sub-04,rh-precuneus,0.36666666666666664,-0.06900655593423542,0.4,0.7137784416601238,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,4,2
46,sub-04,rh-precuneus,0.375,-0.025,0.4615384615384615,0.7150791597494256,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,5,2
47,sub-04,rh-precuneus,0.5428571428571428,0.02857142857142857,0.5,0.7023337831579021,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
48,sub-04,rh-precuneus,0.3,-0.4,0.0,0.6814967625592574,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,2,2
49,sub-04,rh-precuneus,0.56,0.0,0.3636363636363636,0.6801265384945558,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,3,4
50,sub-04,rh-precuneus,0.5,-0.125,0.375,0.6901442384932684,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,5,5
51,sub-04,rh-precuneus,0.5916666666666667,0.2833333333333333,0.6363636363636365,0.7042523594378578,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,7,7,5,3
52,sub-04,rh-precuneus,0.42000000000000004,-0.28867513459481287,0.1818181818181818,0.6905409332717213,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,4,5
53,sub-04,rh-precuneus,0.49999999999999994,0.12076147288491199,0.5,0.7121847902655102,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,7,5,7,3
54,sub-04,rh-precuneus,0.54,0.0,0.3636363636363636,0.6840143811391239,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,3,4
