fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-04,rh-superiorparietal,0.6785714285714286,0.3105295017040594,0.6666666666666666,0.6267198681930105,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,4,3,1
2,sub-04,rh-superiorparietal,0.875,0.5773502691896258,0.6666666666666666,0.6284043543911161,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,2,0
3,sub-04,rh-superiorparietal,0.5,-0.25,0.0,0.7903399122125748,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,0,1,1
4,sub-04,rh-superiorparietal,0.6875,0.2581988897471611,0.5714285714285715,0.6633113679471199,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,2,2,1
5,sub-04,rh-superiorparietal,0.9166666666666666,0.7302967433402214,0.8,0.570534067185673,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,1,0
6,sub-04,rh-superiorparietal,0.6944444444444444,0.2828894749305018,0.6666666666666667,0.61509281655679,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,5,4,1
7,sub-04,rh-superiorparietal,0.8333333333333333,0.5006939628599933,0.823529411764706,0.5575998649254497,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,7,2,1
8,sub-04,rh-superiorparietal,0.6428571428571428,0.17857142857142858,0.5454545454545454,0.636278922890544,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,3,4,1
9,sub-04,rh-superiorparietal,0.875,0.5976143046671968,0.7692307692307693,0.5520636262225211,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,5,3,0
10,sub-04,rh-superiorparietal,0.8333333333333333,0.4166666666666667,0.6666666666666666,0.6566572367319766,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,2,1,1
11,sub-04,rh-superiorparietal,0.875,0.5773502691896258,0.6666666666666666,0.6396298437572683,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,2,0
12,sub-04,rh-superiorparietal,0.5,-0.25,0.0,0.7852305318646672,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,0,1,1
13,sub-04,rh-superiorparietal,0.5909090909090908,0.10660035817780521,0.5000000000000001,0.6233511947270087,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,4,7,1
14,sub-04,rh-superiorparietal,0.6875,0.2581988897471611,0.5714285714285715,0.6328846106827806,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,2,2,1
15,sub-04,rh-superiorparietal,0.375,-0.5,0.0,0.7590408533713959,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,2
16,sub-04,rh-superiorparietal,0.6944444444444444,0.2828894749305018,0.6666666666666667,0.6160819205223121,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,5,4,1
17,sub-04,rh-superiorparietal,0.75,0.4166666666666667,0.6666666666666666,0.6932404642929229,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,2,1,1
18,sub-04,rh-superiorparietal,0.75,0.3535533905932738,0.7142857142857143,0.5984651039181133,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,5,3,1
19,sub-04,rh-superiorparietal,0.7083333333333334,0.2886751345948129,0.7000000000000001,0.5979139330916994,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,7,5,1
20,sub-04,rh-superiorparietal,0.75,0.4485426135725303,0.7692307692307692,0.605439504064515,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,5,2,1
