fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-04,rh-superiorparietal,0.6799999999999999,0.408248290463863,0.6666666666666665,0.68394875354021,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,2,1
2,sub-04,rh-superiorparietal,0.925,0.7319250547113999,0.8571428571428571,0.6556947207813638,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,6,2,0
3,sub-04,rh-superiorparietal,0.6666666666666667,0.24688535993934707,0.7272727272727272,0.7274664833119909,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,8,4,2
4,sub-04,rh-superiorparietal,0.7200000000000002,0.408248290463863,0.6666666666666665,0.6718680217292465,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,2,1
5,sub-04,rh-superiorparietal,0.8166666666666667,0.5092010548749033,0.8181818181818182,0.6921973973990334,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,9,3,1
6,sub-04,rh-superiorparietal,0.48,0.0,0.4444444444444445,0.6932988866287565,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
7,sub-04,rh-superiorparietal,0.48571428571428565,0.02857142857142857,0.5,0.7105378384321175,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
8,sub-04,rh-superiorparietal,0.7333333333333333,0.4879500364742666,0.5,0.6690199871166418,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,2,0
9,sub-04,rh-superiorparietal,0.7714285714285715,0.37142857142857144,0.6666666666666666,0.6934104050843994,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,3,1
10,sub-04,rh-superiorparietal,0.8,0.50709255283711,0.7692307692307692,0.6700650337287647,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,5,2,1
11,sub-04,rh-superiorparietal,0.6222222222222222,0.04303314829119352,0.5333333333333333,0.7049670648043016,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,5,2
12,sub-04,rh-superiorparietal,0.5599999999999999,0.17407765595569785,0.6923076923076923,0.7385461168082641,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,9,6,2
13,sub-04,rh-superiorparietal,0.6,0.34993385618385614,0.7000000000000001,0.7298477245484579,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,7,5,1
14,sub-04,rh-superiorparietal,0.45000000000000007,-0.15811388300841897,0.28571428571428575,0.6915541614329237,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,2
15,sub-04,rh-superiorparietal,0.72,0.2,0.6,0.6851224076295609,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,2,2
