fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-04,rh-ventrolateralPFC,0.18518518518518523,-0.49099025303098287,0.15384615384615383,0.7165177044952447,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,5,6
2,sub-04,rh-ventrolateralPFC,0.25925925925925924,-0.32732683535398854,0.28571428571428575,0.7049277682598352,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,4,6
3,sub-04,rh-ventrolateralPFC,0.2,-0.25819888974716115,0.3076923076923077,0.6967030849463188,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,6
4,sub-04,rh-ventrolateralPFC,0.4814814814814815,0.0,0.47058823529411764,0.7016401401758616,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,5,4
5,sub-04,rh-ventrolateralPFC,0.25925925925925924,-0.5773502691896257,0.0,0.6940392043479077,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,3,6
6,sub-04,rh-ventrolateralPFC,0.3888888888888889,-0.2828894749305018,0.2,0.6804653416483716,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,5
7,sub-04,rh-ventrolateralPFC,0.6111111111111112,-0.04303314829119352,0.25,0.6649860316705435,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,1,5
8,sub-04,rh-ventrolateralPFC,0.18518518518518523,-0.49099025303098287,0.15384615384615383,0.7098148066259132,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,5,6
9,sub-04,rh-ventrolateralPFC,0.25925925925925924,-0.5773502691896257,0.0,0.6788227977568525,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,3,6
10,sub-04,rh-ventrolateralPFC,0.375,-0.07042952122737638,0.39999999999999997,0.7042062293068039,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,5,4
11,sub-04,rh-ventrolateralPFC,0.33333333333333337,-0.34426518632954817,0.1818181818181818,0.6850712218084356,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,4,5
12,sub-04,rh-ventrolateralPFC,0.4444444444444444,-0.09759000729485331,0.25,0.6747740089135096,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,4
13,sub-04,rh-ventrolateralPFC,0.4722222222222222,0.05143444998736397,0.4,0.6746669325651755,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,4
14,sub-04,rh-ventrolateralPFC,0.7777777777777778,0.09759000729485331,0.4,0.6493371434053145,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,1,5
15,sub-04,rh-ventrolateralPFC,0.37037037037037035,-0.22360679774997896,0.35294117647058826,0.7093315025622327,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,6,5
16,sub-04,rh-ventrolateralPFC,0.33333333333333337,-0.14907119849998599,0.3333333333333333,0.7002121845784692,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,5
17,sub-04,rh-ventrolateralPFC,0.6666666666666666,0.15811388300841897,0.4444444444444445,0.6723238878762186,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,3
18,sub-04,rh-ventrolateralPFC,0.2666666666666667,-0.4472135954999579,0.16666666666666666,0.6953968383940562,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,6
19,sub-04,rh-ventrolateralPFC,0.19444444444444445,-0.38575837490522974,0.18181818181818182,0.692037679496977,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,6
20,sub-04,rh-ventrolateralPFC,0.6111111111111112,-0.18446619684315546,0.22222222222222224,0.6692724275294203,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,3,4
21,sub-04,rh-ventrolateralPFC,0.25,-0.2828894749305018,0.2,0.6959407199014347,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,5
22,sub-04,rh-ventrolateralPFC,0.13333333333333336,-0.5594309277855158,0.15384615384615385,0.7065803289222891,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,7
23,sub-04,rh-ventrolateralPFC,0.44444444444444453,-0.14907119849998599,0.3333333333333333,0.6867223667723582,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,5
24,sub-04,rh-ventrolateralPFC,0.2888888888888889,-0.4472135954999579,0.16666666666666666,0.689031920521033,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,6
25,sub-04,rh-ventrolateralPFC,0.2777777777777778,-0.5493502655735357,0.13333333333333333,0.7318884004765944,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,7,6
26,sub-04,rh-ventrolateralPFC,0.4444444444444444,-0.09759000729485331,0.25,0.6686178179868193,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,4
27,sub-04,rh-ventrolateralPFC,0.3148148148148149,-0.21821789023599236,0.30769230769230765,0.7078476506413266,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,5
28,sub-04,rh-ventrolateralPFC,0.19444444444444448,-0.5006939628599933,0.16666666666666666,0.6953460565598615,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,7
29,sub-04,rh-ventrolateralPFC,0.4444444444444444,-0.2721655269759087,0.0,0.6640198228016103,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,1,4
30,sub-04,rh-ventrolateralPFC,0.35185185185185186,-0.21821789023599236,0.30769230769230765,0.6921743264160302,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,5
31,sub-04,rh-ventrolateralPFC,0.48888888888888893,-0.04303314829119352,0.3636363636363636,0.6932253693758336,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,4
32,sub-04,rh-ventrolateralPFC,0.4027777777777778,-0.18055555555555555,0.375,0.6993253856118318,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,5,5
33,sub-04,rh-ventrolateralPFC,0.5333333333333334,-0.04303314829119352,0.3636363636363636,0.6764318046309047,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,4
34,sub-04,rh-ventrolateralPFC,0.3055555555555556,-0.2828894749305018,0.2,0.7056157426830949,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,5
35,sub-04,rh-ventrolateralPFC,0.0,-0.6666666666666666,0.0,0.6804190914872479,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,8
36,sub-04,rh-ventrolateralPFC,0.15555555555555556,-0.4472135954999579,0.16666666666666666,0.7231677894785994,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,6
37,sub-04,rh-ventrolateralPFC,0.3148148148148148,-0.21821789023599236,0.30769230769230765,0.6945300996056996,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,5
38,sub-04,rh-ventrolateralPFC,0.3055555555555556,-0.2222222222222222,0.380952380952381,0.7370007783368417,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,8,5
39,sub-04,rh-ventrolateralPFC,0.2,-0.4472135954999579,0.16666666666666666,0.7102497548741499,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,6
40,sub-04,rh-ventrolateralPFC,0.2962962962962963,-0.408248290463863,0.18181818181818182,0.7039405602254808,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,7
41,sub-04,rh-ventrolateralPFC,0.47619047619047616,-0.23809523809523808,0.375,0.6892107138480223,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,4,6
42,sub-04,rh-ventrolateralPFC,0.16666666666666666,-0.38575837490522974,0.18181818181818182,0.7079625842644357,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,6
43,sub-04,rh-ventrolateralPFC,0.35555555555555557,-0.34426518632954817,0.1818181818181818,0.6899805942243019,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,4,5
44,sub-04,rh-ventrolateralPFC,0.12962962962962962,-0.49099025303098287,0.15384615384615383,0.7420864110038639,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,5,6
45,sub-04,rh-ventrolateralPFC,0.0,-0.6666666666666666,0.0,0.6764925388583075,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,8
46,sub-04,rh-ventrolateralPFC,0.4722222222222222,-0.18446619684315546,0.22222222222222224,0.6744929750745732,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,3,4
47,sub-04,rh-ventrolateralPFC,0.33333333333333337,-0.22360679774997896,0.35294117647058826,0.7060871013543609,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,6,5
48,sub-04,rh-ventrolateralPFC,0.7222222222222222,0.16666666666666666,0.5,0.6665287335996208,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,3,3
