fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-lingual,0.7267441860465116,0.379492600422833,0.6896551724137931,0.6468634973067224,Mutual + Linear-SVM,conscious,conscious,False,Image,False,30,30,14,13
2,01,lh-lingual,0.5591966173361522,0.17292440281491678,0.5813953488372093,0.6964721003030971,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,25,19,17
3,01,lh-lingual,0.6802325581395349,0.21893181273815152,0.6046511627906977,0.6402149629276745,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,26,18,16
4,01,lh-lingual,0.5348837209302326,0.0809095829684473,0.5348837209302325,0.7369913453464597,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,23,21,19
5,01,lh-lingual,0.5909090909090909,0.24154334038054967,0.6206896551724139,0.7307259626365815,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,27,17,16
6,01,lh-lingual,0.5306553911205074,0.057610993657505286,0.5287356321839081,0.6975343913935173,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,23,21,20
7,01,lh-lingual,0.6638477801268499,0.21893181273815152,0.6046511627906977,0.6514928139899099,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,26,18,16
8,01,lh-lingual,0.5787526427061311,0.080338266384778,0.5454545454545454,0.6852128414307369,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,24,20,20
9,01,lh-lingual,0.585095137420719,0.10359408033826638,0.5517241379310344,0.6906539920842284,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,24,20,19
10,01,lh-lingual,0.5507399577167019,0.0809095829684473,0.5348837209302325,0.7093200292894662,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,23,21,19
11,01,lh-lingual,0.4867864693446089,-0.05711264680125692,0.46511627906976744,0.6989779111321663,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,20,24,22
12,01,lh-lingual,0.6384778012684988,0.28752642706131076,0.6436781609195402,0.666219993638999,Mutual + Linear-SVM,conscious,conscious,False,Image,False,28,28,16,15
13,01,lh-lingual,0.517970401691332,0.01217576972223023,0.49411764705882355,0.741941369875875,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,21,23,20
14,01,lh-lingual,0.5708245243128964,0.057610993657505286,0.5287356321839081,0.6828601393217595,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,23,21,20
15,01,lh-lingual,0.6400634249471459,0.19556025369978858,0.5977011494252873,0.6630654769579739,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,26,18,17
16,01,lh-lingual,0.6326638477801269,0.17230443974630022,0.5909090909090909,0.6631100502672062,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,26,18,18
17,01,lh-lingual,0.6020084566596194,0.24154334038054967,0.6206896551724139,0.6908046669800012,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,27,17,16
18,01,lh-lingual,0.620507399577167,0.1503442870049298,0.5647058823529411,0.675883835381124,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,17
19,01,lh-lingual,0.5480972515856237,0.14957716701902748,0.5747126436781609,0.6926410104080097,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,25,19,18
20,01,lh-lingual,0.6321353065539113,0.10428811457736327,0.5411764705882354,0.6625424744897851,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,18
21,01,lh-lingual,0.6347780126849895,0.1503442870049298,0.5647058823529411,0.6601983300568304,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,17
22,01,lh-lingual,0.6802325581395349,0.24154334038054967,0.6206896551724139,0.6412894404319466,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,27,17,16
23,01,lh-lingual,0.6664904862579282,0.26493922266138625,0.6279069767441862,0.6695365647289419,Mutual + Linear-SVM,conscious,conscious,False,Image,False,28,27,17,15
24,01,lh-lingual,0.5660676532769556,0.0809095829684473,0.5348837209302325,0.693580949228529,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,23,21,19
25,01,lh-lingual,0.6088794926004228,0.1503442870049298,0.5647058823529411,0.6768021302517885,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,24,20,17
26,01,lh-lingual,0.5628964059196617,0.10359408033826638,0.5517241379310344,0.7057547343071807,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,24,20,19
27,01,lh-lingual,0.6416490486257929,0.19556025369978858,0.5977011494252873,0.6659358598061471,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,26,18,17
28,01,lh-lingual,0.6072938689217758,0.19556025369978858,0.5977011494252873,0.6798016713769762,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,26,18,17
29,01,lh-lingual,0.5375264270613108,0.10428811457736327,0.5411764705882354,0.7167495745509763,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,23,21,18
30,01,lh-lingual,0.5702959830866807,0.14957716701902748,0.5747126436781609,0.6938180851821099,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,25,19,18
31,01,lh-lingual,0.7029598308668076,0.24154334038054967,0.6206896551724139,0.6309457964786498,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,27,17,16
32,01,lh-lingual,0.5697674418604651,0.14957716701902748,0.5747126436781609,0.6920514205738018,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,25,19,18
33,01,lh-lingual,0.6865750528541226,0.22004353133756288,0.5952380952380952,0.6467086613423387,Mutual + Linear-SVM,conscious,conscious,False,Image,False,28,25,19,15
34,01,lh-lingual,0.6057082452431289,0.12691699289168204,0.5581395348837208,0.6713816736893985,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,24,20,18
35,01,lh-lingual,0.5581395348837209,0.0809095829684473,0.5348837209302325,0.6875609437390355,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,23,21,19
36,01,lh-lingual,0.5523255813953489,0.057610993657505286,0.5287356321839081,0.6989815490076717,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,23,21,20
37,01,lh-lingual,0.6289640591966174,0.14957716701902748,0.5747126436781609,0.6651385596235837,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,25,19,18
38,01,lh-lingual,0.6601479915433405,0.28752642706131076,0.6436781609195402,0.6535718253730963,Mutual + Linear-SVM,conscious,conscious,False,Image,False,28,28,16,15
39,01,lh-lingual,0.549154334038055,-0.011627906976744186,0.5,0.6967787328557984,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,22,22,22
40,01,lh-lingual,0.5697674418604651,0.057610993657505286,0.5287356321839081,0.696665216929783,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,23,21,20
41,01,lh-lingual,0.47093023255813954,-0.10359408033826638,0.45454545454545453,0.7401114729991775,Mutual + Linear-SVM,conscious,conscious,False,Image,False,19,20,24,24
42,01,lh-lingual,0.6083509513742071,0.12691699289168204,0.5581395348837208,0.6785946052342056,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,24,20,18
43,01,lh-lingual,0.6860465116279069,0.21893181273815152,0.6046511627906977,0.6619487272805615,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,26,18,16
