fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-lingual,0.6401909722222222,0.18754070335443587,0.5894736842105263,0.6668085000405198,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
2,01,lh-lingual,0.6128472222222222,0.22921641521097716,0.6105263157894737,0.6771993842229526,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,29,19,18
3,01,lh-lingual,0.59765625,0.14611900125320154,0.5591397849462364,0.6760898229974496,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,26,22,19
4,01,lh-lingual,0.6102430555555555,0.18754070335443587,0.5894736842105263,0.6790862442881324,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
5,01,lh-lingual,0.6427951388888888,0.22921641521097716,0.6105263157894737,0.6702167878194984,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,29,19,18
6,01,lh-lingual,0.5360243055555555,0.041666666666666664,0.5208333333333334,0.6967589789670611,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
7,01,lh-lingual,0.6254340277777778,0.18754070335443587,0.5894736842105263,0.6724240883861579,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
8,01,lh-lingual,0.5993923611111112,0.10418927964135326,0.5473684210526316,0.6729254322984332,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
9,01,lh-lingual,0.5885416666666666,0.10418927964135326,0.5567010309278351,0.6796055983426074,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,27,21,22
10,01,lh-lingual,0.6124131944444444,0.22921641521097716,0.6105263157894737,0.6800063562625244,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,29,19,18
11,01,lh-lingual,0.6011284722222221,0.10418927964135326,0.5567010309278351,0.6776796325876315,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,27,21,22
12,01,lh-lingual,0.6996527777777778,0.3333333333333333,0.6666666666666666,0.6588677443984261,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,32,32,16,16
13,01,lh-lingual,0.5334201388888888,-0.0419960525565808,0.4444444444444445,0.6896943660296899,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,20,28,22
14,01,lh-lingual,0.6059027777777777,0.1668115312456598,0.5744680851063831,0.6766027804486822,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,21,19
15,01,lh-lingual,0.505642361111111,0.06251356778481196,0.5263157894736842,0.6934629716759954,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
16,01,lh-lingual,0.5160590277777778,0.02083785592827065,0.5052631578947369,0.6969659233632918,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
17,01,lh-lingual,0.7009548611111112,0.25,0.625,0.6704736739692332,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,30,18,18
18,01,lh-lingual,0.5707465277777778,0.1668115312456598,0.5744680851063831,0.6909644095100308,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,21,19
19,01,lh-lingual,0.6154513888888888,0.18754070335443587,0.5894736842105263,0.6749743099944293,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
20,01,lh-lingual,0.6197916666666666,0.14586499149789456,0.5684210526315789,0.668121212184083,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
21,01,lh-lingual,0.61328125,0.14611900125320154,0.5591397849462364,0.6755482357894392,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,26,22,19
22,01,lh-lingual,0.6263020833333334,0.14611900125320154,0.5591397849462364,0.6892809853684859,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,26,22,19
23,01,lh-lingual,0.6727430555555555,0.2708921270675185,0.631578947368421,0.664425525721006,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,30,18,17
24,01,lh-lingual,0.546875,0.10418927964135326,0.5473684210526316,0.687677720204079,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
25,01,lh-lingual,0.4969618055555556,0.02083785592827065,0.5154639175257733,0.7169218565714628,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,24,25,23,24
