fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-precuneus,0.6297743055555556,0.12510864843424485,0.5531914893617021,0.6839678294117363,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,22,20
2,01,lh-precuneus,0.5047743055555556,0.0,0.5,0.6953462874512222,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,24,24,24,24
3,01,lh-precuneus,0.5,0.041666666666666664,0.5208333333333334,0.6941977387691644,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
4,01,lh-precuneus,0.6059027777777778,0.14586499149789456,0.5684210526315789,0.6834386133352582,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
5,01,lh-precuneus,0.5121527777777778,0.0,0.48936170212765956,0.6962067120863313,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
6,01,lh-precuneus,0.546875,0.04170288281141495,0.5106382978723404,0.6911907986286504,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
7,01,lh-precuneus,0.5581597222222222,0.18754070335443587,0.5894736842105263,0.6905543760951046,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
8,01,lh-precuneus,0.6102430555555556,0.125,0.5625,0.6768682560401919,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,27,21,21
9,01,lh-precuneus,0.5412326388888888,0.10418927964135326,0.5473684210526316,0.6910288719918593,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
10,01,lh-precuneus,0.5490451388888888,0.02083785592827065,0.5052631578947369,0.6887733656132614,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
11,01,lh-precuneus,0.4370659722222222,-0.10418927964135326,0.4421052631578947,0.7355363575077055,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,27,26
12,01,lh-precuneus,0.4683159722222222,-0.06251356778481196,0.46315789473684216,0.6941256032139522,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
13,01,lh-precuneus,0.5108506944444444,0.06262242910851494,0.5161290322580646,0.6928740217889834,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,24,21
14,01,lh-precuneus,0.5855034722222221,0.14586499149789456,0.5684210526315789,0.6869162715311985,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
15,01,lh-precuneus,0.5611979166666666,0.10418927964135326,0.5473684210526316,0.6936830219318247,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
16,01,lh-precuneus,0.5021701388888888,0.041666666666666664,0.5208333333333334,0.6975582995873936,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
17,01,lh-precuneus,0.560763888888889,0.06251356778481196,0.5263157894736842,0.6862110408100337,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
18,01,lh-precuneus,0.6171874999999999,0.18754070335443587,0.5894736842105263,0.6842087272485595,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
19,01,lh-precuneus,0.6276041666666666,0.20851441405707477,0.5957446808510638,0.6872846688336987,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,20,18
20,01,lh-precuneus,0.5542534722222222,0.0834057656228299,0.5319148936170214,0.6919121779568232,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,23,21
21,01,lh-precuneus,0.5490451388888888,0.02083785592827065,0.5052631578947369,0.6904204750691845,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
22,01,lh-precuneus,0.5425347222222222,0.020874143036171647,0.5252525252525253,0.6903484161440095,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,23,26,22,25
23,01,lh-precuneus,0.4552951388888889,-0.02083785592827065,0.4842105263157895,0.7047075019003316,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
24,01,lh-precuneus,0.53125,0.06251356778481196,0.5360824742268041,0.6922616290234019,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,26,22,23
25,01,lh-precuneus,0.5355902777777778,0.04170288281141495,0.5106382978723404,0.6961322181448738,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
26,01,lh-precuneus,0.36154513888888884,-0.14586499149789456,0.42105263157894735,0.6960241204600502,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,28,27
27,01,lh-precuneus,0.5277777777777778,0.0,0.48936170212765956,0.6925785392460773,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
28,01,lh-precuneus,0.5972222222222222,0.04170288281141495,0.5106382978723404,0.6813909478712059,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
29,01,lh-precuneus,0.4965277777777778,0.0,0.4782608695652174,0.7012135680040386,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,22,26,22
30,01,lh-precuneus,0.5616319444444444,0.041666666666666664,0.5208333333333334,0.6885932749404757,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
31,01,lh-precuneus,0.5859375,0.10418927964135326,0.5473684210526316,0.6870962099660293,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
32,01,lh-precuneus,0.5967881944444444,0.0834057656228299,0.5319148936170214,0.6814587239663558,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,23,21
33,01,lh-precuneus,0.5026041666666667,-0.04170288281141495,0.4680851063829787,0.6933224582309281,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,26,24
34,01,lh-precuneus,0.5824652777777778,0.10473644811127698,0.5274725274725274,0.6889367487845061,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,29,24,24,19
35,01,lh-precuneus,0.5403645833333333,0.0834057656228299,0.5319148936170214,0.6915173675124603,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,23,21
