fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-superiorfrontal,0.4774305555555555,0.041666666666666664,0.5208333333333334,0.6997292058998551,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
2,01,lh-superiorfrontal,0.5329861111111112,0.02083785592827065,0.5052631578947369,0.6874966234237513,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
3,01,lh-superiorfrontal,0.3515625,-0.20851441405707477,0.3829787234042554,0.705241686921784,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,20,18,30,28
4,01,lh-superiorfrontal,0.5651041666666666,0.0834057656228299,0.5319148936170214,0.686604744265508,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,23,21
5,01,lh-superiorfrontal,0.6875,0.2919201796799047,0.6382978723404256,0.6795491431060402,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,32,30,18,16
6,01,lh-superiorfrontal,0.6293402777777778,0.20833333333333334,0.6041666666666666,0.6816308712848071,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,29,19,19
7,01,lh-superiorfrontal,0.4613715277777778,-0.06251356778481196,0.46315789473684216,0.7091450458562706,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
8,01,lh-superiorfrontal,0.546875,0.02083785592827065,0.5052631578947369,0.6911570194563817,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
9,01,lh-superiorfrontal,0.4322916666666667,-0.02083785592827065,0.4842105263157895,0.7064860009403526,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
10,01,lh-superiorfrontal,0.3836805555555555,-0.2708921270675185,0.35789473684210527,0.7032491829822177,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,18,17,31,30
11,01,lh-superiorfrontal,0.5390624999999999,0.12510864843424485,0.5531914893617021,0.6935587205623802,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,22,20
12,01,lh-superiorfrontal,0.5203993055555555,0.02083785592827065,0.5052631578947369,0.6916816982640127,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
13,01,lh-superiorfrontal,0.4986979166666667,0.0,0.48936170212765956,0.6955955954962728,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
14,01,lh-superiorfrontal,0.5056423611111112,0.041666666666666664,0.5208333333333334,0.6951195613085183,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
15,01,lh-superiorfrontal,0.5008680555555556,0.0,0.48936170212765956,0.6933348686654336,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
16,01,lh-superiorfrontal,0.5941840277777778,0.04170288281141495,0.5106382978723404,0.6834656562947359,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
17,01,lh-superiorfrontal,0.5112847222222222,-0.06251356778481196,0.46315789473684216,0.6914277677973356,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
18,01,lh-superiorfrontal,0.6419270833333334,0.20833333333333334,0.6041666666666666,0.6872026262572605,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,29,19,19
19,01,lh-superiorfrontal,0.4565972222222222,-0.06251356778481196,0.46315789473684216,0.7054243535161655,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
20,01,lh-superiorfrontal,0.5559895833333333,0.12510864843424485,0.5531914893617021,0.6908366802498533,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,22,20
21,01,lh-superiorfrontal,0.5021701388888888,0.0,0.48936170212765956,0.6932945207660345,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
22,01,lh-superiorfrontal,0.5091145833333333,0.02083785592827065,0.5052631578947369,0.6936654353861096,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
23,01,lh-superiorfrontal,0.4969618055555556,0.0,0.48936170212765956,0.6932322841953518,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
24,01,lh-superiorfrontal,0.58984375,0.14586499149789456,0.5684210526315789,0.6807668145629545,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
25,01,lh-superiorfrontal,0.5989583333333334,0.22921641521097716,0.6185567010309279,0.6869303613778776,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,30,18,19
26,01,lh-superiorfrontal,0.5091145833333334,0.10437071518085823,0.5656565656565657,0.6951944330937597,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,28,20,23
27,01,lh-superiorfrontal,0.4401041666666667,-0.08333333333333333,0.4583333333333333,0.695530017554017,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,22,22,26,26
28,01,lh-superiorfrontal,0.5208333333333334,0.06262242910851494,0.5161290322580646,0.6926156157414343,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,24,21
29,01,lh-superiorfrontal,0.5651041666666667,0.0834057656228299,0.5319148936170214,0.6864333845831738,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,23,21
30,01,lh-superiorfrontal,0.48437500000000006,-0.02083785592827065,0.4948453608247423,0.6943446972484709,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,23,24,24,25
31,01,lh-superiorfrontal,0.560329861111111,0.08333333333333333,0.5416666666666666,0.6839037781233376,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,22,22
32,01,lh-superiorfrontal,0.4947916666666667,-0.04170288281141495,0.4680851063829787,0.6970719372030979,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,26,24
33,01,lh-superiorfrontal,0.5434027777777778,0.06251356778481196,0.5263157894736842,0.6896615345265458,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
34,01,lh-superiorfrontal,0.5642361111111112,0.06251356778481196,0.5263157894736842,0.6884367740098581,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
35,01,lh-superiorfrontal,0.4787326388888889,0.0,0.5,0.6994276191446348,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,24,24,24
36,01,lh-superiorfrontal,0.3793402777777778,-0.20833333333333334,0.3958333333333333,0.7044191476360147,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,19,19,29,29
37,01,lh-superiorfrontal,0.5642361111111112,-0.02083785592827065,0.4842105263157895,0.689514450956076,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
38,01,lh-superiorfrontal,0.5872395833333333,0.1254363015010636,0.5434782608695652,0.68279131174346,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,25,23,19
39,01,lh-superiorfrontal,0.4830729166666667,-0.10418927964135326,0.4421052631578947,0.6957830461334243,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,27,26
40,01,lh-superiorfrontal,0.5638020833333333,0.06251356778481196,0.5263157894736842,0.6901561811699019,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
41,01,lh-superiorfrontal,0.4822048611111111,-0.1668115312456598,0.4042553191489362,0.6937370386666769,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,21,19,29,27
42,01,lh-superiorfrontal,0.5607638888888888,0.041666666666666664,0.5208333333333334,0.6901409435414713,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
43,01,lh-superiorfrontal,0.54296875,0.02083785592827065,0.5154639175257733,0.6913194116180738,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,25,23,24
44,01,lh-superiorfrontal,0.5486111111111112,0.06251356778481196,0.5263157894736842,0.6924402456714063,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
45,01,lh-superiorfrontal,0.5464409722222221,0.06251356778481196,0.5263157894736842,0.6896988369189287,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
46,01,lh-superiorfrontal,0.564236111111111,0.18786728732554484,0.5806451612903225,0.6881765406935639,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,30,27,21,18
47,01,lh-superiorfrontal,0.5464409722222222,0.10418927964135326,0.5473684210526316,0.6861048225877274,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
48,01,lh-superiorfrontal,0.5052083333333334,-0.04170288281141495,0.4680851063829787,0.7033695624391045,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,26,24
49,01,lh-superiorfrontal,0.5425347222222222,0.06251356778481196,0.5263157894736842,0.6916478275892834,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
50,01,lh-superiorfrontal,0.5755208333333334,0.1668115312456598,0.5744680851063831,0.6875860464125553,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,21,19
51,01,lh-superiorfrontal,0.5785590277777777,0.14586499149789456,0.5684210526315789,0.68919088026257,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
52,01,lh-superiorfrontal,0.5464409722222222,0.06251356778481196,0.5263157894736842,0.690685400277448,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
53,01,lh-superiorfrontal,0.51953125,0.0,0.5,0.6930245835563422,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,24,24,24
54,01,lh-superiorfrontal,0.5585937500000001,0.125,0.5625,0.6859445710583847,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,27,21,21
55,01,lh-superiorfrontal,0.5798611111111112,0.14586499149789456,0.5684210526315789,0.6879887550338505,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
56,01,lh-superiorfrontal,0.6249999999999999,0.18754070335443587,0.5894736842105263,0.6789895328603225,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
57,01,lh-superiorfrontal,0.5620659722222222,0.14586499149789456,0.5684210526315789,0.6898346395417629,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
58,01,lh-superiorfrontal,0.54296875,0.06251356778481196,0.5263157894736842,0.6916092860343723,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
59,01,lh-superiorfrontal,0.5230034722222222,-0.02083785592827065,0.4948453608247423,0.6919260811359264,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,23,24,24,25
60,01,lh-superiorfrontal,0.49826388888888895,0.0,0.48936170212765956,0.6991615479879568,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
61,01,lh-superiorfrontal,0.56640625,0.0834057656228299,0.5319148936170214,0.6875868689117963,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,23,21
62,01,lh-superiorfrontal,0.5104166666666666,0.0,0.5,0.6963449713917463,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,24,24,24
63,01,lh-superiorfrontal,0.4756944444444444,-0.04170288281141495,0.4680851063829787,0.7000101289017729,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,26,24
64,01,lh-superiorfrontal,0.5642361111111112,0.14586499149789456,0.5684210526315789,0.6898145986148615,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
65,01,lh-superiorfrontal,0.5394965277777778,0.06251356778481196,0.5263157894736842,0.6923655170576395,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
66,01,lh-superiorfrontal,0.4891493055555555,-0.04170288281141495,0.4680851063829787,0.6934482868780917,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,26,24
67,01,lh-superiorfrontal,0.5425347222222222,0.06262242910851494,0.5161290322580646,0.6909426862212387,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,24,21
68,01,lh-superiorfrontal,0.3667534722222222,-0.14586499149789456,0.42105263157894735,0.7050527411638844,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,28,27
69,01,lh-superiorfrontal,0.3250868055555555,-0.2708921270675185,0.35789473684210527,0.7051914182595539,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,18,17,31,30
70,01,lh-superiorfrontal,0.6089409722222222,0.14586499149789456,0.5684210526315789,0.6842560791511659,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
71,01,lh-superiorfrontal,0.5295138888888888,0.10418927964135326,0.5473684210526316,0.6921847373378714,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
72,01,lh-superiorfrontal,0.51171875,0.02083785592827065,0.5052631578947369,0.6952978848562742,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
73,01,lh-superiorfrontal,0.4440104166666667,-0.125,0.4375,0.7182623168722371,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,21,21,27,27
74,01,lh-superiorfrontal,0.6167534722222222,0.22921641521097716,0.6185567010309279,0.6836154668119719,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,30,18,19
75,01,lh-superiorfrontal,0.5889756944444444,0.16666666666666666,0.5833333333333334,0.6865227596630398,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,28,20,20
76,01,lh-superiorfrontal,0.5130208333333333,0.06251356778481196,0.5263157894736842,0.6933341597251662,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
77,01,lh-superiorfrontal,0.4852430555555555,0.06251356778481196,0.5263157894736842,0.6943700371919846,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
78,01,lh-superiorfrontal,0.4309895833333333,0.0,0.48936170212765956,0.7325720827998916,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
79,01,lh-superiorfrontal,0.5182291666666666,0.02083785592827065,0.5052631578947369,0.6933400004923941,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
80,01,lh-superiorfrontal,0.5121527777777777,0.06251356778481196,0.5263157894736842,0.6996132410788866,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
81,01,lh-superiorfrontal,0.5885416666666667,0.18754070335443587,0.5894736842105263,0.6840397625665412,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
82,01,lh-superiorfrontal,0.6024305555555556,0.20833333333333334,0.6041666666666666,0.6912480162574154,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,29,19,19
83,01,lh-superiorfrontal,0.5529513888888888,0.10418927964135326,0.5473684210526316,0.6843659064311169,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
84,01,lh-superiorfrontal,0.5321180555555556,0.04170288281141495,0.5106382978723404,0.692317995579932,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
85,01,lh-superiorfrontal,0.4809027777777778,0.04170288281141495,0.5106382978723404,0.7062047873587102,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
86,01,lh-superiorfrontal,0.5464409722222222,0.10418927964135326,0.5473684210526316,0.688610790227858,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
87,01,lh-superiorfrontal,0.4969618055555555,-0.02083785592827065,0.4948453608247423,0.6984813771852592,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,23,24,24,25
88,01,lh-superiorfrontal,0.5121527777777778,-0.08333333333333333,0.4583333333333333,0.6934551057360071,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,22,22,26,26
89,01,lh-superiorfrontal,0.5186631944444444,0.02083785592827065,0.5052631578947369,0.691128853371047,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
90,01,lh-superiorfrontal,0.4969618055555555,0.10418927964135326,0.5473684210526316,0.702870255294571,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
91,01,lh-superiorfrontal,0.6762152777777778,0.31256783892405976,0.6526315789473683,0.6834597052169281,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,32,31,17,16
92,01,lh-superiorfrontal,0.5238715277777778,0.02083785592827065,0.5052631578947369,0.6938420436413674,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
93,01,lh-superiorfrontal,0.4014756944444444,-0.10418927964135326,0.4421052631578947,0.6976310871163767,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,27,26
94,01,lh-superiorfrontal,0.5381944444444444,0.08333333333333333,0.5416666666666666,0.6914215695176577,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,22,22
95,01,lh-superiorfrontal,0.5785590277777778,0.06251356778481196,0.5263157894736842,0.6906978214611796,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
96,01,lh-superiorfrontal,0.5021701388888891,0.02083785592827065,0.5052631578947369,0.6929519987778924,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
97,01,lh-superiorfrontal,0.5286458333333334,0.02083785592827065,0.5052631578947369,0.6964318568186897,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
98,01,lh-superiorfrontal,0.5477430555555555,0.0,0.5,0.6917150519948271,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,24,24,24
99,01,lh-superiorfrontal,0.5125868055555556,-0.02083785592827065,0.4842105263157895,0.6918434546222185,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
100,01,lh-superiorfrontal,0.6085069444444444,0.18754070335443587,0.5894736842105263,0.6785935417833421,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
101,01,lh-superiorfrontal,0.5694444444444444,0.14611900125320154,0.5858585858585857,0.6898549229728909,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,29,19,22
102,01,lh-superiorfrontal,0.5455729166666666,0.125,0.5625,0.6916244509756456,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,27,21,21
103,01,lh-superiorfrontal,0.5256076388888888,-0.041666666666666664,0.4791666666666667,0.6916489842942116,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,23,23,25,25
104,01,lh-superiorfrontal,0.5034722222222222,0.02083785592827065,0.5154639175257733,0.6963016941985029,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,25,23,24
105,01,lh-superiorfrontal,0.5572916666666666,0.125,0.5625,0.6889150691992859,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,27,21,21
106,01,lh-superiorfrontal,0.4874131944444444,0.06251356778481196,0.5263157894736842,0.7046867611988437,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
107,01,lh-superiorfrontal,0.5690104166666666,0.10418927964135326,0.5473684210526316,0.6890417289138652,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
108,01,lh-superiorfrontal,0.5703125,0.02083785592827065,0.5052631578947369,0.6842600177344033,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
109,01,lh-superiorfrontal,0.36197916666666663,-0.1668115312456598,0.4042553191489362,0.7060731574678324,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,21,19,29,27
110,01,lh-superiorfrontal,0.5759548611111112,0.10418927964135326,0.5473684210526316,0.6863723997501615,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
111,01,lh-superiorfrontal,0.6080729166666666,0.0834057656228299,0.5319148936170214,0.6799854650385889,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,23,21
112,01,lh-superiorfrontal,0.4982638888888889,-0.02083785592827065,0.4842105263157895,0.7072222350958199,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
113,01,lh-superiorfrontal,0.5,-0.041666666666666664,0.4791666666666667,0.6938986788515423,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,23,23,25,25
114,01,lh-superiorfrontal,0.5907118055555556,0.22921641521097716,0.6105263157894737,0.6884829904792426,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,30,29,19,18
115,01,lh-superiorfrontal,0.5208333333333333,-0.02083785592827065,0.4842105263157895,0.6924360960757511,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
116,01,lh-superiorfrontal,0.5833333333333333,0.22921641521097716,0.6185567010309279,0.687511076480538,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,30,18,19
117,01,lh-superiorfrontal,0.48090277777777773,0.02083785592827065,0.5154639175257733,0.7032966513365407,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,25,23,24
118,01,lh-superiorfrontal,0.5629340277777777,0.08333333333333333,0.5416666666666666,0.6911193694789718,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,22,22
119,01,lh-superiorfrontal,0.5260416666666667,0.02083785592827065,0.5052631578947369,0.6922122185963909,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
120,01,lh-superiorfrontal,0.4379340277777778,-0.14586499149789456,0.42105263157894735,0.7283724025012122,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,28,27
121,01,lh-superiorfrontal,0.5052083333333333,0.02083785592827065,0.5052631578947369,0.696611610457012,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
122,01,lh-superiorfrontal,0.47005208333333326,0.0,0.48936170212765956,0.7031889865098361,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
123,01,lh-superiorfrontal,0.5477430555555556,0.041666666666666664,0.5208333333333334,0.6897635769303188,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
124,01,lh-superiorfrontal,0.4782986111111111,0.0419960525565808,0.4888888888888889,0.7070495711671447,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,22,26,20
125,01,lh-superiorfrontal,0.568142361111111,0.18754070335443587,0.5894736842105263,0.6893205167641091,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
126,01,lh-superiorfrontal,0.53125,0.02083785592827065,0.5052631578947369,0.6920861951330526,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
127,01,lh-superiorfrontal,0.5108506944444444,0.04170288281141495,0.5106382978723404,0.6955615088273231,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
128,01,lh-superiorfrontal,0.5828993055555556,0.16724840200141816,0.5652173913043478,0.6858995626493108,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,30,26,22,18
129,01,lh-superiorfrontal,0.6493055555555556,0.2919201796799047,0.6382978723404256,0.6850642175100695,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,32,30,18,16
130,01,lh-superiorfrontal,0.3776041666666667,-0.18786728732554484,0.38709677419354843,0.6970807026204487,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,21,18,30,27
131,01,lh-superiorfrontal,0.5008680555555556,0.02083785592827065,0.5052631578947369,0.6935789843844068,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
132,01,lh-superiorfrontal,0.5256076388888888,0.02083785592827065,0.5052631578947369,0.69195916347847,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
133,01,lh-superiorfrontal,0.5668402777777778,0.06262242910851494,0.5161290322580646,0.6883094670377986,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,24,21
134,01,lh-superiorfrontal,0.5325520833333334,0.0,0.48936170212765956,0.6918750042853192,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
135,01,lh-superiorfrontal,0.5898437499999999,0.0834057656228299,0.5319148936170214,0.6896269299529981,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,23,21
136,01,lh-superiorfrontal,0.5941840277777778,0.22921641521097716,0.6105263157894737,0.6852485917449643,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,30,29,19,18
137,01,lh-superiorfrontal,0.5264756944444444,0.12510864843424485,0.5714285714285714,0.6973900387911257,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,28,20,22
138,01,lh-superiorfrontal,0.5355902777777778,0.08333333333333333,0.5416666666666666,0.6917960649725506,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,22,22
139,01,lh-superiorfrontal,0.5190972222222222,0.1668115312456598,0.5918367346938774,0.6963332837874839,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,29,19,21
140,01,lh-superiorfrontal,0.6254340277777778,0.2708921270675185,0.631578947368421,0.6821397534054133,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,31,30,18,17
141,01,lh-superiorfrontal,0.5889756944444444,0.20833333333333334,0.6041666666666666,0.6894544091097919,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,29,19,19
142,01,lh-superiorfrontal,0.4188368055555556,-0.12510864843424485,0.425531914893617,0.6949443255448657,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,22,20,28,26
143,01,lh-superiorfrontal,0.4665798611111111,-0.02083785592827065,0.4842105263157895,0.7084458075145689,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
144,01,lh-superiorfrontal,0.5069444444444444,0.02083785592827065,0.5052631578947369,0.6934654460966346,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
145,01,lh-superiorfrontal,0.5060763888888888,0.04170288281141495,0.5306122448979592,0.7028054068893644,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,26,22,24
146,01,lh-superiorfrontal,0.5377604166666666,0.10418927964135326,0.5473684210526316,0.6901160692275449,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
147,01,lh-superiorfrontal,0.51953125,0.02083785592827065,0.5052631578947369,0.696553350744491,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
