fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-lingual,0.6436631944444444,0.20851441405707477,0.5957446808510638,0.6808870169283345,None + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,20,18
2,01,rh-lingual,0.4991319444444444,0.02083785592827065,0.5052631578947369,0.6958809927944388,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
3,01,rh-lingual,0.4513888888888889,-0.041666666666666664,0.4791666666666667,0.7111948337855262,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,23,25,25
4,01,rh-lingual,0.578125,0.06251356778481196,0.5263157894736842,0.6840170257608524,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
5,01,rh-lingual,0.49609375,-0.02083785592827065,0.4842105263157895,0.6974618911650253,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
6,01,rh-lingual,0.43142361111111116,-0.06251356778481196,0.4742268041237114,0.6954619760075896,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,23,25,26
7,01,rh-lingual,0.560763888888889,0.02083785592827065,0.5052631578947369,0.6922119570312697,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
8,01,rh-lingual,0.5902777777777778,0.10418927964135326,0.5473684210526316,0.6889991909643505,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
9,01,rh-lingual,0.53515625,0.06251356778481196,0.5263157894736842,0.6946413502398731,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
10,01,rh-lingual,0.630642361111111,0.20833333333333334,0.6041666666666666,0.6782604636778399,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,29,19,19
11,01,rh-lingual,0.5373263888888888,0.08333333333333333,0.5416666666666666,0.6962346592883181,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,22,22
12,01,rh-lingual,0.6106770833333334,0.08333333333333333,0.5416666666666666,0.6869885548062502,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,22,22
13,01,rh-lingual,0.6128472222222222,0.20833333333333334,0.6041666666666666,0.6799120708684737,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,29,19,19
14,01,rh-lingual,0.4565972222222222,-0.06251356778481196,0.46315789473684216,0.6956969801880398,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
15,01,rh-lingual,0.5394965277777778,0.10418927964135326,0.5473684210526316,0.6926360593081311,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
16,01,rh-lingual,0.4418402777777778,-0.0834057656228299,0.44680851063829785,0.7073826738229556,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,21,27,25
17,01,rh-lingual,0.6189236111111112,0.14586499149789456,0.5684210526315789,0.689640669308317,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
18,01,rh-lingual,0.5681423611111112,0.14586499149789456,0.5684210526315789,0.6889533965277339,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
19,01,rh-lingual,0.4965277777777778,-0.06251356778481196,0.46315789473684216,0.7032754704493546,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
20,01,rh-lingual,0.5026041666666667,0.02083785592827065,0.5052631578947369,0.7013751435511679,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
21,01,rh-lingual,0.5195312499999999,0.04170288281141495,0.5106382978723404,0.6989093536257718,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
22,01,rh-lingual,0.5598958333333333,0.02083785592827065,0.5052631578947369,0.6888018860521997,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
23,01,rh-lingual,0.5091145833333334,0.02083785592827065,0.5154639175257733,0.6927200877489965,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,25,23,24
24,01,rh-lingual,0.5026041666666667,0.02083785592827065,0.5052631578947369,0.6945744989680964,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
25,01,rh-lingual,0.5290798611111112,-0.02083785592827065,0.4842105263157895,0.6909680702461306,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
26,01,rh-lingual,0.4826388888888889,-0.08333333333333333,0.4583333333333333,0.6931249132980192,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,22,26,26
27,01,rh-lingual,0.5286458333333334,0.125,0.5625,0.692771979335746,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,27,21,21
28,01,rh-lingual,0.5017361111111112,0.0,0.5,0.6959178667699751,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,24,24,24
29,01,rh-lingual,0.5334201388888888,0.06251356778481196,0.5263157894736842,0.6921072592439074,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
30,01,rh-lingual,0.5520833333333333,0.06251356778481196,0.5263157894736842,0.6887942251916321,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
31,01,rh-lingual,0.5516493055555556,0.06251356778481196,0.5263157894736842,0.6900765301685216,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
32,01,rh-lingual,0.5555555555555556,0.0,0.48936170212765956,0.6895859747271537,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
33,01,rh-lingual,0.5629340277777778,-0.02083785592827065,0.4842105263157895,0.6896663347594512,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
34,01,rh-lingual,0.5568576388888888,0.10418927964135326,0.5473684210526316,0.6893638197483257,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
35,01,rh-lingual,0.5538194444444444,0.06251356778481196,0.5360824742268041,0.6897326484421379,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,26,22,23
36,01,rh-lingual,0.40885416666666663,-0.20851441405707477,0.4081632653061225,0.7143128846312049,None + Linear-SVM,glimpse,glimpse,False,Image,False,18,20,28,30
37,01,rh-lingual,0.43142361111111105,-0.06251356778481196,0.46315789473684216,0.6950567996525638,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
38,01,rh-lingual,0.578125,0.14586499149789456,0.5684210526315789,0.6836069696152176,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
39,01,rh-lingual,0.4513888888888889,-0.02083785592827065,0.4842105263157895,0.6961565240720811,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
40,01,rh-lingual,0.5907118055555556,0.22921641521097716,0.6105263157894737,0.6911151998344233,None + Linear-SVM,glimpse,glimpse,False,Image,False,30,29,19,18
41,01,rh-lingual,0.544704861111111,0.0,0.4782608695652174,0.6923616375185843,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,22,26,22
42,01,rh-lingual,0.5581597222222222,0.10418927964135326,0.5473684210526316,0.6920158842940705,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
