fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-parahippocampal,0.43619791666666663,-0.10418927964135326,0.45360824742268036,0.7031430166981679,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,21,22,26,27
2,01,rh-parahippocampal,0.5052083333333333,0.125,0.5625,0.6947137589586015,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,27,21,21
3,01,rh-parahippocampal,0.515625,0.02083785592827065,0.5052631578947369,0.6932977184823136,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
4,01,rh-parahippocampal,0.49045138888888884,0.02083785592827065,0.5052631578947369,0.6935196990713924,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
5,01,rh-parahippocampal,0.5881076388888888,0.18754070335443587,0.5894736842105263,0.6889787192550564,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
6,01,rh-parahippocampal,0.4153645833333333,-0.14586499149789456,0.42105263157894735,0.7123462985492645,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,28,27
7,01,rh-parahippocampal,0.49479166666666663,0.0,0.48936170212765956,0.7042252665682464,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
8,01,rh-parahippocampal,0.5347222222222222,0.06251356778481196,0.5263157894736842,0.690455764804902,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
9,01,rh-parahippocampal,0.5390625,0.04170288281141495,0.5106382978723404,0.68990944456508,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
10,01,rh-parahippocampal,0.4509548611111111,-0.04170288281141495,0.4680851063829787,0.6992206216102413,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,26,24
11,01,rh-parahippocampal,0.4596354166666667,-0.06251356778481196,0.46315789473684216,0.6962054671435327,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
12,01,rh-parahippocampal,0.5512152777777778,0.10418927964135326,0.5473684210526316,0.6923032443406644,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
13,01,rh-parahippocampal,0.5151909722222222,0.02083785592827065,0.5052631578947369,0.6954352993197945,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
14,01,rh-parahippocampal,0.45312500000000006,-0.10418927964135326,0.4421052631578947,0.7106221431853035,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,27,26
15,01,rh-parahippocampal,0.5494791666666666,0.06262242910851494,0.5161290322580646,0.6907113219397161,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,24,21
16,01,rh-parahippocampal,0.4539930555555556,-0.125,0.4375,0.7114893018791907,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,21,21,27,27
17,01,rh-parahippocampal,0.4487847222222222,-0.08333333333333333,0.4583333333333333,0.6988107895330664,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,22,22,26,26
18,01,rh-parahippocampal,0.5824652777777778,0.125,0.5625,0.6891892568885364,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,27,21,21
19,01,rh-parahippocampal,0.40104166666666663,-0.06251356778481196,0.46315789473684216,0.7291337539830227,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
20,01,rh-parahippocampal,0.5815972222222222,0.12510864843424485,0.5531914893617021,0.6861520774614785,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,22,20
21,01,rh-parahippocampal,0.5269097222222222,0.06251356778481196,0.5263157894736842,0.7095005542406333,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
22,01,rh-parahippocampal,0.5915798611111112,0.16666666666666666,0.5833333333333334,0.6844639767526588,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,28,20,20
23,01,rh-parahippocampal,0.4930555555555555,0.02083785592827065,0.5052631578947369,0.6936217716505313,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
24,01,rh-parahippocampal,0.5112847222222222,0.0,0.48936170212765956,0.6975147177250411,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
25,01,rh-parahippocampal,0.5112847222222222,0.06251356778481196,0.5263157894736842,0.7024475540495972,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
26,01,rh-parahippocampal,0.595920138888889,0.22961557339788813,0.6021505376344085,0.6901872246402943,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,28,20,17
27,01,rh-parahippocampal,0.5386284722222222,0.12510864843424485,0.5531914893617021,0.6920557945334435,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,22,20
28,01,rh-parahippocampal,0.49435763888888895,-0.02083785592827065,0.4842105263157895,0.6971761297386255,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
29,01,rh-parahippocampal,0.5703125,0.12510864843424485,0.5531914893617021,0.6901882150482063,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,22,20
30,01,rh-parahippocampal,0.5499131944444444,0.04170288281141495,0.5106382978723404,0.6893958507785228,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
31,01,rh-parahippocampal,0.4379340277777778,-0.06251356778481196,0.46315789473684216,0.7100713019941809,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
32,01,rh-parahippocampal,0.5859375,0.0834057656228299,0.5319148936170214,0.6895705635123465,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,23,21
33,01,rh-parahippocampal,0.638454861111111,0.25,0.625,0.6867597299553246,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,30,18,18
34,01,rh-parahippocampal,0.5551215277777778,0.10418927964135326,0.5473684210526316,0.6902367608134142,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
35,01,rh-parahippocampal,0.5724826388888888,0.10418927964135326,0.5473684210526316,0.6847705967560055,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
36,01,rh-parahippocampal,0.5980902777777777,0.1668115312456598,0.5744680851063831,0.6877478237643926,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,21,19
37,01,rh-parahippocampal,0.5425347222222222,0.0,0.5,0.6916144694585471,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,24,24,24,24
38,01,rh-parahippocampal,0.4670138888888889,-0.02083785592827065,0.4842105263157895,0.699171339032329,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
39,01,rh-parahippocampal,0.51953125,0.0,0.48936170212765956,0.6956990660824108,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
40,01,rh-parahippocampal,0.5915798611111112,0.125,0.5625,0.6846487965866993,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,27,21,21
41,01,rh-parahippocampal,0.5611979166666666,-0.041666666666666664,0.4791666666666667,0.6884814550531694,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,23,23,25,25
42,01,rh-parahippocampal,0.5598958333333334,0.0,0.48936170212765956,0.6906565160868584,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
43,01,rh-parahippocampal,0.4778645833333333,-0.02083785592827065,0.4842105263157895,0.6948326792452421,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
44,01,rh-parahippocampal,0.44791666666666663,-0.02083785592827065,0.4842105263157895,0.7013779593626636,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
45,01,rh-parahippocampal,0.5477430555555555,0.06251356778481196,0.5263157894736842,0.6898388171342659,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
46,01,rh-parahippocampal,0.4665798611111111,-0.10418927964135326,0.4421052631578947,0.7037849472241193,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,27,26
47,01,rh-parahippocampal,0.5750868055555555,0.06251356778481196,0.5263157894736842,0.6830798928932055,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
48,01,rh-parahippocampal,0.6106770833333334,0.18754070335443587,0.5894736842105263,0.6794620520418849,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
49,01,rh-parahippocampal,0.5746527777777778,0.06251356778481196,0.5263157894736842,0.6891202516548215,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
50,01,rh-parahippocampal,0.6332465277777778,0.2502172968684897,0.6170212765957447,0.6837587074280185,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,29,19,17
51,01,rh-parahippocampal,0.51171875,0.041666666666666664,0.5208333333333334,0.7070594300608194,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
52,01,rh-parahippocampal,0.6158854166666665,0.14586499149789456,0.5684210526315789,0.6762584045931367,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
53,01,rh-parahippocampal,0.5638020833333334,0.0834057656228299,0.5319148936170214,0.6922643138456473,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,23,21
54,01,rh-parahippocampal,0.552517361111111,0.08333333333333333,0.5416666666666666,0.6901685688855904,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,22,22
55,01,rh-parahippocampal,0.4353298611111111,-0.06251356778481196,0.46315789473684216,0.7026270865383687,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
56,01,rh-parahippocampal,0.5894097222222223,0.10418927964135326,0.5473684210526316,0.6866384027654121,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
57,01,rh-parahippocampal,0.5950520833333333,0.14586499149789456,0.5684210526315789,0.6843198370630983,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
58,01,rh-parahippocampal,0.47786458333333337,0.0,0.5,0.7028708960929597,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,24,24,24,24
