fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-pericalcarine,0.5308159722222222,0.14611900125320154,0.5591397849462364,0.7044979781288561,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,29,26,22,19
2,01,rh-pericalcarine,0.44748263888888884,-0.06251356778481196,0.46315789473684216,0.7097475239934806,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
3,01,rh-pericalcarine,0.44097222222222227,-0.08333333333333333,0.4583333333333333,0.7093406203985037,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
4,01,rh-pericalcarine,0.583767361111111,0.14586499149789456,0.5684210526315789,0.6884435202781498,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
5,01,rh-pericalcarine,0.45963541666666663,0.02083785592827065,0.5052631578947369,0.7019579662054549,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
6,01,rh-pericalcarine,0.5069444444444444,0.02083785592827065,0.5052631578947369,0.7082699580808036,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
7,01,rh-pericalcarine,0.5347222222222223,0.06251356778481196,0.5263157894736842,0.6895453745249102,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
8,01,rh-pericalcarine,0.5260416666666666,0.10418927964135326,0.5473684210526316,0.7050796857626921,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
9,01,rh-pericalcarine,0.5824652777777778,0.020874143036171647,0.4946236559139785,0.6842982127201703,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,26,23,25,22
10,01,rh-pericalcarine,0.5776909722222223,0.08333333333333333,0.5416666666666666,0.6848902613795397,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
11,01,rh-pericalcarine,0.5347222222222222,-0.10437071518085823,0.46464646464646464,0.6889298636445527,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,20,23,25,28
12,01,rh-pericalcarine,0.5182291666666667,0.0,0.5102040816326531,0.6939152234658296,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,23,25,23,25
13,01,rh-pericalcarine,0.47222222222222227,-0.125,0.4375,0.704442103356682,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
14,01,rh-pericalcarine,0.5069444444444444,0.0,0.5,0.6980211238337118,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
